ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
8	ENSG00000242612	DECR2	chr16	+	407424	407580	407424	407560	410208	410367	8	9,0,1	4,12,3	1,0,0	7,10,10	169	149	0.00110071012061	0.0410123142636	0.665,0.0,0.227	0.112,0.0,0.0	0.26
41	ENSG00000162910	MRPL55	chr1	-	228109148	228109299	228109260	228109299	228107667	228107869	41	31,61,22	7,9,5	31,33,25	15,12,19	261	149	0.00114877652247	0.0419748118388	0.717,0.795,0.715	0.541,0.611,0.429	0.215
195	ENSG00000228495	LINC01013	chr6	+	132146219	132147030	132146219	132146412	132154655	132154777	195	11,16,17	0,0,0	64,21,28	4,1,2	767	149	9.01436845455e-05	0.00858031525081	1.0,1.0,1.0	0.757,0.803,0.731	0.236
215	ENSG00000207751	NA	chr22	+	21657780	21658686	21657780	21658462	21660836	21661021	215	61,82,57	4,4,3	79,50,35	0,0,2	373	149	0.000824560123927	0.034867657573	0.859,0.891,0.884	1.0,1.0,0.875	-0.08
337	ENSG00000002016	RAD52	chr12	-	926795	927263	927144	927263	925449	925525	337	16,32,11	75,64,67	18,32,38	53,47,51	498	149	0.00116764854784	0.0423915269289	0.06,0.13,0.047	0.092,0.169,0.182	-0.069
443	ENSG00000164972	SPMIP6	chr9	-	34380896	34381131	34380901	34381131	34379645	34379732	443	0,0,0	15,12,22	7,2,0	13,22,16	154	149	0.00016795038781	0.0125985035942	0.0,0.0,0.0	0.343,0.081,0.0	-0.141
620	ENSG00000216937	CCDC7	chr10	+	32446139	32446631	32446139	32446397	32451591	32451921	620	9,11,8	4,13,8	26,12,14	0,5,1	383	149	0.000254591555228	0.0161103829389	0.467,0.248,0.28	1.0,0.483,0.845	-0.444
628	ENSG00000162004	CCDC78	chr16	-	724910	725145	725077	725145	724321	724806	628	44,38,19	9,0,0	22,29,39	0,1,0	316	149	0.00103115419544	0.039727495142	0.697,1.0,1.0	1.0,0.932,1.0	-0.078
686	ENSG00000197912	SPG7	chr16	+	89540943	89542279	89540943	89541384	89544647	89544772	686	643,761,697	15,15,22	612,449,606	35,26,24	1044	149	0.000163727095985	0.0125306541637	0.86,0.879,0.819	0.714,0.711,0.783	0.117
727	ENSG00000115295	CLIP4	chr2	+	29157203	29157402	29157203	29157347	29167475	29167540	727	5,6,1	4,2,1	8,12,3	0,2,0	204	149	8.55865673831e-05	0.00832747396069	0.477,0.687,0.422	1.0,0.814,1.0	-0.409
761	ENSG00000154099	DNAAF1	chr16	+	84165782	84165997	84165782	84165949	84169858	84170356	761	2,0,0	17,31,13	9,0,0	17,3,7	197	149	0.00105769060756	0.0402028909793	0.082,0.0,0.0	0.286,0.0,0.0	-0.068
779	ENSG00000182944	EWSR1	chr22	+	29298732	29299280	29298732	29298895	29299598	29299851	779	425,466,384	0,3,1	322,342,311	9,7,7	534	149	1.59297130953e-06	0.000511439945614	1.0,0.977,0.991	0.909,0.932,0.925	0.067
793	ENSG00000185880	TRIM69	chr15	+	44756367	44758854	44756367	44756463	44759639	44759662	793	110,104,95	4,4,0	74,78,76	0,0,0	2540	149	3.82646547625e-06	0.000942225531511	0.617,0.604,1.0	1.0,1.0,1.0	-0.26
803	ENSG00000144857	BOC	chr3	+	113216186	113216420	113216186	113216278	113249721	113249899	803	6,10,13	48,74,56	2,2,3	89,45,72	291	149	1.41998571751e-05	0.00229996113404	0.06,0.065,0.106	0.011,0.022,0.021	0.059
854	ENSG00000244687	UBE2V1	chr20	-	50115484	50115954	50115829	50115954	50096671	50096820	854	85,125,105	4,2,3	133,99,82	0,0,0	494	149	0.000579557795901	0.028126172044	0.865,0.95,0.913	1.0,1.0,1.0	-0.091
855	ENSG00000244687	UBE2V1	chr20	-	50115698	50115954	50115829	50115954	50096671	50096820	855	12,40,29	4,2,3	31,36,23	0,0,0	280	149	1.28694628914e-05	0.00218347698321	0.615,0.914,0.837	1.0,1.0,1.0	-0.211
923	ENSG00000170049	KCNAB3	chr17	-	7924628	7925183	7925096	7925183	7924414	7924498	923	4,2,9	1,4,1	2,5,3	0,0,1	617	149	9.52353904627e-05	0.00874324925787	0.491,0.108,0.685	1.0,1.0,0.42	-0.379
941	ENSG00000078328	RBFOX1	chr16	+	6019702	6019992	6019702	6019901	6316994	6317057	941	24,8,14	2,0,1	0,3,3	3,6,2	240	149	1.07872005106e-07	7.63666376147e-05	0.882,1.0,0.897	0.0,0.237,0.482	0.687
947	ENSG00000070882	OSBPL3	chr7	-	24834086	24834736	24834485	24834736	24830767	24830905	947	31,31,29	36,41,36	28,33,9	95,62,54	548	149	3.01586115226e-05	0.00392651255996	0.19,0.171,0.18	0.074,0.126,0.043	0.099
1314	ENSG00000214087	ARL16	chr17	-	81682033	81683594	81683535	81683594	81681186	81681879	1314	1344,1365,1141	8,1,0	1226,1308,1170	7,12,10	1651	149	0.000218763127991	0.0144908184255	0.938,0.992,1.0	0.94,0.908,0.913	0.056
1319	ENSG00000132963	POMP	chr13	+	28659818	28659919	28659818	28659883	28662409	28662507	1319	16,27,16	2,1,1	15,14,21	11,8,2	185	149	0.000283214974671	0.0169734180852	0.866,0.956,0.928	0.523,0.585,0.894	0.249
1347	ENSG00000126581	BECN1	chr17	-	42818786	42819609	42819547	42819609	42818220	42818415	1347	221,206,236	11,11,7	183,146,148	27,16,10	910	149	0.000911553736512	0.0374100332372	0.767,0.754,0.847	0.526,0.599,0.708	0.178
1361	ENSG00000078269	SYNJ2	chr6	+	158059256	158059537	158059256	158059353	158062054	158062164	1361	8,7,3	0,0,0	12,11,6	0,3,3	333	149	0.00028118407388	0.0169495066262	1.0,1.0,1.0	1.0,0.621,0.472	0.302
1504	ENSG00000221817	PPP3CB-AS1	chr10	+	73496141	73496637	73496141	73496483	73499594	73499687	1504	15,21,6	0,0,0	16,11,17	8,1,4	303	149	4.27133998171e-08	4.39831527026e-05	1.0,1.0,1.0	0.496,0.844,0.676	0.328
1505	ENSG00000221817	PPP3CB-AS1	chr10	+	73496141	73496906	73496141	73496483	73499594	73499687	1505	35,43,23	0,0,0	32,29,42	8,1,4	572	149	1.01518371931e-07	7.63666376147e-05	1.0,1.0,1.0	0.51,0.883,0.732	0.292
1506	ENSG00000221817	PPP3CB-AS1	chr10	+	73496141	73496910	73496141	73496483	73499594	73499687	1506	33,43,17	0,0,0	32,24,42	8,1,4	576	149	6.9109755918e-08	6.52338504403e-05	1.0,1.0,1.0	0.509,0.861,0.731	0.3
1629	ENSG00000182853	VMO1	chr17	-	4785936	4786052	4785956	4786052	4785284	4785659	1629	2,4,0	4,5,1	2,0,0	7,1,5	169	149	0.000948586616657	0.0381558994814	0.306,0.414,0.0	0.201,0.0,0.0	0.173
1845	ENSG00000140983	RHOT2	chr16	+	668352	668569	668352	668411	668655	668699	1845	878,1017,763	45,63,47	924,936,719	93,102,51	307	149	0.000275025699392	0.0169305222664	0.904,0.887,0.887	0.828,0.817,0.872	0.054
1853	ENSG00000155256	ZFYVE27	chr10	+	97738476	97738674	97738476	97738649	97744728	97744915	1853	64,51,42	9,24,6	81,99,27	5,2,4	174	149	6.33506050765e-05	0.00683402194001	0.859,0.645,0.857	0.933,0.977,0.853	-0.134
2047	ENSG00000115392	FANCL	chr2	-	58162865	58163517	58163433	58163517	58161521	58161638	2047	278,265,201	4,0,1	253,261,216	8,10,4	717	149	9.38629990185e-05	0.00874324925787	0.935,1.0,0.977	0.868,0.844,0.918	0.094
2137	ENSG00000291089	NA	chr19	+	37817420	37817726	37817420	37817701	37819496	37819617	2137	17,13,3	65,57,60	12,36,15	34,62,25	174	149	0.000118446714142	0.0100122830678	0.183,0.163,0.041	0.232,0.332,0.339	-0.172
2150	ENSG00000010219	DYRK4	chr12	+	4590329	4590554	4590329	4590440	4591159	4591298	2150	2,8,1	2,3,0	0,2,0	9,5,2	263	149	4.812169727e-05	0.00567785901018	0.362,0.602,1.0	0.0,0.185,0.0	0.593
2246	ENSG00000295873	NA	chr12	-	9447981	9448235	9448103	9448235	9443534	9443682	2246	71,147,102	0,0,7	118,81,55	15,7,1	271	149	0.000381079635972	0.0213460530721	1.0,1.0,0.889	0.812,0.864,0.968	0.082
2256	ENSG00000230091	TMEM254-AS1	chr10	-	80060789	80060933	80060815	80060933	80055915	80056126	2256	3,2,3	4,0,0	0,2,0	2,1,1	175	149	0.000158598388376	0.0123044105831	0.39,1.0,1.0	0.0,0.63,0.0	0.587
2435	ENSG00000008277	ADAM22	chr7	+	88178934	88179129	88178934	88179042	88181504	88181605	2435	2,2,0	13,8,9	6,8,4	4,6,11	236	149	0.000193851291838	0.0133512946548	0.089,0.136,0.0	0.486,0.457,0.187	-0.302
2479	ENSG00000148985	PGAP2	chr11	+	3824269	3824455	3824269	3824449	3825019	3825128	2479	6,7,8	0,0,0	4,6,5	9,9,0	155	149	4.77888162154e-07	0.00022554330053	1.0,1.0,1.0	0.299,0.391,1.0	0.437
2533	ENSG00000269293	ZSCAN16-AS1	chr6	-	28123018	28123211	28123083	28123211	28120512	28120676	2533	78,69,55	12,6,10	50,61,38	14,23,12	214	149	0.00113706959596	0.0418168419267	0.819,0.889,0.793	0.713,0.649,0.688	0.15
2558	ENSG00000104907	TRMT1	chr19	-	13116105	13116431	13116145	13116431	13115625	13115768	2558	2,2,3	3,1,1	4,4,8	0,0,0	189	149	0.000476017526644	0.0247332592858	0.345,0.612,0.703	1.0,1.0,1.0	-0.447
2577	ENSG00000291178	NA	chr7	-	100335656	100335916	100335674	100335916	100332441	100332576	2577	2,3,0	1,1,1	0,0,0	5,3,3	167	149	0.000687205034313	0.0316421602588	0.641,0.728,0.0	0.0,0.0,0.0	0.456
2582	ENSG00000291178	NA	chr7	-	100335089	100335428	100335332	100335428	100332441	100332581	2582	2,6,16	1,0,0	15,9,11	1,3,2	392	149	0.00118086906714	0.0425858470758	0.432,1.0,1.0	0.851,0.533,0.676	0.124
2585	ENSG00000291178	NA	chr7	-	100335295	100335428	100335332	100335428	100332441	100332581	2585	0,5,2	1,0,0	3,0,3	1,3,2	186	149	0.000699555659192	0.031822758842	0.0,1.0,1.0	0.706,0.0,0.546	0.249
2589	ENSG00000291178	NA	chr7	-	100335674	100335916	100335837	100335916	100335332	100335428	2589	12,12,4	0,5,0	3,12,7	8,5,11	312	149	0.000651331737705	0.0303692145238	1.0,0.534,1.0	0.152,0.534,0.233	0.538
2611	ENSG00000127054	INTS11	chr1	-	1323146	1323287	1323180	1323287	1320995	1321093	2611	2,0,1	3,1,1	1,2,5	2,0,0	183	149	0.000177207426619	0.0129200417626	0.352,0.0,0.449	0.289,1.0,1.0	-0.496
2643	ENSG00000106976	DNM1	chr9	+	128226034	128226173	128226034	128226086	128234020	128234107	2643	254,183,218	9,2,3	80,206,146	5,13,13	236	149	0.000106719884295	0.00929778889068	0.947,0.983,0.979	0.91,0.909,0.876	0.071
2718	ENSG00000118513	MYB	chr6	+	135194355	135194460	135194355	135194451	135195747	135195917	2718	13,19,15	1,0,0	7,11,8	6,1,2	158	149	2.75009637781e-05	0.00375305321343	0.925,1.0,1.0	0.524,0.912,0.79	0.233
2769	ENSG00000243989	ACY1	chr3	+	51986987	51987453	51986987	51987061	51987555	51987624	2769	130,142,123	7,1,8	133,167,119	0,2,2	541	149	0.000750255300259	0.0330666995566	0.836,0.975,0.809	1.0,0.958,0.942	-0.093
2775	ENSG00000149474	KAT14	chr20	+	18138205	18138399	18138205	18138335	18142207	18142919	2775	7,10,12	0,7,2	13,23,13	0,0,2	213	149	0.000690937493716	0.0316852185883	1.0,0.5,0.808	1.0,1.0,0.82	-0.171
2836	ENSG00000233184	DPH5-DT	chr1	+	101075275	101075394	101075275	101075380	101077362	101077508	2836	4,6,2	2,1,0	3,3,4	6,6,5	163	149	0.000256761542663	0.0161574332986	0.646,0.846,1.0	0.314,0.314,0.422	0.481
2848	ENSG00000108384	RAD51C	chr17	+	58692585	58693811	58692585	58692632	58694930	58695189	2848	245,311,226	2,2,2	256,260,252	9,7,7	1328	149	0.000270175992261	0.0167587092708	0.932,0.946,0.927	0.761,0.806,0.802	0.145
2853	ENSG00000159214	CCDC24	chr1	+	43993889	43995162	43993889	43993964	43995600	43995670	2853	202,187,144	8,4,7	163,190,147	1,2,1	1347	149	0.000270755168761	0.0167587092708	0.736,0.838,0.695	0.947,0.913,0.942	-0.178
2915	ENSG00000291027	UBE2Q2P1	chr15	-	84570486	84570643	84570598	84570643	84554965	84555070	2915	41,49,24	4,12,2	27,29,33	0,1,1	261	149	1.38373344662e-05	0.00229996113404	0.854,0.7,0.873	1.0,0.943,0.95	-0.155
2919	ENSG00000291027	UBE2Q2P1	chr15	-	84570486	84570643	84570598	84570643	84569504	84569679	2919	41,46,24	0,1,0	26,32,33	0,6,3	261	149	0.000147517693416	0.0117671331924	1.0,0.963,1.0	1.0,0.753,0.863	0.116
2966	ENSG00000142453	CARM1	chr19	+	10908549	10908747	10908549	10908668	10909102	10909207	2966	13,12,14	2,0,0	8,11,9	4,1,7	228	149	5.41537261838e-05	0.00603209350141	0.809,1.0,1.0	0.567,0.878,0.457	0.302
2981	ENSG00000205356	TECPR1	chr7	-	98251393	98251548	98251418	98251548	98244570	98244693	2981	17,22,5	1,0,0	15,19,25	1,9,0	174	149	0.000459163009704	0.0240784231987	0.936,1.0,1.0	0.928,0.644,1.0	0.121
3092	ENSG00000260372	AQP4-AS1	chr18	+	26688078	26688573	26688078	26688154	26689354	26689668	3092	10,7,1	0,1,0	16,10,9	2,4,0	568	149	0.000247528506296	0.0158404259368	1.0,0.647,1.0	0.677,0.396,1.0	0.191
3108	ENSG00000215386	MIR99AHG	chr21	+	16589352	16589557	16589352	16589540	16594339	16594454	3108	0,1,1	10,5,2	1,1,2	0,0,1	166	149	3.02108560613e-07	0.000162877457234	0.0,0.152,0.31	1.0,1.0,0.642	-0.727
3109	ENSG00000215386	MIR99AHG	chr21	+	16589352	16589574	16589352	16589540	16594339	16594454	3109	0,1,1	10,5,2	2,1,1	0,0,1	183	149	6.4617166351e-07	0.000281507170484	0.0,0.14,0.289	1.0,1.0,0.449	-0.673
3110	ENSG00000215386	MIR99AHG	chr21	+	16589352	16589736	16589352	16589540	16594339	16594454	3110	0,4,4	10,5,2	1,3,5	0,0,1	345	149	8.75716106186e-07	0.000354258440527	0.0,0.257,0.463	1.0,1.0,0.683	-0.654
3250	ENSG00000235098	ANKRD65	chr1	-	1420796	1421005	1420815	1421005	1418419	1419549	3250	9,2,9	4,0,4	24,29,12	1,0,2	168	149	0.000726737280261	0.0322813849942	0.666,1.0,0.666	0.955,1.0,0.842	-0.155
3292	ENSG00000143578	CREB3L4	chr1	+	153968521	153968699	153968521	153968639	153968929	153969176	3292	48,62,54	17,31,16	73,54,41	6,8,7	209	149	3.78460074431e-05	0.00471078820119	0.668,0.588,0.706	0.897,0.828,0.807	-0.19
3447	ENSG00000226711	FAM66C	chr12	+	8188471	8188645	8188471	8188535	8194202	8194481	3447	74,80,61	29,16,12	61,49,51	6,6,4	259	149	0.00117133767883	0.0423915269289	0.595,0.742,0.745	0.854,0.825,0.88	-0.159
3625	ENSG00000089820	ARHGAP4	chrX	-	153910170	153910611	153910505	153910611	153910011	153910085	3625	31,46,25	0,0,1	39,26,36	1,3,4	484	149	0.00019500860815	0.0133512946548	1.0,1.0,0.885	0.923,0.727,0.735	0.167
3654	ENSG00000107862	GBF1	chr10	+	102376934	102377140	102376934	102377128	102379283	102379434	3654	201,207,165	263,204,202	142,167,136	228,289,244	161	149	0.000944973523277	0.0381558994814	0.414,0.484,0.431	0.366,0.348,0.34	0.092
3679	ENSG00000164877	MICALL2	chr7	-	1437433	1437608	1437534	1437608	1436741	1436856	3679	28,25,19	57,50,42	5,14,14	84,37,45	250	149	0.000992573911483	0.0390059218564	0.226,0.23,0.212	0.034,0.184,0.156	0.098
3825	ENSG00000230805	NA	chr14	-	101073385	101074129	101074032	101074129	101071977	101072900	3825	27,51,25	6,5,5	35,43,21	0,3,0	796	149	0.000186783113774	0.0133512946548	0.457,0.656,0.483	1.0,0.728,1.0	-0.377
3890	ENSG00000235652	EPM2A-DT	chr6	+	145828360	145828456	145828360	145828420	145881578	145881648	3890	1,4,7	4,7,2	0,2,1	1,0,0	185	149	0.00077091775057	0.0337150013927	0.168,0.315,0.738	0.0,1.0,1.0	-0.26
3933	ENSG00000168958	MFF	chr2	+	227328677	227330846	227328677	227328789	227332418	227332588	3933	1437,1395,1066	11,11,6	1272,1419,1326	3,2,3	2206	149	0.000167019780255	0.0125985035942	0.898,0.895,0.923	0.966,0.98,0.968	-0.066
4008	ENSG00000145495	MARCHF6	chr5	+	10417269	10417410	10417269	10417404	10421930	10422036	4008	8,10,8	3,0,9	13,7,10	0,0,1	155	149	5.7266230935e-05	0.00629761745438	0.719,1.0,0.461	1.0,1.0,0.906	-0.242
4265	ENSG00000075975	MKRN2	chr3	+	12574791	12576741	12574791	12575006	12581807	12581952	4265	459,477,387	0,0,0	538,454,453	3,5,2	1884	149	0.000355523853145	0.0203384782049	1.0,1.0,1.0	0.934,0.878,0.947	0.08
4333	ENSG00000197375	SLC22A5	chr5	+	132384146	132384314	132384146	132384301	132385327	132385499	4333	1,11,2	14,5,0	1,0,1	10,26,27	162	149	7.2995132573e-05	0.00751650787868	0.062,0.669,1.0	0.084,0.0,0.033	0.538
4493	ENSG00000255717	SNHG1	chr11	-	62854887	62855216	62855132	62855216	62854518	62854551	4493	842,1096,832	105,125,111	1087,984,800	240,144,144	394	149	0.000833869559627	0.0350463239895	0.752,0.768,0.739	0.631,0.721,0.678	0.076
