40	ENSG00000245937	SLC12A2-DT	chr5	-	128076946	128077093	127965884	127966928	128082734	128082881	40	11,29,52,34	0,11,0,1	6,14,14,27	0,2,0,0	246	99	0.00122713150967	0.0382054853031	1.0,0.515,1.0,0.932	1.0,0.738,1.0,1.0	-0.073
364	ENSG00000128908	INO80	chr15	-	41016087	41016215	41005592	41005687	41020899	41021125	364	0,14,9,9	1,2,6,0	9,10,21,4	0,0,0,0	227	99	0.000765693561374	0.026863032789	0.0,0.753,0.395,1.0	1.0,1.0,1.0,1.0	-0.463
375	ENSG00000128908	INO80	chr15	-	41059866	41059926	41056621	41056706	41069569	41069659	375	20,22,65,21	0,2,0,0	13,13,38,27	0,23,8,0	159	99	6.95472018489e-05	0.0043546207691	1.0,0.873,1.0,1.0	1.0,0.26,0.747,1.0	0.217
490	ENSG00000163596	ICA1L	chr2	-	202796889	202796964	202788829	202789087	202811745	202811789	490	83,193,333,186	2,3,0,9	76,233,290,217	4,2,37,15	174	99	1.69533563787e-06	0.000279960151013	0.959,0.973,1.0,0.922	0.915,0.985,0.817,0.892	0.061
501	ENSG00000163596	ICA1L	chr2	-	202870529	202870656	202828847	202829016	202871190	202871246	501	2,4,1,6	0,0,0,0	0,4,1,20	2,4,0,1	226	99	0.00023760633004	0.0111348945643	1.0,1.0,1.0,1.0	0.0,0.305,1.0,0.898	0.449
567	ENSG00000087076	HSD17B14	chr19	-	48813432	48813552	48813017	48813348	48813662	48813730	567	0,1,9,1	5,15,10,14	0,0,0,0	9,9,7,5	219	99	0.000901757792078	0.0303380931212	0.0,0.029,0.289,0.031	0.0,0.0,0.0,0.0	0.087
568	ENSG00000087076	HSD17B14	chr19	-	48813455	48813552	48813017	48813348	48813662	48813730	568	0,3,17,2	5,15,10,14	0,3,0,0	9,9,7,5	196	99	0.000410663435608	0.0167240551076	0.0,0.092,0.462,0.067	0.0,0.144,0.0,0.0	0.119
634	ENSG00000129534	MIS18BP1	chr14	-	45232732	45232820	45231140	45231298	45235813	45235944	634	2,17,15,15	8,0,0,6	1,12,2,10	0,2,0,0	187	99	0.000644775443931	0.023670819677	0.117,1.0,1.0,0.57	1.0,0.761,1.0,1.0	-0.269
743	ENSG00000187984	ANKRD19P	chr9	+	92818317	92818424	92813873	92814047	92819241	92819379	743	110,167,282,333	1,9,28,15	68,180,204,264	2,7,0,2	206	99	3.50138060468e-06	0.000467009587042	0.981,0.899,0.829,0.914	0.942,0.925,1.0,0.984	-0.057
1281	ENSG00000144674	GOLGA4	chr3	+	37337142	37337163	37335052	37335166	37337665	37337734	1281	46,19,7,57	0,3,0,1	33,17,7,67	0,1,12,7	120	99	0.00127377279571	0.0394126459686	1.0,0.839,1.0,0.979	1.0,0.933,0.325,0.888	0.168
1566	ENSG00000174373	RALGAPA1	chr14	-	35541739	35541804	35538351	35539690	35548507	35548538	1566	2,5,13,0	4,9,7,8	0,2,0,0	4,8,1,8	164	99	1.74346853901e-05	0.00151735615204	0.232,0.251,0.529,0.0	0.0,0.131,0.0,0.0	0.22
1684	ENSG00000162601	MYSM1	chr1	-	58667037	58667226	58661405	58661511	58667846	58667921	1684	56,57,67,102	3,0,0,2	65,36,53,124	15,0,0,8	288	99	0.00127883459126	0.039515024704	0.865,1.0,1.0,0.946	0.598,1.0,1.0,0.842	0.093
1689	ENSG00000162601	MYSM1	chr1	-	58671869	58671958	58661405	58661511	58673572	58673650	1689	4,20,15,16	1,0,0,0	20,32,18,26	3,7,0,2	188	99	1.41738196517e-05	0.00129349015696	0.678,1.0,1.0,1.0	0.778,0.707,1.0,0.873	0.08
2114	ENSG00000228824	MIR4500HG	chr13	-	87621007	87621158	87615562	87615755	87670835	87671106	2114	2,0,8,2	1,6,4,25	0,1,0,1	5,13,7,27	250	99	0.00107030177754	0.0344652462393	0.442,0.0,0.442,0.031	0.0,0.03,0.0,0.014	0.218
2221	ENSG00000172673	THEMIS	chr6	-	127807215	127807332	127719687	127719823	127812882	127813931	2221	5,1,0,4	11,3,1,10	0,0,0,1	11,3,2,5	216	99	0.000231837902868	0.0109671734912	0.172,0.133,0.0,0.155	0.0,0.0,0.0,0.084	0.094
2305	ENSG00000034533	ASTE1	chr3	-	131016989	131017049	131016143	131016339	131018505	131018716	2305	0,0,0,0	5,1,1,3	6,11,43,4	4,7,0,0	159	99	7.9936057773e-15	1.80183867826e-11	0.0,0.0,0.0,0.0	0.483,0.495,1.0,1.0	-0.744
2685	ENSG00000225470	JPX	chrX	+	73998767	73998844	73994557	73994961	74004269	74004529	2685	6,2,7,1	3,4,5,0	7,2,1,1	0,0,0,1	176	99	2.33506113601e-06	0.000345145003717	0.529,0.22,0.441,1.0	1.0,1.0,1.0,0.36	-0.292
2687	ENSG00000225470	JPX	chrX	+	73998767	74000496	73994839	73994961	74004269	74007534	2687	142,240,124,186	3,4,5,0	155,193,97,183	0,0,0,1	1828	99	1.97382781164e-06	0.000311939209094	0.719,0.765,0.573,1.0	1.0,1.0,1.0,0.908	-0.213
2688	ENSG00000225470	JPX	chrX	+	73998953	74000496	73994839	73994961	74004269	74007534	2688	136,232,112,185	3,4,5,0	147,185,95,181	0,0,0,1	1642	99	2.15007661386e-06	0.000328514934516	0.732,0.778,0.575,1.0	1.0,1.0,1.0,0.916	-0.208
2692	ENSG00000225470	JPX	chrX	+	73999354	74000496	73994839	73994961	74004269	74004543	2692	104,165,66,148	3,4,5,0	114,122,80,156	0,0,0,1	1241	99	1.47560449504e-06	0.000251981825172	0.734,0.767,0.513,1.0	1.0,1.0,1.0,0.926	-0.228
2728	ENSG00000102858	MGRN1	chr16	+	4677462	4677572	4673497	4673657	4681549	4681776	2728	45,101,233,37	7,1,2,6	66,83,71,41	15,10,12,4	209	99	0.000317761445509	0.013908079113	0.753,0.98,0.982,0.745	0.676,0.797,0.737,0.829	0.105
2736	ENSG00000143156	NME7	chr1	-	169246987	169247060	169237622	169237687	169287302	169287408	2736	3,0,0,1	7,13,23,24	0,7,17,0	9,27,9,18	172	99	0.000991834786756	0.0327574328619	0.198,0.0,0.0,0.023	0.0,0.13,0.521,0.0	-0.108
2805	ENSG00000157796	WDR19	chr4	+	39199477	39199593	39194543	39194659	39203641	39203722	2805	67,52,90,163	0,1,0,6	44,52,31,110	9,0,2,9	215	99	0.000265052319428	0.012106472811	1.0,0.96,1.0,0.926	0.692,1.0,0.877,0.849	0.117
2899	ENSG00000147789	ZNF7	chr8	+	144830930	144831029	144829477	144829604	144837390	144837507	2899	1,3,2,0	0,0,15,2	1,4,0,3	0,0,1,0	198	99	0.00035543755	0.0150883574662	1.0,1.0,0.063,0.0	1.0,1.0,0.0,1.0	-0.234
3130	ENSG00000168438	CDC40	chr6	+	110215285	110215331	110213085	110213160	110217701	110217803	3130	17,17,17,24	0,0,0,0	27,43,25,38	3,0,8,0	145	99	0.000196645252086	0.00963159596994	1.0,1.0,1.0,1.0	0.86,1.0,0.681,1.0	0.115
3201	ENSG00000119946	CNNM1	chr10	+	99387819	99388003	99377054	99377218	99390305	99390407	3201	34,31,61,40	2,4,16,0	29,25,53,40	0,1,0,0	283	99	2.6831879385e-07	7.20020706211e-05	0.856,0.731,0.571,1.0	1.0,0.897,1.0,1.0	-0.185
3247	ENSG00000198363	ASPH	chr8	-	61682438	61682483	61680967	61681036	61684038	61684188	3247	24,17,17,51	4,0,4,2	14,9,19,19	0,0,0,3	144	99	0.00159167408601	0.0460563871281	0.805,1.0,0.745,0.946	1.0,1.0,1.0,0.813	-0.079
3289	ENSG00000116299	ELAPOR1	chr1	+	109197978	109198075	109197473	109197654	109198572	109198674	3289	4,7,9,13	0,0,0,1	10,8,0,4	0,14,6,1	196	99	2.97631219115e-07	7.50379953169e-05	1.0,1.0,1.0,0.868	1.0,0.224,0.0,0.669	0.494
3329	ENSG00000174306	ZHX3	chr20	-	41201285	41201384	41178447	41185201	41202056	41204041	3329	2,0,8,1	7,3,28,4	0,0,0,1	14,4,18,11	198	99	0.000217970688524	0.0104121045182	0.125,0.0,0.125,0.111	0.0,0.0,0.0,0.043	0.08
3340	ENSG00000087299	L2HGDH	chr14	-	50265357	50265489	50242433	50247253	50267752	50267910	3340	10,11,15,4	0,0,0,0	6,3,3,11	0,0,14,2	231	99	0.000156028179086	0.0081886639925	1.0,1.0,1.0,1.0	1.0,1.0,0.084,0.702	0.303
3459	ENSG00000141027	NCOR1	chr17	-	16087171	16087345	16086281	16086442	16091862	16092058	3459	56,42,127,62	90,169,132,165	33,42,10,61	108,176,153,181	273	99	4.02064729721e-06	0.000513481080603	0.184,0.083,0.259,0.12	0.1,0.08,0.023,0.109	0.084
3471	ENSG00000139131	YARS2	chr12	-	32749936	32750107	32746543	32747363	32750718	32750839	3471	13,29,60,38	0,1,0,0	17,27,32,26	0,1,15,0	270	99	0.000316448496217	0.0138851051857	1.0,0.914,1.0,1.0	1.0,0.908,0.439,1.0	0.142
3559	ENSG00000196876	SCN8A	chr12	+	51689004	51689096	51688757	51688849	51699569	51699791	3559	13,14,35,16	0,0,4,5	10,11,27,17	0,0,0,2	191	99	0.000340110808055	0.0146306063442	1.0,1.0,0.819,0.624	1.0,1.0,1.0,0.815	-0.093
