ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16	ENSG00000110514	MADD	chr11	+	47288967	47289027	47285450	47285590	47289390	47289493	16	6,13,8,9,19,19,27,10,24,16,4,15	0,1,6,1,1,0,5,2,2,1,1,3	14,16,16,26,15,13,10,9,13,24,3,12	2,0,0,1,0,1,1,3,2,0,0,0	160	100	7.82374012714e-05	0.0206367871999	1.0,0.89,0.455,0.849,0.922,1.0,0.771,0.758,0.882,0.909,0.714,0.758	0.814,1.0,1.0,0.942,1.0,0.89,0.862,0.652,0.802,1.0,1.0,1.0	-0.088
67	ENSG00000245937	SLC12A2-DT	chr5	-	128061143	128061244	127965878	127966928	128082734	128082994	67	17,35,12,16,20,28,19,17,22,22,14,39	3,0,6,1,1,0,1,3,4,4,0,2	21,32,84,29,14,40,27,22,14,27,27,10	0,0,0,2,0,0,1,1,0,3,2,1	201	100	3.23496052679e-06	0.00185906908357	0.738,1.0,0.499,0.888,0.909,1.0,0.904,0.738,0.732,0.732,1.0,0.907	1.0,1.0,1.0,0.878,1.0,1.0,0.931,0.916,1.0,0.817,0.87,0.833	-0.1
124	ENSG00000173166	RAPH1	chr2	-	203477075	203477156	203470238	203470313	203489583	203490089	124	38,61,191,50,94,139,77,71,110,58,42,70	2,3,2,2,1,8,1,0,1,2,0,1	91,41,91,41,112,56,51,121,57,63,29,24	1,2,47,2,2,0,4,9,2,2,1,3	181	100	3.59286419072e-06	0.00201121883944	0.913,0.918,0.981,0.932,0.981,0.906,0.977,1.0,0.984,0.941,1.0,0.975	0.98,0.919,0.517,0.919,0.969,1.0,0.876,0.881,0.94,0.946,0.941,0.815	0.067
1311	ENSG00000162664	ZNF326	chr1	+	90007344	90007750	90005132	90005244	90010087	90010286	1311	27,71,60,34,71,54,47,44,43,53,27,51	0,6,4,2,4,2,1,0,2,2,0,3	45,36,82,29,54,41,30,42,44,40,26,34	0,3,0,0,0,2,1,0,1,0,2,0	506	100	1.8240045494e-06	0.00124742928326	1.0,0.7,0.748,0.771,0.778,0.842,0.903,1.0,0.809,0.84,1.0,0.771	1.0,0.703,1.0,1.0,1.0,0.802,0.856,1.0,0.897,1.0,0.72,1.0	-0.068
1312	ENSG00000162664	ZNF326	chr1	+	90007611	90007750	90005132	90005244	90010087	90010286	1312	11,51,46,20,36,29,21,20,25,44,15,26	0,6,4,2,4,2,1,0,2,2,0,3	28,23,77,22,44,27,23,22,20,22,13,31	0,3,0,0,0,2,1,0,1,0,2,0	239	100	2.39840135141e-06	0.00151040324439	1.0,0.781,0.828,0.807,0.79,0.858,0.898,1.0,0.839,0.902,1.0,0.784	1.0,0.762,1.0,1.0,1.0,0.85,0.906,1.0,0.893,1.0,0.731,1.0	-0.055
1614	ENSG00000204576	PRR3	chr6	+	30558149	30558212	30557294	30557450	30561327	30561508	1614	5,5,15,4,9,10,4,10,18,19,5,10	2,0,6,0,4,2,4,1,0,1,1,1	8,13,28,3,5,6,13,13,3,8,7,7	0,0,0,0,0,4,1,3,0,2,0,0	163	100	5.51054396891e-07	0.000494467335993	0.605,1.0,0.605,1.0,0.58,0.754,0.38,0.86,1.0,0.921,0.754,0.86	1.0,1.0,1.0,1.0,1.0,0.479,0.889,0.727,1.0,0.71,1.0,1.0	-0.124
2066	ENSG00000136856	SLC2A8	chr9	+	127405419	127405565	127404817	127404991	127407111	127407291	2066	23,22,16,19,38,25,34,26,26,32,14,19	1,6,3,1,2,3,7,4,1,9,7,0	28,27,22,13,25,31,20,28,24,31,9,17	2,0,0,1,0,1,5,0,2,0,1,0	246	100	2.99049320862e-08	4.96688059389e-05	0.903,0.598,0.684,0.885,0.885,0.772,0.664,0.725,0.914,0.591,0.448,1.0	0.851,1.0,1.0,0.841,1.0,0.926,0.619,1.0,0.83,1.0,0.785,1.0	-0.149
2711	ENSG00000162601	MYSM1	chr1	-	58689037	58689116	58685152	58685251	58690339	58690417	2711	23,43,51,23,87,58,64,27,66,77,23,51	0,0,17,3,8,1,3,2,2,3,5,7	39,50,29,38,23,65,82,67,29,63,11,38	0,2,4,0,1,4,1,2,2,1,0,3	179	100	8.97037212295e-05	0.0228926322419	1.0,1.0,0.626,0.811,0.859,0.97,0.923,0.883,0.949,0.935,0.72,0.803	1.0,0.933,0.802,1.0,0.928,0.901,0.979,0.949,0.89,0.972,1.0,0.876	-0.063
2851	ENSG00000300022	NA	chr5	-	70207557	70207745	70203782	70203965	70219917	70220092	2851	60,452,193,97,408,129,395,146,148,155,150,192	14,42,52,9,29,40,58,35,15,30,36,13	150,220,208,132,360,224,184,192,246,193,245,215	6,31,6,15,38,26,12,10,20,20,28,15	288	100	5.45611433643e-05	0.0161378195092	0.598,0.789,0.563,0.789,0.83,0.528,0.703,0.592,0.774,0.642,0.591,0.837	0.897,0.711,0.923,0.753,0.767,0.749,0.842,0.87,0.81,0.77,0.752,0.833	-0.12
2854	ENSG00000300022	NA	chr5	-	70207626	70207745	70203880	70203965	70219917	70220092	2854	51,399,156,78,319,108,303,117,129,124,127,144	14,42,52,9,29,40,58,35,15,30,36,13	116,168,180,112,310,185,146,157,196,144,188,161	6,31,6,15,38,26,12,10,20,20,28,15	219	100	7.12258261062e-05	0.0194316653132	0.625,0.813,0.578,0.798,0.834,0.552,0.705,0.604,0.797,0.654,0.617,0.835	0.898,0.712,0.932,0.773,0.788,0.765,0.847,0.878,0.817,0.767,0.754,0.831	-0.112
