gene_name	groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Con1	Con2	log2fold_Con2_Con1	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.SRR5938419_Aligned.sortedByCoord.out	countData.SRR5938420_Aligned.sortedByCoord.out	countData.SRR5938421_Aligned.sortedByCoord.out	countData.SRR5938422_Aligned.sortedByCoord.out	countData.SRR5938423_Aligned.sortedByCoord.out	countData.SRR5938424_Aligned.sortedByCoord.out	countData.SRR5938425_Aligned.sortedByCoord.out	countData.SRR5938426_Aligned.sortedByCoord.out	countData.SRR5938427_Aligned.sortedByCoord.out	countData.SRR5938428_Aligned.sortedByCoord.out	countData.SRR5938429_Aligned.sortedByCoord.out	countData.SRR5938430_Aligned.sortedByCoord.out	countData.SRR5938456_Aligned.sortedByCoord.out	countData.SRR5938457_Aligned.sortedByCoord.out	countData.SRR5938458_Aligned.sortedByCoord.out	countData.SRR5938459_Aligned.sortedByCoord.out	countData.SRR5938460_Aligned.sortedByCoord.out	countData.SRR5938461_Aligned.sortedByCoord.out	countData.SRR5938462_Aligned.sortedByCoord.out	countData.SRR5938463_Aligned.sortedByCoord.out	countData.SRR5938464_Aligned.sortedByCoord.out	countData.SRR5938465_Aligned.sortedByCoord.out	countData.SRR5938466_Aligned.sortedByCoord.out	countData.SRR5938467_Aligned.sortedByCoord.out
GCLC	ENSG00000001084	E035	14.2549835830023	0.0187669531821971	14.0706502840758	0.000176069905787931	0.0199791062523374	1.26328833605535	1.08250082921266	-0.644184647659549	6	53520778	53520960	183	-	16	34	11	8	41	28	19	27	13	14	10	12	18	11	14	6	12	23	6	19	4	8	10	7
NIPAL3	ENSG00000001461	E007	99.4987711097907	0.0177253134035949	12.9760479506936	0.000315501219602178	0.027152645287714	2.04690719332471	1.93359252583216	-0.380324039863366	1	24419291	24419640	350	+	61	154	93	75	195	194	155	117	93	127	119	136	90	76	131	45	112	123	85	93	68	92	34	73
ANKIB1	ENSG00000001629	E003	251.758920113008	0.0200907439556205	14.4241996180755	0.0001459151435132	0.0183566158422829	2.45842787664954	2.33583453808784	-0.408890355656113	7	92294889	92295166	278	+	191	518	290	140	427	455	399	259	245	391	180	264	312	239	294	140	183	326	295	255	160	233	112	226
KRIT1	ENSG00000001631	E050	39.6551205238466	0.00593839332071235	11.6485742197024	0.000642517618789811	0.0383562113915494	1.65895234319023	1.55487943514062	-0.354508950618727	7	92245172	92245426	255	-	26	67	34	27	59	64	49	38	46	70	23	36	46	54	39	25	28	48	46	36	29	44	29	54
ALS2	ENSG00000003393	E012	41.0084129981103	0.00477048799789034	17.2912612340594	3.20658127236186e-05	0.00834068410423622	1.68805233999607	1.55751959635997	-0.444250942659316	2	201700801	201701138	338	-	30	45	38	20	73	82	72	43	34	55	31	52	51	41	56	26	42	32	52	41	31	30	26	57
ALS2	ENSG00000003393	E095	80.526138179807	0.00729947500036037	15.9667168122305	6.44659614276523e-05	0.0116093646018398	1.85774406423721	1.96141474573	0.348691000108298	2	201747495	201749711	2217	-	47	95	34	27	103	113	108	47	81	96	42	68	127	102	192	87	122	85	87	112	84	90	56	111
ALS2	ENSG00000003393	E103	71.0214331409646	0.00476161251033954	11.3177287815038	0.000767705574983405	0.0419604791130724	1.81619148383731	1.89836607591805	0.276829314117867	2	201755006	201756827	1822	-	38	76	31	32	90	127	102	64	66	59	34	61	119	74	138	74	86	78	80	91	71	73	52	145
ALS2	ENSG00000003393	E115	98.5193171246838	0.0146072058056983	12.1535398655233	0.000489947850328313	0.0333185095475714	2.05516086833814	1.93599592832174	-0.399910334388038	2	201760881	201761324	444	-	58	130	145	67	143	173	139	103	97	159	52	81	114	92	125	90	87	81	102	123	91	98	48	123
SLC7A2	ENSG00000003989	E007	12.4248669613002	0.00802553378951991	13.7779255669049	0.000205739492119338	0.0214427250545329	1.1938693532785	1.06170013311185	-0.474576118403652	8	17543318	17543715	398	+	12	8	13	5	31	19	16	12	5	19	4	9	17	15	0	7	11	16	14	21	7	7	15	37
SLC7A2	ENSG00000003989	E020	333.570838220636	0.0181092161975116	17.3941624569806	3.03757455257501e-05	0.00814084987261783	2.45576961419715	2.55575831195358	0.333197347355377	8	17565275	17570561	5287	+	189	275	154	85	620	475	270	265	139	312	125	182	357	586	251	246	388	559	427	519	210	299	414	1382
FKBP4	ENSG00000004478	E014	11.3527672991845	0.0493198545620263	14.6128481145034	0.000132011448431853	0.0173368594097477	1.15990636352488	0.915762948528654	-0.894303087152998	12	2799088	2799244	157	+	9	18	30	17	18	17	18	10	12	18	13	9	13	6	0	8	6	16	8	12	4	1	4	4
RBM6	ENSG00000004534	E024	11.1412168611027	0.0192830171690612	28.9486200952392	7.43237400269149e-08	0.000314247235767712	0.910344463693603	1.2116244619514	1.09860283784604	3	49981561	49981668	108	+	3	16	6	2	8	11	8	7	10	7	2	9	13	9	28	10	15	24	24	17	15	13	13	23
CDC27	ENSG00000004897	E022	16.5394055396777	0.0335649804301006	24.075475148711	9.26325883865361e-07	0.00145546063387815	1.3794169835558	1.08675781381458	-1.03394178028482	17	47142229	47142381	153	-	15	20	14	9	40	49	25	34	21	29	12	14	21	17	20	5	4	19	9	17	14	12	4	13
POLR2J	ENSG00000005075	E002	150.255340012788	0.0494110818716209	10.726052356525	0.00105637573137214	0.0494123686257891	2.22558569253948	2.12555659161559	-0.334527340799599	7	102474361	102474535	175	-	100	369	125	74	225	348	175	136	174	295	111	140	121	116	179	71	96	182	156	271	101	127	84	188
THSD7A	ENSG00000005108	E032	44.1408062175447	0.0101965622476407	11.0727494750196	0.000876056831019187	0.0447459021114343	1.6927819450618	1.61014048797252	-0.280804174494986	7	11636612	11636961	350	-	29	30	77	19	50	79	68	39	62	62	33	33	65	28	62	54	25	25	55	84	39	33	16	59
ATOSB	ENSG00000005238	E012	52.4870027337451	0.007782118240581	13.381064050704	0.000254177487635657	0.0237899364414024	1.74925713343028	1.67689280121567	-0.245140961938372	9	35107569	35108127	559	-	36	56	87	42	111	87	80	50	66	65	46	62	50	45	69	30	48	46	41	65	38	34	28	42
