ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
63	ENSG00000159267	HLCS	chr21	-	36767217	36767285	36896859	36897131	36765011	36765172	36930250	36930433	63	129,80,54,220,135,69,97,149,167,178,84	18,10,13,30,37,16,8,35,37,9,9	219,216,265,215,111,75,166,61,87	8,9,12,5,9,17,25,14,11	372	168	0.000386339498729	0.00766127804204	0.764,0.783,0.652,0.768,0.622,0.661,0.846,0.658,0.671,0.899,0.808	0.925,0.916,0.909,0.951,0.848,0.666,0.75,0.663,0.781	-0.084
83	ENSG00000128908	INO80	chr15	-	41079700	41079904	41081019	41081073	41074369	41074565	41085368	41085583	83	4,2,2,15,5,11,6,16,15,8,14	81,77,68,93,98,77,89,121,78,116,122	2,4,8,0,2,6,5,13,0	109,63,79,91,113,88,87,61,51	154	304	0.00418801621147	0.0467470701327	0.089,0.049,0.055,0.241,0.092,0.22,0.117,0.207,0.275,0.12,0.185	0.035,0.111,0.167,0.0,0.034,0.119,0.102,0.296,0.0	0.054
93	ENSG00000021645	NRXN3	chr14	+	79697629	79697937	79805111	79805190	79663777	79663949	79861038	79862478	93	354,86,74,388,439,70,230,432,444,524,616	3,12,6,7,19,0,2,17,19,18,10	428,215,367,118,207,259,390,265,109	12,16,13,28,17,7,14,9,15	408	179	0.000210729256996	0.00474769319007	0.981,0.759,0.844,0.961,0.91,1.0,0.981,0.918,0.911,0.927,0.964	0.94,0.855,0.925,0.649,0.842,0.942,0.924,0.928,0.761	0.06
111	ENSG00000122958	VPS26A	chr10	+	69157006	69157163	69158046	69158211	69132897	69133047	69162405	69162512	111	58,30,46,116,106,36,124,102,32,118,131	48,18,19,65,71,17,73,53,64,98,88	111,31,112,86,85,73,98,49,38	27,25,68,28,20,28,54,22,13	257	265	0.000911179439553	0.0144998344024	0.555,0.632,0.714,0.648,0.606,0.686,0.637,0.665,0.34,0.554,0.606	0.809,0.561,0.629,0.76,0.814,0.729,0.652,0.697,0.751	-0.107
127	ENSG00000082516	GEMIN5	chr5	-	154904506	154904629	154905362	154905476	154903079	154903175	154907590	154907818	127	110,48,40,63,49,42,67,118,105,62,44	47,23,16,56,20,27,34,32,38,30,34	87,80,86,116,64,77,96,80,45	18,32,28,23,34,14,14,19,14	214	223	1.95100570639e-05	0.000728534834325	0.709,0.685,0.723,0.54,0.719,0.618,0.673,0.793,0.742,0.683,0.574	0.834,0.723,0.762,0.84,0.662,0.851,0.877,0.814,0.77	-0.114
128	ENSG00000082516	GEMIN5	chr5	-	154905362	154905476	154907590	154907818	154904506	154904629	154911726	154911898	128	117,65,46,123,110,65,138,152,95,121,147	20,10,25,40,42,14,33,42,37,53,36	92,60,153,132,166,128,180,131,52	33,36,11,24,14,32,11,16,4	328	214	0.000815666597359	0.013360702096	0.792,0.809,0.546,0.667,0.631,0.752,0.732,0.702,0.626,0.598,0.727	0.645,0.521,0.901,0.782,0.886,0.723,0.914,0.842,0.895	-0.101
129	ENSG00000119471	HSDL2	chr9	+	112405623	112405722	112408906	112409021	112403994	112404158	112416840	112416944	129	131,114,40,187,186,92,109,229,153,190,154	63,44,43,132,125,57,80,106,122,102,89	158,95,104,164,104,134,117,122,126	45,69,84,70,35,62,36,22,60	199	215	0.00258384740151	0.0321996781467	0.692,0.737,0.501,0.605,0.617,0.636,0.595,0.7,0.575,0.668,0.652	0.791,0.598,0.572,0.717,0.762,0.7,0.778,0.857,0.694	-0.084
138	ENSG00000164463	CREBRF	chr5	+	173086500	173086626	173090314	173091401	173080584	173080784	173108623	173108818	138	43,60,28,93,79,52,36,104,84,96,71	783,629,541,1317,1009,658,958,1516,1060,896,974	57,42,35,34,33,42,59,39,37	815,726,1201,1650,1372,1189,1322,725,588	226	1187	4.72838781462e-08	5.24226586169e-06	0.224,0.334,0.214,0.271,0.291,0.293,0.165,0.265,0.294,0.36,0.277	0.269,0.233,0.133,0.098,0.112,0.156,0.19,0.22,0.248	0.087
139	ENSG00000164463	CREBRF	chr5	+	173090314	173091401	173108623	173108818	173086500	173086626	173110521	173110711	139	783,572,542,1295,986,639,917,1451,973,870,952	102,84,96,172,135,127,152,219,168,208,210	769,703,1121,1638,1295,1224,1345,716,593	141,107,171,133,132,175,104,91,79	1187	295	0.000503210428292	0.00925157955637	0.656,0.629,0.584,0.652,0.645,0.556,0.6,0.622,0.59,0.51,0.53	0.575,0.62,0.62,0.754,0.709,0.635,0.763,0.662,0.651	-0.068
351	ENSG00000144674	GOLGA4	chr3	+	37281957	37282272	37289234	37289291	37251394	37251484	37294978	37295077	351	542,400,406,655,562,381,819,827,489,638,498	73,70,73,97,86,53,105,73,72,99,102	451,321,789,951,918,713,673,520,924	99,71,68,48,97,101,73,37,53	415	157	0.00334558803948	0.0391115535758	0.737,0.684,0.678,0.719,0.712,0.731,0.747,0.811,0.72,0.709,0.649	0.633,0.631,0.814,0.882,0.782,0.728,0.777,0.842,0.868	-0.055
353	ENSG00000144674	GOLGA4	chr3	+	37282091	37282272	37289234	37289291	37251394	37251484	37294978	37295077	353	371,273,278,444,375,256,608,557,327,418,352	73,70,73,97,86,53,105,73,72,99,102	325,235,559,719,647,494,475,383,698	99,71,68,48,97,101,73,37,53	281	157	0.000575516165429	0.0102436293783	0.74,0.685,0.68,0.719,0.709,0.73,0.764,0.81,0.717,0.702,0.658	0.647,0.649,0.821,0.893,0.788,0.732,0.784,0.853,0.88	-0.064
358	ENSG00000144674	GOLGA4	chr3	+	37328962	37329093	37335052	37335166	37328415	37328537	37337665	37337734	358	303,189,204,327,214,198,424,366,307,307,381	64,41,21,95,44,30,85,71,58,60,62	280,183,340,178,335,339,359,202,345	49,49,56,81,146,78,82,40,105	231	214	0.00169101293781	0.0234894409382	0.814,0.81,0.9,0.761,0.818,0.859,0.822,0.827,0.831,0.826,0.851	0.841,0.776,0.849,0.671,0.68,0.801,0.802,0.824,0.753	0.052
365	ENSG00000228495	LINC01013	chr6	+	132098930	132099076	132106643	132106916	132090445	132090726	132127527	132127663	365	16,6,9,15,25,9,8,19,27,14,18	22,21,6,36,29,5,12,24,22,16,25	14,5,5,0,6,0,1,2,0	14,23,12,4,3,20,30,9,11	246	373	0.000101657667801	0.00267517985635	0.524,0.302,0.695,0.387,0.567,0.732,0.503,0.546,0.65,0.57,0.522	0.603,0.248,0.387,0.0,0.752,0.0,0.048,0.252,0.0	0.291
