	gene_id	RI_con1-RI_con2_dPSI	RI_con1-RI_con2_p-val
TSPAN17	ENSG00000048140	ENSG00000048140;RI:5:176652743:176652913-176654895:176655020:+	0.2771121714	0.0434565435
RHOA	ENSG00000067560	ENSG00000067560;RI:3:49359140:49360382-49362496:49362626:-	0.2348258044	0.046953047
MCOLN1	ENSG00000090674	ENSG00000090674;RI:19:7527520:7527628-7527864:7527960:+	0.5668487201	0.0224775225
RPL18A	ENSG00000105640	ENSG00000105640;RI:19:17861293:17861307-17861425:17861472:+	-0.2502056468	0.033966034
CCKBR	ENSG00000110148	ENSG00000110148;RI:11:6270646:6270803-6271011:6272127:+	-0.4391940314	0.0354645355
NPFF	ENSG00000139574	ENSG00000139574;RI:12:53507021:53507142-53507373:53507484:-	-0.3366938048	0.037962038
PML	ENSG00000140464	ENSG00000140464;RI:15:74034478:74034530-74035172:74036394:+	-0.4862110919	0.03996004
DDIT3	ENSG00000175197	ENSG00000175197;RI:12:57517269:57517424-57517706:57517753:-	-0.4143653523	0.037962038
LRRC51	ENSG00000184154	ENSG00000184154;RI:11:72094948:72095096-72095379:72096895:+	0.4736904363	0.045954046
SEPTIN5	ENSG00000184702	ENSG00000184702;RI:22:19722237:19722339-19722428:19723319:+	-0.4849860304	0.0294705295
ACKR1	ENSG00000213088	ENSG00000213088;RI:1:159205461:159205653-159206280:159206500:+	0.3187564655	0.0304695305
	ENSG00000214719	ENSG00000214719;RI:17:30631755:30631979-30633098:30633390:+	-0.3969873976	0.0474525475
VAMP2	ENSG00000220205	ENSG00000220205;RI:17:8160406:8160871-8161473:8161524:-	0.0946020287	0.0474525475
WARS2-AS1	ENSG00000231365	ENSG00000231365;RI:1:119150565:119150652-119150793:119151419:+	-0.2973026515	0.02997003
BISPR	ENSG00000282851	ENSG00000282851;RI:19:17413097:17413104-17413221:17413305:+	-0.5550055868	0.0164835165
	ENSG00000283782	ENSG00000283782;RI:5:132579317:132579502-132579862:132580066:+	-0.5635731701	0.018981019
DUS4L-BCAP29	ENSG00000288558	ENSG00000288558;RI:7:107563971:107564209-107564588:107564676:+	-0.2494212373	0.041958042
FAM86B3P	ENSG00000291049	ENSG00000291049;RI:8:8244099:8244322-8244585:8244863:+	0.4204892325	0.0454545455
