	gene_id	SE_con1-SE_con2_dPSI	SE_con1-SE_con2_p-val
SLC25A13	ENSG00000004864	ENSG00000004864;SE:7:96208977-96234802:96234917-96277196:-	0.0703315438	0.040959041
TMEM98	ENSG00000006042	ENSG00000006042;SE:17:32928237-32930900:32930971-32931327:+	-0.0653765479	0.0464535465
VPS41	ENSG00000006715	ENSG00000006715;SE:7:38795611-38796415:38796526-38796745:-	-0.0937120677	0.03996004
VPS41	ENSG00000006715	ENSG00000006715;SE:7:38869253-38898091:38898129-38909154:-	-0.0507210501	0.03996004
CDKL3	ENSG00000006837	ENSG00000006837;SE:5:134308727-134312292:134312380-134319358:-	-0.3187689668	0.0314685315
TRAPPC6A	ENSG00000007255	ENSG00000007255;SE:19:45164970-45165127:45165194-45178135:-	-0.1086485645	0.047952048
RGPD5	ENSG00000015568	ENSG00000015568;SE:2:109808404-109808750:109808895-109813460:+	-0.2131283969	0.017982018
RTF2	ENSG00000022277	ENSG00000022277;SE:20:56513428-56516935:56516989-56517106:+	-0.0663875292	0.025974026
NDUFS1	ENSG00000023228	ENSG00000023228;SE:2:206149096-206149780:206149925-206152419:-	-0.1152849951	0.032967033
UBA6	ENSG00000033178	ENSG00000033178;SE:4:67631908-67633345:67633473-67634242:-	-0.0978472638	0.04995005
APBA2	ENSG00000034053	ENSG00000034053;SE:15:29093220-29094278:29094313-29098490:+	0.0536992946	0.045954046
VCAN	ENSG00000038427	ENSG00000038427;SE:5:83522309-83537007:83542268-83545537:+	-0.0909230817	0.04995005
DCUN1D1	ENSG00000043093	ENSG00000043093;SE:3:182965753-182980835:182980935-182985821:-	0.2995162298	0.035964036
GPM6B	ENSG00000046653	ENSG00000046653;SE:X:13785808-13807650:13807769-13816844:-	0.0646159454	0.0244755245
GPM6B	ENSG00000046653	ENSG00000046653;SE:X:13807769-13812871:13812908-13816844:-	-0.1988067221	0.004995005
DKK3	ENSG00000050165	ENSG00000050165;SE:11:12002437-12008370:12008608-12008870:-	0.2429956956	0.004995005
ZC3H11A	ENSG00000058673	ENSG00000058673;SE:1:203795794-203796293:203796496-203801575:+	-0.111751453	0.035964036
GATB	ENSG00000059691	ENSG00000059691;SE:4:151708101-151716009:151716131-151716876:-	0.1095747043	0.043956044
MTMR1	ENSG00000063601	ENSG00000063601;SE:X:150699300-150712342:150712365-150718625:+	-0.3067537737	0.0104895105
MTMR1	ENSG00000063601	ENSG00000063601;SE:X:150699300-150714479:150714529-150718625:+	0.1468621912	0.0104895105
MCM10	ENSG00000065328	ENSG00000065328;SE:10:13161606-13164128:13164209-13170922:+	-0.0704581592	0.0264735265
FAM107B	ENSG00000065809	ENSG00000065809;SE:10:14530515-14553322:14553387-14556362:-	-0.3120610246	0.017982018
ZBTB11	ENSG00000066422	ENSG00000066422;SE:3:101665808-101666035:101666120-101671130:-	-0.1492578503	0.043956044
FGFR3	ENSG00000068078	ENSG00000068078;SE:4:1803064-1803692:1803836-1804330:+	-0.2355083792	0.035964036
MAP4K4	ENSG00000071054	ENSG00000071054;SE:2:101859864-101860825:101860986-101864930:+	0.0573774642	0.035964036
MAP4K4	ENSG00000071054	ENSG00000071054;SE:2:101859864-101863821:101864051-101864930:+	0.0522629763	0.035964036
DYNC1I2	ENSG00000077380	ENSG00000077380;SE:2:171707377-171712767:171712826-171715328:+	0.0537712095	0.0134865135
UBE2K	ENSG00000078140	ENSG00000078140;SE:4:39698390-39755657:39755739-39774834:+	0.1727442533	0.04995005
DNM2	ENSG00000079805	ENSG00000079805;SE:19:10805967-10808569:10808580-10812264:+	0.0732076838	0.023976024
EXD2	ENSG00000081177	ENSG00000081177;SE:14:69191591-69203917:69204000-69209424:+	0.1529549583	0.014985015
MRPL22	ENSG00000082515	ENSG00000082515;SE:5:154941265-154950821:154950938-154956371:+	0.0530041385	0.030969031
CD59	ENSG00000085063	ENSG00000085063;SE:11:33710343-33711384:33711505-33713379:-	0.3505230345	0.004995005
AK6	ENSG00000085231	ENSG00000085231;SE:5:69355953-69366503:69366595-69369463:-	0.0513973245	0.031968032
CTTN	ENSG00000085733	ENSG00000085733;SE:11:70420510-70421470:70421580-70422940:+	-0.0629986437	0.017982018
OGFOD1	ENSG00000087263	ENSG00000087263;SE:16:56458594-56462534:56462634-56466152:+	0.0730465701	0.017982018
ADD1	ENSG00000087274	ENSG00000087274;SE:4:2926112-2926642:2926675-2928171:+	0.0665898729	0.043956044
GNAS	ENSG00000087460	ENSG00000087460;SE:20:58895684-58898941:58898985-58903528:+	0.0552393132	0.0314685315
TRMT6	ENSG00000089195	ENSG00000089195;SE:20:5944253-5944805:5944914-5946406:-	-0.098757415	0.01998002
GRAMD1A	ENSG00000089351	ENSG00000089351;SE:19:35022038-35022900:35022911-35023236:+	0.0892205198	0.011988012
DDX24	ENSG00000089737	ENSG00000089737;SE:14:94062621-94079025:94079621-94081119:-	-0.0732317707	0.007992008
EXOC1	ENSG00000090989	ENSG00000090989;SE:4:55883928-55888888:55888932-55890223:+	0.0855858321	0.027972028
RAB18	ENSG00000099246	ENSG00000099246;SE:10:27533853-27533941:27533994-27537876:+	0.1642550566	0.0
WASHC2A	ENSG00000099290	ENSG00000099290;SE:10:50126179-50127160:50127222-50127583:+	-0.1401736682	0.045954046
ARVCF	ENSG00000099889	ENSG00000099889;SE:22:19975757-19976706:19976723-19977415:-	0.0599065363	0.041958042
PIK3IP1	ENSG00000100100	ENSG00000100100;SE:22:31283288-31289315:31289393-31289499:-	-0.1360580753	0.037962038
PATZ1	ENSG00000100105	ENSG00000100105;SE:22:31327309-31328787:31328924-31335692:-	-0.0859927206	0.025974026
VCPKMT	ENSG00000100483	ENSG00000100483;SE:14:50109713-50112615:50112719-50114285:-	0.1150728385	0.048951049
DHRS7	ENSG00000100612	ENSG00000100612;SE:14:60150187-60152939:60153178-60153959:-	0.0564717345	0.025974026
CSNK2A1	ENSG00000101266	ENSG00000101266;SE:20:505229-508451:508621-543672:-	0.1493283064	0.03996004
XIAP	ENSG00000101966	ENSG00000101966;SE:X:123860293-123885631:123886539-123888619:+	0.1412804926	0.020979021
STAG2	ENSG00000101972	ENSG00000101972;SE:X:123962106-124021367:124021431-124022531:+	0.3692364559	0.0174825175
PBDC1	ENSG00000102390	ENSG00000102390;SE:X:76175613-76176881:76176992-76177616:+	0.0674989852	0.0214785215
CLN5	ENSG00000102805	ENSG00000102805;SE:13:76995228-76995457:76995513-76995902:+	-0.1035411524	0.0434565435
ANTKMT	ENSG00000103254	ENSG00000103254;SE:16:721941-722084:722134-722309:+	-0.1371006171	0.005994006
SALL1	ENSG00000103449	ENSG00000103449;SE:16:51137552-51138688:51142145-51151166:-	-0.0506012809	0.041958042
MIER2	ENSG00000105556	ENSG00000105556;SE:19:334542-336083:336173-344774:-	0.0929880031	0.012987013
RPA3	ENSG00000106399	ENSG00000106399;SE:7:7639144-7640320:7640581-7640723:-	-0.191255036	0.0024975025
AK1	ENSG00000106992	ENSG00000106992;SE:9:127871939-127872690:127872853-127873026:-	0.0605140112	0.008991009
RIC1	ENSG00000107036	ENSG00000107036;SE:9:5753238-5753536:5753646-5754841:+	0.1111327406	0.0104895105
TSPAN14	ENSG00000108219	ENSG00000108219;SE:10:80454371-80468582:80468687-80489217:+	0.0930315083	0.032967033
TSPAN14	ENSG00000108219	ENSG00000108219;SE:10:80468687-80485605:80485703-80489217:+	-0.1492432581	0.0314685315
TSPAN14	ENSG00000108219	ENSG00000108219;SE:10:80489314-80504526:80504567-80504728:+	0.0722408361	0.032967033
GIT1	ENSG00000108262	ENSG00000108262;SE:17:29578779-29578962:29578988-29581338:-	0.0712081596	0.016983017
FTSJ3	ENSG00000108592	ENSG00000108592;SE:17:63821843-63821984:63822168-63823817:-	0.1331709992	0.0034965035
DDX5	ENSG00000108654	ENSG00000108654;SE:17:64504842-64506076:64506259-64506514:-	-0.5477211559	0.01998002
DDX5	ENSG00000108654	ENSG00000108654;SE:17:64504842-64506076:64506262-64506514:-	-0.3652503075	0.0
DDX5	ENSG00000108654	ENSG00000108654;SE:17:64504842-64506076:64506262-64506755:-	0.2407368844	0.033966034
YWHAE	ENSG00000108953	ENSG00000108953;SE:17:1345499-1354211:1354347-1364859:-	0.0940509647	0.04995005
UBE2D3	ENSG00000109332	ENSG00000109332;SE:4:102809855-102825239:102825317-102825738:-	-0.7840497408	0.007992008
BTN2A1	ENSG00000112763	ENSG00000112763;SE:6:26458142-26458607:26458718-26459481:+	-0.0999640887	0.015984016
NNT	ENSG00000112992	ENSG00000112992;SE:5:43677806-43700119:43700237-43702621:+	-0.0921821991	0.04995005
LMNB1	ENSG00000113368	ENSG00000113368;SE:5:126777252-126777361:126777867-126804776:+	0.315094521	0.004995005
EIF4G1	ENSG00000114867	ENSG00000114867;SE:3:184316218-184317321:184317431-184317717:+	-0.2649378372	0.017982018
WLS	ENSG00000116729	ENSG00000116729;SE:1:68159247-68193955:68194221-68232194:-	-0.0808910087	0.043956044
UAP1	ENSG00000117143	ENSG00000117143;SE:1:162590511-162592732:162592782-162597792:+	-0.1083530537	0.0084915085
FBXL5	ENSG00000118564	ENSG00000118564;SE:4:15638694-15640788:15640883-15644493:-	0.0783451318	0.04995005
RAB14	ENSG00000119396	ENSG00000119396;SE:9:121192224-121193361:121193419-121201639:-	0.0788276644	0.0172327672
RAB14	ENSG00000119396	ENSG00000119396;SE:9:121192224-121193361:121193443-121201639:-	0.0965059373	0.0172327672
ATL2	ENSG00000119787	ENSG00000119787;SE:2:38296590-38296686:38296700-38298144:-	0.188775376	0.0324675325
CUTC	ENSG00000119929	ENSG00000119929;SE:10:99747390-99750369:99750396-99754529:+	0.0682914475	0.047952048
CCDC77	ENSG00000120647	ENSG00000120647;SE:12:389486-405511:405564-411747:+	0.3109442385	0.047952048
HYCC1	ENSG00000122591	ENSG00000122591;SE:7:22946163-22946952:22947247-22960256:-	-0.1272077217	0.0374625375
HYCC1	ENSG00000122591	ENSG00000122591;SE:7:22946163-22947033:22947247-22960256:-	-0.1043858063	0.0387112887
DDX54	ENSG00000123064	ENSG00000123064;SE:12:113163274-113164067:113164285-113165644:-	0.085545752	0.013986014
ORMDL2	ENSG00000123353	ENSG00000123353;SE:12:55818112-55818999:55819173-55819342:+	-0.136601815	0.025974026
CHD6	ENSG00000124177	ENSG00000124177;SE:20:41533570-41551305:41551360-41618340:-	0.0868679009	0.024975025
RNF114	ENSG00000124226	ENSG00000124226;SE:20:49946250-49949248:49949355-49952076:+	0.0642476655	0.04995005
BCAS4	ENSG00000124243	ENSG00000124243;SE:20:50830380-50841766:50841900-50876486:+	0.1152138117	0.0194805195
NAGK	ENSG00000124357	ENSG00000124357;SE:2:71073594-71075555:71076701-71077558:+	0.3802546913	0.041958042
PSMF1	ENSG00000125818	ENSG00000125818;SE:20:1113409-1118753:1118902-1125498:+	0.0743603768	0.0254745255
DNAJC8	ENSG00000126698	ENSG00000126698;SE:1:28229023-28230131:28230252-28232921:-	0.0585323261	0.008991009
ARPP19	ENSG00000128989	ENSG00000128989;SE:15:52557222-52564190:52564246-52569116:-	0.1493344456	0.0221445221
ARPP19	ENSG00000128989	ENSG00000128989;SE:15:52557222-52568848:52568900-52569116:-	0.1279204939	0.0221445221
ARPP19	ENSG00000128989	ENSG00000128989;SE:15:52564246-52568848:52568902-52569116:-	-0.245823682	0.0221445221
LRCH2	ENSG00000130224	ENSG00000130224;SE:X:115124002-115126843:115126893-115130155:-	-0.0863957054	0.021978022
AFDN	ENSG00000130396	ENSG00000130396;SE:6:167891029-167893862:167893906-167896878:+	0.071053925	0.017982018
NOL11	ENSG00000130935	ENSG00000130935;SE:17:67719962-67720347:67720444-67721378:+	-0.07471259	0.0314685315
ACSS2	ENSG00000131069	ENSG00000131069;SE:20:34882989-34893569:34893622-34913096:+	-0.135034093	0.025974026
MRPS25	ENSG00000131368	ENSG00000131368;SE:3:15059475-15060995:15061113-15065061:-	-0.1272384317	0.0384615385
LANCL2	ENSG00000132434	ENSG00000132434;SE:7:55366229-55379647:55379833-55391793:+	-0.1127800185	0.006993007
ZRANB2	ENSG00000132485	ENSG00000132485;SE:1:71065137-71065678:71065752-71066776:-	-0.0721511201	0.006993007
PTPRA	ENSG00000132670	ENSG00000132670;SE:20:2948024-2955609:2955698-2964272:+	0.0752516781	0.005994006
