	gene_id	A5_con1-A5_con2_dPSI	A5_con1-A5_con2_p-val
PLXND1	ENSG00000004399	ENSG00000004399;A5:3:129558575-129559613:129558575-129559620:-	-0.2718078901	0.0454545455
MATR3	ENSG00000015479	ENSG00000015479;A5:5:139293805-139315697:139293772-139315697:+	-0.2131496411	0.035964036
FHL1	ENSG00000022267	ENSG00000022267;A5:X:136169980-136206407:136169865-136206407:+	-0.1835277635	0.037962038
DCUN1D1	ENSG00000043093	ENSG00000043093;A5:3:182964049-182965537:182964049-182965679:-	-0.2285499718	0.0124875125
FAT1	ENSG00000083857	ENSG00000083857;A5:4:186595826-186596540:186595826-186597034:-	-0.2773104415	0.0164835165
GNAO1	ENSG00000087258	ENSG00000087258;A5:16:56355081-56356103:56354987-56356103:+	0.1629441625	0.030969031
VTI1B	ENSG00000100568	ENSG00000100568;A5:14:67653498-67656412:67653498-67656416:-	0.1676753412	0.0294705295
STX1A	ENSG00000106089	ENSG00000106089;A5:7:73700931-73702730:73700931-73702845:-	0.2893479195	0.025974026
RPL34	ENSG00000109475	ENSG00000109475;A5:4:108620712-108621951:108620600-108621951:+	-0.1074470104	0.0404595405
QKI	ENSG00000112531	ENSG00000112531;A5:6:163423592-163455279:163423213-163455279:+	0.1660737914	0.0234765235
ATP6V1A	ENSG00000114573	ENSG00000114573;A5:3:113747127-113778741:113747113-113778741:+	0.1478352903	0.0294705295
CACYBP	ENSG00000116161	ENSG00000116161;A5:1:175004833-175006745:175004814-175006745:+	-0.1583367621	0.018981019
TMEM59	ENSG00000116209	ENSG00000116209;A5:1:54048682-54053000:54048682-54053356:-	0.2672891472	0.0234765235
AKT3	ENSG00000117020	ENSG00000117020;A5:1:243499786-243504348:243499786-243504388:-	-0.7070707071	0.0034965035
RGS4	ENSG00000117152	ENSG00000117152;A5:1:163069528-163072395:163069408-163072395:+	-0.1808747067	0.022977023
CLU	ENSG00000120885	ENSG00000120885;A5:8:27610600-27611075:27610600-27611146:-	-0.204817025	0.038961039
ACO1	ENSG00000122729	ENSG00000122729;A5:9:32386442-32405485:32386438-32405485:+	-0.2859064772	0.0404595405
EIF5A	ENSG00000132507	ENSG00000132507;A5:17:7308133-7309615:7308113-7309615:+	0.2047261253	0.0354645355
HSD17B4	ENSG00000133835	ENSG00000133835;A5:5:119477501-119478834:119477492-119478834:+	-0.1845802922	0.033966034
HILPDA	ENSG00000135245	ENSG00000135245;A5:7:128456023-128457201:128455909-128457201:+	-0.2332172809	0.0344655345
DGKB	ENSG00000136267	ENSG00000136267;A5:7:14736194-14757655:14736194-14757690:-	-0.1966347582	0.035964036
METTL5	ENSG00000138382	ENSG00000138382;A5:2:169824640-169824782:169824640-169824868:-	0.2468962453	0.0374625375
DHX38	ENSG00000140829	ENSG00000140829;A5:16:72094051-72096139:72093889-72096139:+	-0.2072102173	0.0494505495
NDUFB10	ENSG00000140990	ENSG00000140990;A5:16:1961636-1961797:1961611-1961797:+	-0.2215889796	0.036963037
TCF25	ENSG00000141002	ENSG00000141002;A5:16:89887717-89892193:89887681-89892193:+	0.201008142	0.0274725275
SAE1	ENSG00000142230	ENSG00000142230;A5:19:47131112-47143494:47131028-47143494:+	-0.1985514605	0.045954046
PIP5K1A	ENSG00000143398	ENSG00000143398;A5:1:151199187-151224245:151199081-151224245:+	0.2799466842	0.04995005
FMN2	ENSG00000155816	ENSG00000155816;A5:1:240208732-240211091:240206992-240211091:+	0.2404442838	0.026973027
SAP30L	ENSG00000164576	ENSG00000164576;A5:5:154452499-154453402:154452495-154453402:+	-0.4695746286	0.0214785215
STIM1	ENSG00000167323	ENSG00000167323;A5:11:4086861-4091282:4086543-4091282:+	0.2750617801	0.0464535465
RGPD8	ENSG00000169629	ENSG00000169629;A5:2:112424307-112433382:112424307-112433622:-	0.3649038822	0.0154845155
ZNF415	ENSG00000170954	ENSG00000170954;A5:19:53122743-53132749:53122743-53132856:-	0.1992580571	0.0374625375
EIF1	ENSG00000173812	ENSG00000173812;A5:17:41689265-41689778:41689069-41689778:+	-0.1321091831	0.0404595405
RPLP2	ENSG00000177600	ENSG00000177600;A5:11:810357-811597:810321-811597:+	-0.1955270129	0.0104895105
ZNF664	ENSG00000179195	ENSG00000179195;A5:12:123973352-123973886:123973303-123973886:+	-0.1491803344	0.0374625375
TOB2	ENSG00000183864	ENSG00000183864;A5:22:41437407-41446375:41437407-41446379:-	-0.2390538555	0.031968032
MRTFB	ENSG00000186260	ENSG00000186260;A5:16:14247507-14248926:14247357-14248926:+	-0.2064339964	0.025974026
ARPC4	ENSG00000241553	ENSG00000241553;A5:3:9793174-9797659:9793124-9797659:+	-0.2185658178	0.047952048
	ENSG00000291228	ENSG00000291228;A5:16:2611052-2613960:2611048-2613960:+	0.3291792265	0.0334665335
