	gene_id	A3_con1-A3_con2_dPSI	A3_con1-A3_con2_p-val
TBPL1	ENSG00000028839	ENSG00000028839;A3:6:133982880-133984376:133982880-133984449:+	-0.1701286361	0.045954046
PLEKHH1	ENSG00000054690	ENSG00000054690;A3:14:67585654-67585951:67585654-67585982:+	-0.1645719153	0.0324675325
VMP1	ENSG00000062716	ENSG00000062716;A3:17:59707748-59731383:59707748-59731421:+	-0.2647721734	0.025974026
IPCEF1	ENSG00000074706	ENSG00000074706;A3:6:154247488-154265912:154247485-154265912:-	-0.2503459077	0.0464535465
DELE1	ENSG00000081791	ENSG00000081791;A3:5:141933401-141934240:141933401-141934258:+	-0.1797207285	0.0434565435
DDX24	ENSG00000089737	ENSG00000089737;A3:14:94079747-94081119:94079621-94081119:-	-0.0942109276	0.04995005
NUTF2	ENSG00000102898	ENSG00000102898;A3:16:67868599-67870800:67868599-67871199:+	-0.1413323276	0.0444555445
COBL	ENSG00000106078	ENSG00000106078;A3:7:51025372-51026546:51025231-51026546:-	0.1631451924	0.0354645355
SEPTIN4	ENSG00000108387	ENSG00000108387;A3:17:58526978-58529115:58526313-58529115:-	0.1048197277	0.042957043
CRYAB	ENSG00000109846	ENSG00000109846;A3:11:111911948-111913105:111911922-111913105:-	-0.1720695185	0.0274725275
EIF4G2	ENSG00000110321	ENSG00000110321;A3:11:10805015-10805907:10804418-10805907:-	-0.7066937173	0.0
ASCC3	ENSG00000112249	ENSG00000112249;A3:6:100868038-100881061:100868032-100881061:-	-0.1905242844	0.033966034
KIF21B	ENSG00000116852	ENSG00000116852;A3:1:200974194-200974714:200973578-200974714:-	0.2261215136	0.03996004
MAP7D1	ENSG00000116871	ENSG00000116871;A3:1:36178201-36178419:36178201-36178471:+	-0.258577846	0.022977023
MAP7D1	ENSG00000116871	ENSG00000116871;A3:1:36178201-36178446:36178201-36178471:+	-0.243075317	0.022977023
PPL	ENSG00000118898	ENSG00000118898;A3:16:4900871-4900964:4900865-4900964:-	-0.3066997802	0.038961039
RNF6	ENSG00000127870	ENSG00000127870;A3:13:26218606-26219457:26218588-26219457:-	-0.1700569371	0.035964036
TOMM40	ENSG00000130204	ENSG00000130204;A3:19:44891314-44891407:44891314-44891410:+	-0.3667506092	0.023976024
AGAP3	ENSG00000133612	ENSG00000133612;A3:7:151118344-151118474:151118344-151118505:+	0.1582678533	0.0404595405
COG2	ENSG00000135775	ENSG00000135775;A3:1:230688143-230688420:230688143-230688423:+	0.2978643958	0.0274725275
CALCOCO2	ENSG00000136436	ENSG00000136436;A3:17:48831078-48841698:48831078-48841774:+	0.1565429944	0.044955045
NDUFB5	ENSG00000136521	ENSG00000136521;A3:3:179604939-179614952:179604939-179614971:+	-0.1620455704	0.034965035
ANKRD42	ENSG00000137494	ENSG00000137494;A3:11:83248087-83255845:83248087-83255849:+	0.3009873437	0.030969031
CCDC90B	ENSG00000137500	ENSG00000137500;A3:11:83274763-83278726:83274740-83278726:-	0.1585609324	0.045954046
SLTM	ENSG00000137776	ENSG00000137776;A3:15:58899880-58901260:58899709-58901260:-	0.4402017734	0.038961039
SLTM	ENSG00000137776	ENSG00000137776;A3:15:58899883-58901260:58899709-58901260:-	0.3203734009	0.038961039
SLTM	ENSG00000137776	ENSG00000137776;A3:15:58899937-58901260:58899709-58901260:-	0.2861392284	0.038961039
ASNSD1	ENSG00000138381	ENSG00000138381;A3:2:189663954-189665376:189663954-189665422:+	-0.1927757067	0.0264735265
RALB	ENSG00000144118	ENSG00000144118;A3:2:120252980-120278615:120252980-120278618:+	0.1530712362	0.0424575425
PCYOX1L	ENSG00000145882	ENSG00000145882;A3:5:149364210-149365942:149364210-149366119:+	0.2713601362	0.043956044
RPL10	ENSG00000147403	ENSG00000147403;A3:X:154399941-154400464:154399941-154400702:+	0.2082648931	0.020979021
