gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Condition_1_mean_psi	Condition_2_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
TSPAN6	ENSG00000000003	gene:ENSG00000000003:t:100635558-100635746	-0.0137;-0.0590;0.0796	2.132e-01;5.130e-01;5.936e-01	5.546e-01;1.479e-01;9.470e-02	0.0839;0.5837;0.3439	0.0560;0.4845;0.4644	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	X	-	100635746-100636793;100635746-100636608;100635746-100636191	100635558-100635746;100636191-100636689;100636793-100637104	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=X%3A100637104-100635558
SCYL3	ENSG00000000457	gene:ENSG00000000457:t:169862562-169862797	0.1523;-0.1523	9.211e-01;9.211e-01	1.330e-02;1.330e-02	0.5622;0.4378	0.7305;0.2695	t|1e2.1o1|2e1.1o1	2	3	0;1	1	-	169862797-169864369;169862761-169871399	169862562-169862797;169864369-169864508;169871399-na	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169871409-169862562
NFYA	ENSG00000001167	gene:ENSG00000001167:t:41079029-41079164	-0.1206;0.0322;0.0744	8.005e-01;3.436e-01;6.209e-01	3.833e-02;3.424e-01;1.261e-01	0.6557;0.2101;0.1400	0.5065;0.2553;0.2372	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;1;1	6	+	41073084-41079029;41073591-41079029;41075386-41079029	na-41073591;41072974-41073084;41075212-41075386;41079029-41079164	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=6%3A41079164-41072974
LAS1L	ENSG00000001497	gene:ENSG00000001497:s:65524764-65525050	0.0527;-0.0527	5.217e-01;5.217e-01	2.544e-01;2.544e-01	0.7002;0.2998	0.7606;0.2394	s|1e1.1o1|1e2.1o1	2	3	0;0	X	-	65524614-65524965;65524262-65524965	65524056-65524262;65524564-65524614;65524764-65525050	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=X%3A65525050-65524056
LAS1L	ENSG00000001497	gene:ENSG00000001497:s:65528876-65529258	0.0563;-0.0563	5.552e-01;5.552e-01	2.716e-01;2.716e-01	0.7258;0.2742	0.7953;0.2047	s|1e1.1o1|1e2.1o1	2	3	0;0	X	-	65528369-65529212;65525050-65529212	65524764-65525050;65528260-65528369;65528876-65529258	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=X%3A65529258-65524764
ANKIB1	ENSG00000001629	gene:ENSG00000001629:s:92392241-92392292	-0.0518;0.0518	4.979e-01;4.979e-01	2.416e-01;2.416e-01	0.7051;0.2949	0.6385;0.3615	s|1e1.1o2|1e1.2o2	2	2	0;1	7	+	92392292-92396365;92392292-92396383	92392241-92392292;92395869-92396476	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A92396476-92392241
KRIT1	ENSG00000001631	gene:ENSG00000001631:s:92245427-92245759	-0.0786;0.0076;0.0039;-0.0066;0.0079;0.0468	7.047e-01;1.336e-01;2.194e-01;2.005e-01;1.828e-01;4.467e-01	1.278e-01;7.179e-01;5.551e-01;5.748e-01;6.250e-01;2.146e-01	0.1301;0.0327;0.0983;0.0803;0.0519;0.6063	0.0329;0.0463;0.1034;0.0665;0.0637;0.6836	s|1e1.1o2|1e1.2o2|1e2.1o1|2e1.1o2|2e1.2o2|2e2.1o1	6	3	0;0;0;0;0;0	7	-	92245171-92245465;92245134-92245465;92242137-92245465;92245171-92245427;92245134-92245427;92242137-92245427	92242034-92242164;92244902-92245171;92245427-92245759	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A92245759-92242034
KRIT1	ENSG00000001631	gene:ENSG00000001631:s:92245790-92245819	0.0309;0.0028;0.0102;-0.0589	3.480e-01;1.152e-01;1.057e-01;5.271e-01	3.644e-01;7.462e-01;7.484e-01;1.820e-01	0.1306;0.0643;0.0127;0.7937	0.1765;0.0648;0.0437;0.7109	s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o2	4	3	0;0;0;0	7	-	92245676-92245790;92245595-92245790;92245574-92245790;92245171-92245790	92244902-92245171;92245427-92245759;92245790-92245819	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A92245819-92244902
RAD52	ENSG00000002016	gene:ENSG00000002016:t:932975-933076	0.0154;-0.0106;-0.0814;0.0313;0.0361	3.227e-01;1.712e-01;6.149e-01;3.437e-01;3.689e-01	3.637e-01;6.755e-01;9.472e-02;3.660e-01;4.570e-01	0.3156;0.0535;0.4772;0.1174;0.0194	0.3552;0.0351;0.3750;0.1715;0.0747	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1	5	5	0;0;0;0;0	12	-	933076-989809;933076-949606;933076-949602;933076-949403;933076-936807	932975-933076;936807-936882;949403-949519;949602-949694;989809-990053	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=12%3A990053-932975
CD99	ENSG00000002586	gene:ENSG00000002586:s:2714422-2715597	0.0576;-0.0576	5.430e-01;5.430e-01	2.149e-01;2.149e-01	0.8592;0.1408	0.9351;0.0649	s|1e1.1o1|1e2.1o1	2	3	0;0	X	+	2714454-2717605;2714454-2719661	2714422-2715597;2717605-2718018;2719068-2719705	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=X%3A2719705-2714422
HECW1	ENSG00000002746	gene:ENSG00000002746:s:43112629-43112937	0.1027;-0.0164;-0.0619	7.666e-01;3.182e-01;5.261e-01	5.960e-02;3.493e-01;1.491e-01	0.0867;0.4721;0.4457	0.2052;0.4358;0.3486	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	7	+	43112937-43114157;43112937-43243875;43112937-43311763	43112629-43112937;43113741-43114391;43243875-43243932;43311763-43312087	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A43312087-43112629
HECW1	ENSG00000002746	gene:ENSG00000002746:t:43243875-43243932	-0.0519;0.0519	4.874e-01;4.874e-01	2.220e-01;2.220e-01	0.3124;0.6876	0.2327;0.7673	t|1e1.1o1|1e2.1o1	2	3	0;0	7	+	43112937-43243875;43114391-43243875	43112629-43112937;43113741-43114391;43243875-43243932	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A43243932-43112629
TMEM176A	ENSG00000002933	gene:ENSG00000002933:s:150800403-150800968	-0.1139;0.1139	8.869e-01;8.869e-01	3.449e-02;3.449e-02	0.6860;0.3140	0.5598;0.4402	s|1e1.1o1|2e1.1o1	2	2	0;0	7	+	150800828-150801536;150800968-150801536	150800403-150800968;150801534-150801566	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A150801566-150800403
CYP26B1	ENSG00000003137	gene:ENSG00000003137:s:72147414-72147862	-0.0396;-0.0078;0.0547	4.066e-01;1.616e-01;5.238e-01	2.953e-01;6.823e-01;2.218e-01	0.8918;0.0557;0.0576	0.8308;0.0415;0.1332	s|1e1.1o1|1e2.1o1|2e1.1o1	3	3	0;0;1	2	-	72144213-72147631;72135419-72147631;72144213-72147414	72135144-72135419;72143989-72144415;72147414-72147862	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=2%3A72147862-72135144
RBM5	ENSG00000003756	gene:ENSG00000003756:s:50099982-50100172	0.0547;-0.0046;-0.0513	5.412e-01;1.633e-01;5.110e-01	2.393e-01;6.886e-01;2.654e-01	0.4480;0.0525;0.5003	0.5100;0.0512;0.4434	s|1e1.1o1|1e2.1o1|i	3	3	0;0;0	3	+	50100051-50100532;50100051-50103083;50100173-50100531	50099982-50100172;50100532-50102194;50102337-50103166	50100173-50100531	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=3%3A50103166-50099982
RBM5	ENSG00000003756	gene:ENSG00000003756:t:50102337-50103166	-0.0034;0.1203;-0.1168	1.371e-01;9.479e-01;9.427e-01	7.201e-01;1.964e-02;2.238e-02	0.0473;0.3797;0.5734	0.0462;0.5031;0.4542	t|1e1.1o1|1e2.1o1|i	3	3	0;0;0	3	+	50100051-50103083;50100605-50103083;50102195-50102336	50099982-50100172;50100532-50102194;50102337-50103166	50102195-50102336	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=3%3A50103166-50099982
AK2	ENSG00000004455	gene:ENSG00000004455:s:33036736-33037004	0.0714;-0.0714	6.890e-01;6.890e-01	1.560e-01;1.560e-01	0.3420;0.6580	0.4222;0.5778	s|1e1.1o1|1e2.1o1	2	3	0;0	1	-	33031661-33036736;33024567-33036736	33024120-33024567;33029467-33031661;33036736-33037004	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A33037004-33024120
AK2	ENSG00000004455	gene:ENSG00000004455:t:33024120-33024567	-0.0581;0.0581	5.667e-01;5.667e-01	2.339e-01;2.339e-01	0.6001;0.3999	0.5349;0.4651	t|1e1.1o1|1e2.1o1	2	3	0;0	1	-	33024567-33036736;33024567-33031544	33024120-33024567;33029467-33031661;33036736-33037004	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A33037004-33024120
KDM1A	ENSG00000004487	gene:ENSG00000004487:s:23059073-23059167	0.0643;-0.0632;0.0000	6.369e-01;6.297e-01;9.580e-21	2.586e-01;2.344e-01;1.000e+00	0.2686;0.7219;0.0087	0.3431;0.6540;0.0031	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	1	+	23059167-23066060;23059167-23068539;23059167-23071225	23059073-23059167;23065199-23066071;23068170-23068681;23070854-23071359	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A23071359-23059073
KDM1A	ENSG00000004487	gene:ENSG00000004487:t:23068170-23068681	-0.0519;0.0519	5.258e-01;5.258e-01	4.122e-01;4.122e-01	0.7208;0.2792	0.6681;0.3319	t|1e1.1o1|1e2.1o1	2	3	0;0	1	+	23059167-23068539;23066071-23068539	23059073-23059167;23065199-23066071;23068170-23068681	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A23068681-23059073
