	gene_id	RI_con1-RI_con2_dPSI	RI_con1-RI_con2_p-val
RPL31	ENSG00000071082	ENSG00000071082;RI:2:101002293:101002315-101002702:101002808:+	-0.1457592618	0.01998002
NFE2L1	ENSG00000082641	ENSG00000082641;RI:17:48050607:48050819-48051117:48051628:+	-0.1464360635	0.021978022
NLK	ENSG00000087095	ENSG00000087095;RI:17:28194582:28194708-28196180:28196381:+	0.1580891173	0.011988012
P2RX7	ENSG00000089041	ENSG00000089041;RI:12:121177147:121177212-121177297:121177446:+	0.1877440133	0.025974026
SRSF5	ENSG00000100650	ENSG00000100650;RI:14:69768798:69768896-69769182:69769251:+	0.1715122187	0.025974026
SRSF5	ENSG00000100650	ENSG00000100650;RI:14:69769182:69769251-69770467:69770540:+	0.1652943014	0.025974026
SRSF5	ENSG00000100650	ENSG00000100650;RI:14:69771194:69771544-69771917:69772005:+	-0.365525954	0.002997003
EEF1A2	ENSG00000101210	ENSG00000101210;RI:20:63488014:63488152-63488340:63488425:-	0.0754713946	0.044955045
MAP1LC3A	ENSG00000101460	ENSG00000101460;RI:20:34559736:34559905-34560172:34560345:+	-0.2187368498	0.014985015
NDFIP2	ENSG00000102471	ENSG00000102471;RI:13:79541864:79541907-79543558:79543682:+	0.3234212874	0.032967033
SLC7A6OS	ENSG00000103061	ENSG00000103061;RI:16:68310335:68310613-68310735:68310946:-	0.2151793161	0.046953047
ELOB	ENSG00000103363	ENSG00000103363;RI:16:2771414:2771604-2771994:2772102:-	0.0876560868	0.045954046
STX4	ENSG00000103496	ENSG00000103496;RI:16:31034226:31034325-31034462:31034536:+	0.3588547252	0.018981019
CDC37	ENSG00000105401	ENSG00000105401;RI:19:10395228:10395343-10395435:10395543:-	0.1580931361	0.011988012
CYTH2	ENSG00000105443	ENSG00000105443;RI:19:48474838:48474953-48478069:48478145:+	0.3504360632	0.0244755245
RPL18A	ENSG00000105640	ENSG00000105640;RI:19:17861293:17861307-17861425:17861472:+	-0.0913163115	0.036963037
SLAIN2	ENSG00000109171	ENSG00000109171;RI:4:48382568:48382639-48382728:48382927:+	0.0997977691	0.0484515485
ENO2	ENSG00000111674	ENSG00000111674;RI:12:6916671:6916729-6917038:6917107:+	0.1129457917	0.0214785215
FBXO9	ENSG00000112146	ENSG00000112146;RI:6:53092734:53092824-53093466:53093561:+	0.1403263576	0.046953047
ARID1A	ENSG00000117713	ENSG00000117713;RI:1:26773346:26773496-26773580:26773717:+	0.1405191217	0.033966034
PPP1R12C	ENSG00000125503	ENSG00000125503;RI:19:55093016:55093076-55093153:55093233:-	0.0897975275	0.0384615385
TCEAL4	ENSG00000133142	ENSG00000133142;RI:X:103585859:103586107-103586219:103586291:+	0.3274206055	0.0454545455
SKIL	ENSG00000136603	ENSG00000136603;RI:3:170359699:170359876-170360368:170361429:+	0.191415286	0.043956044
MBNL2	ENSG00000139793	ENSG00000139793;RI:13:97346804:97347003-97347041:97347067:+	-0.1871828097	0.0104895105
OGT	ENSG00000147162	ENSG00000147162;RI:X:71544567:71544635-71547907:71548023:+	0.1366105213	0.034965035
RPP30	ENSG00000148688	ENSG00000148688;RI:10:90894775:90894891-90895454:90895483:+	0.1306429796	0.047952048
TIAL1	ENSG00000151923	ENSG00000151923;RI:10:119576611:119576750-119577080:119577203:-	0.0980549643	0.046953047
SLC25A28	ENSG00000155287	ENSG00000155287;RI:10:99612543:99612599-99613696:99613924:-	0.1538020286	0.0494505495
EEF1A1	ENSG00000156508	ENSG00000156508;RI:6:73517515:73517934-73518030:73518264:-	0.2121691984	0.0274725275
EIF4A2	ENSG00000156976	ENSG00000156976;RI:3:186784564:186784696-186785883:186786051:+	0.337834233	0.0084915085
NCK1	ENSG00000158092	ENSG00000158092;RI:3:136945583:136945752-136946152:136946295:+	-0.1880941539	0.0234765235
CBS	ENSG00000160200	ENSG00000160200;RI:21:43053191:43053647-43053862:43053983:-	-0.1486112951	0.0404595405
GUCY1A1	ENSG00000164116	ENSG00000164116;RI:4:155696756:155696849-155696935:155697122:+	0.0970896758	0.048951049
MOCS2	ENSG00000164172	ENSG00000164172;RI:5:53100411:53100487-53101359:53101509:-	0.2242964587	0.037962038
FTH1	ENSG00000167996	ENSG00000167996;RI:11:61967312:61967371-61967458:61967631:-	-0.3686118521	0.005994006
POLR2J3	ENSG00000168255	ENSG00000168255;RI:7:102566997:102567083-102568010:102568184:-	0.2047187892	0.048951049
CALR	ENSG00000179218	ENSG00000179218;RI:19:12943713:12943988-12944212:12944489:+	-0.0938728308	0.023976024
SNRPE	ENSG00000182004	ENSG00000182004;RI:1:203861603:203861743-203862182:203862222:+	0.2956633718	0.033966034
SMIM15	ENSG00000188725	ENSG00000188725;RI:5:61162217:61162359-61162446:61162468:-	-0.1804236924	0.028971029
DAPK1	ENSG00000196730	ENSG00000196730;RI:9:87639650:87639698-87639789:87639815:+	0.1131075883	0.0464535465
DYNC1H1	ENSG00000197102	ENSG00000197102;RI:14:102042384:102042507-102042635:102042748:+	0.2161882591	0.043956044
DDX39B	ENSG00000198563	ENSG00000198563;RI:6:31532780:31532911-31535367:31535485:-	0.2926725068	0.008991009
GOLGA8B	ENSG00000215252	ENSG00000215252;RI:15:34532846:34532962-34534054:34534173:-	0.1610816592	0.0374625375
SNHG6	ENSG00000245910	ENSG00000245910;RI:8:66921934:66922114-66922324:66922392:-	0.1474896737	0.022977023
MALAT1	ENSG00000251562	ENSG00000251562;RI:11:65504658:65505662-65506386:65506469:+	-0.1196283243	0.0064935065
FAM95B1	ENSG00000290718	ENSG00000290718;RI:9:40325462:40325730-40326284:40326445:+	0.1743018568	0.04995005
ANKRD36BP2	ENSG00000291127	ENSG00000291127;RI:2:88804380:88804450-88804787:88804880:+	0.09899536	0.035964036
