	gene_id	MX_con1-MX_con2_dPSI	MX_con1-MX_con2_p-val
RNF10	ENSG00000022840	ENSG00000022840;MX:12:120565529-120566825:120566980-120575631:120565529-120571191:120571291-120575631:+	0.1086222988	0.047952048
TRIT1	ENSG00000043514	ENSG00000043514;MX:1:39844640-39847220:39847297-39847986:39844640-39847548:39847660-39847986:-	0.3769267671	0.0124875125
SDHA	ENSG00000073578	ENSG00000073578;MX:5:240476-250992:251043-256334:240476-254393:254506-256334:+	-0.0857415117	0.0424575425
PAK5	ENSG00000101349	ENSG00000101349;MX:20:9711435-9784358:9784506-9838762:9711435-9818680:9818785-9838762:-	-0.2953948606	0.010989011
FMR1	ENSG00000102081	ENSG00000102081;MX:X:147921985-147925540:147925633-147928659:147921985-147928322:147928393-147928659:+	-0.1932178627	0.0234765235
PLAT	ENSG00000104368	ENSG00000104368;MX:8:42182890-42185081:42185158-42187906:42182890-42187398:42187572-42187906:-	0.2865677763	0.0354645355
EIF4G2	ENSG00000110321	ENSG00000110321;MX:11:10806047-10806820:10806885-10808705:10806047-10807255:10807381-10808705:-	-0.2007136247	0.0414585415
HARS2	ENSG00000112855	ENSG00000112855;MX:5:140691515-140691607:140691756-140693591:140691515-140693491:140693508-140693591:+	0.2107085169	0.0474525475
NNT	ENSG00000112992	ENSG00000112992;MX:5:43603294-43609143:43609346-43615848:43603294-43612908:43613137-43615848:+	-0.2714353985	0.021978022
TTLL5	ENSG00000119685	ENSG00000119685;MX:14:75902224-75906555:75906677-75954424:75902224-75941424:75941494-75954424:+	0.2197921614	0.0314685315
RAP1B	ENSG00000127314	ENSG00000127314;MX:12:68652051-68654112:68654252-68657101:68652051-68656306:68656449-68657101:+	0.2258385287	0.04995005
OSBPL2	ENSG00000130703	ENSG00000130703;MX:20:62238597-62256057:62256221-62263616:62238597-62259981:62260125-62263616:+	-0.3020006465	0.0204795205
KRAS	ENSG00000133703	ENSG00000133703;MX:12:25209911-25213114:25213206-25225614:25209911-25215437:25215560-25225614:-	0.2440768109	0.022977023
BOD1	ENSG00000145919	ENSG00000145919;MX:5:173608292-173609238:173609434-173616200:173608292-173613131:173613255-173616200:-	0.0947782039	0.048951049
PDCD4	ENSG00000150593	ENSG00000150593;MX:10:110890670-110894091:110894198-110895948:110890670-110894412:110894522-110895948:+	0.1208068875	0.0404595405
U2AF1	ENSG00000160201	ENSG00000160201;MX:21:43095743-43100453:43100519-43104315:43095743-43100577:43100614-43104315:-	-0.2002807218	0.0292207792
U2AF1	ENSG00000160201	ENSG00000160201;MX:21:43095743-43100453:43100519-43104315:43095743-43101366:43101432-43104315:-	-0.217004105	0.0254745255
SYNPR	ENSG00000163630	ENSG00000163630;MX:3:63443469-63445544:63445576-63480832:63443469-63452073:63452115-63480832:+	0.1413047702	0.0304695305
NUDT5	ENSG00000165609	ENSG00000165609;MX:10:12179132-12180395:12180489-12184889:12179132-12184494:12184532-12184889:-	0.3258294443	0.0264735265
TPM4	ENSG00000167460	ENSG00000167460;MX:19:16076697-16077957:16078149-16081913:16076697-16081020:16081075-16081913:+	-0.2076568252	0.0394605395
DCLK2	ENSG00000170390	ENSG00000170390;MX:4:150249684-150253474:150253556-150256020:150249684-150254426:150254438-150256020:+	-0.1644161256	0.0394605395
PHYHD1	ENSG00000175287	ENSG00000175287;MX:9:128936503-128936583:128936645-128940369:128936503-128937757:128937778-128940369:+	0.1703164221	0.034965035
ZFAS1	ENSG00000177410	ENSG00000177410;MX:20:49279208-49280485:49280570-49289045:49279208-49280903:49280964-49289045:+	-0.3270770032	0.031968032
NPIPA6	ENSG00000183889	ENSG00000183889;MX:16:16333884-16335861:16335992-16340306:16333884-16336052:16336137-16340306:+	-0.0875446833	0.0414585415
PSMD13	ENSG00000185627	ENSG00000185627;MX:11:237144-238998:239076-244161:237144-244041:244075-244161:+	0.175690437	0.044955045
KCNQ5	ENSG00000185760	ENSG00000185760;MX:6:73124512-73129793:73129849-73133421:73124512-73132144:73132164-73133421:+	-0.2161047868	0.0494505495
SCN8A	ENSG00000196876	ENSG00000196876;MX:12:51687219-51688758:51688849-51699570:51687219-51689005:51689096-51699570:+	-0.1651691914	0.035964036
NUP50-DT	ENSG00000226328	ENSG00000226328;MX:22:45138916-45152405:45152623-45163518:45138916-45158060:45158185-45163518:-	-0.3607205022	0.043956044
CFAP298-TCP10L	ENSG00000265590	ENSG00000265590;MX:21:32582415-32584161:32584305-32603161:32582415-32602272:32602367-32603161:-	-0.2765931975	0.0384615385
CFAP298-TCP10L	ENSG00000265590	ENSG00000265590;MX:21:32582415-32587313:32587477-32603161:32582415-32602272:32602367-32603161:-	-0.2875477668	0.0384615385
CYFIP1	ENSG00000273749	ENSG00000273749;MX:15:22914882-22916477:22916630-22917788:22914882-22916882:22917029-22917788:-	0.1088824126	0.0474525475
