	gene_id	AL_con1-AL_con2_dPSI	AL_con1-AL_con2_p-val
CSDE1	ENSG00000009307	ENSG00000009307;AL:1:114739870:114739922-114749821:114748317:114748418-114749821:-	-0.2509434202	0.026973027
PLD3	ENSG00000105223	ENSG00000105223;AL:19:40378223-40387499:40387707:40378223-40389451:40389472:+	-0.3686890688	0.011988012
RNF7	ENSG00000114125	ENSG00000114125;AL:3:141738516-141742644:141743027:141738516-141745159:141745700:+	0.332740429	0.033966034
USP4	ENSG00000114316	ENSG00000114316;AL:3:49311785:49312613-49324702:49316732:49317478-49324702:-	-0.2491428954	0.041958042
ABCD4	ENSG00000119688	ENSG00000119688;AL:14:74299178:74299675-74300150:74299899:74300035-74300150:-	0.2568879769	0.038961039
ZNF644	ENSG00000122482	ENSG00000122482;AL:1:90940949:90941309-90982310:90972744:90973213-90982310:-	-0.2892669685	0.021978022
VPS26A	ENSG00000122958	ENSG00000122958;AL:10:69166110-69168489:69168532:69166110-69171156:69171359:+	-0.3005716182	0.04995005
ZNF384	ENSG00000126746	ENSG00000126746;AL:12:6678261:6678460-6678946:6678661:6678710-6678946:-	0.2962025482	0.0484515485
DNAJB2	ENSG00000135924	ENSG00000135924;AL:2:219282061-219282479:219282705:219282061-219282837:219282852:+	0.2877592867	0.0344655345
LMO7	ENSG00000136153	ENSG00000136153;AL:13:75804541-75805479:75805760:75804541-75807480:75807687:+	0.3634852206	0.013986014
GEMIN7	ENSG00000142252	ENSG00000142252;AL:19:45080029-45088509:45088699:45080029-45090107:45091518:+	0.3699791974	0.018981019
POC5	ENSG00000152359	ENSG00000152359;AL:5:75674431:75674578-75685207:75677521:75677950-75685207:-	0.2803421109	0.043956044
PTPRD	ENSG00000153707	ENSG00000153707;AL:9:8524949:8525035-8528591:8528152:8528492-8528591:-	-0.1443673758	0.041958042
THY1	ENSG00000154096	ENSG00000154096;AL:11:119419308:119419431-119420051:119419465:119419520-119420051:-	-0.0930677664	0.0474525475
APCDD1	ENSG00000154856	ENSG00000154856;AL:18:10472061-10475887:10477878:10472061-10485462:10485503:+	0.3336723252	0.028971029
SANBR	ENSG00000162929	ENSG00000162929;AL:2:61118116-61121185:61121565:61118116-61134137:61134232:+	-0.3462937123	0.041958042
SUN1	ENSG00000164828	ENSG00000164828;AL:7:842130-842482:842568:842130-842967:843006:+	0.218408968	0.03996004
EEIG1	ENSG00000167106	ENSG00000167106;AL:9:127953269:127953604-127979992:127972582:127972647-127979992:-	-0.2054977137	0.0334665335
GPRC5B	ENSG00000167191	ENSG00000167191;AL:16:19858498:19858545-19861837:19858971:19860544-19861837:-	0.1364575704	0.034965035
GPRC5B	ENSG00000167191	ENSG00000167191;AL:16:19858498:19858545-19861837:19860408:19860544-19861837:-	0.3109516248	0.034965035
DNAJC7	ENSG00000168259	ENSG00000168259;AL:17:41976435:41976770-41977261:41976777:41976800-41977261:-	-0.2047351638	0.0354645355
DNAJC7	ENSG00000168259	ENSG00000168259;AL:17:41976495:41976770-41977261:41976777:41976800-41977261:-	-0.2190592525	0.0354645355
DNAJC7	ENSG00000168259	ENSG00000168259;AL:17:41976501:41976770-41977261:41976777:41976800-41977261:-	-0.2811225347	0.0354645355
HNRNPA3	ENSG00000170144	ENSG00000170144;AL:2:177219314-177219408:177220085:177219314-177222060:177223898:+	-0.2175692321	0.0304695305
RPL4	ENSG00000174444	ENSG00000174444;AL:15:66501399:66501504-66502612:66501785:66501873-66502612:-	0.1778721109	0.033966034
MRPL42	ENSG00000198015	ENSG00000198015;AL:12:93487660-93488289:93488472:93487660-93501176:93501291:+	-0.2205162912	0.047952048
MRPL42	ENSG00000198015	ENSG00000198015;AL:12:93487660-93488289:93488472:93487660-93501176:93516214:+	-0.1805306655	0.047952048
TPM2	ENSG00000198467	ENSG00000198467;AL:9:35681993:35682163-35684246:35682932:35683241-35684246:-	-0.309738329	0.0274725275
TPM2	ENSG00000198467	ENSG00000198467;AL:9:35682014:35682163-35684246:35682932:35683241-35684246:-	-0.3588830449	0.0274725275
LINC01766	ENSG00000224910	ENSG00000224910;AL:19:35575779-35581852:35581964:35575779-35600641:35601037:+	-0.323550641	0.005994006
LINC03031	ENSG00000254584	ENSG00000254584;AL:11:32033595:32033743-32036656:32035979:32036248-32036656:-	0.7142857143	0.0034965035
	ENSG00000263551	ENSG00000263551;AL:18:1183959-1187278:1187447:1183959-1269642:1269910:+	0.2561451854	0.035964036
CHASERR	ENSG00000272888	ENSG00000272888;AL:15:92883186-92883585:92883861:92883186-92897724:92898089:+	0.2250443577	0.0394605395
	ENSG00000310236	ENSG00000310236;AL:22:12625428-12626607:12626712:12625428-12628312:12629201:+	0.2477739635	0.04995005
