	gene_id	MX_con1-MX_con2_dPSI	MX_con1-MX_con2_p-val
NDUFAF7	ENSG00000003509	ENSG00000003509;MX:2:37231760-37232106:37232266-37237757:37231760-37236096:37236176-37237757:+	0.2612672055	0.0494505495
AGK	ENSG00000006530	ENSG00000006530;MX:7:141551434-141555453:141555567-141596562:141551434-141593146:141593185-141596562:+	0.2803014908	0.048951049
NDUFS1	ENSG00000023228	ENSG00000023228;MX:2:206149096-206149818:206149925-206153618:206149096-206152419:206152510-206153618:-	-0.1702750874	0.008991009
VCAN	ENSG00000038427	ENSG00000038427;MX:5:83512396-83519349:83522309-83545537:83512396-83537007:83542268-83545537:+	0.0758004701	0.0144855145
TRIT1	ENSG00000043514	ENSG00000043514;MX:1:39844640-39847220:39847297-39847986:39844640-39847548:39847660-39847986:-	0.2120403404	0.022977023
MAPK9	ENSG00000050748	ENSG00000050748;MX:5:180242755-180247439:180247510-180248973:180242755-180247855:180247926-180248973:-	-0.0685135482	0.040959041
MTMR1	ENSG00000063601	ENSG00000063601;MX:X:150699300-150712342:150712365-150718625:150699300-150714479:150714529-150718625:+	-0.3365049343	0.0004995005
PRR11	ENSG00000068489	ENSG00000068489;MX:17:59155805-59160759:59160876-59169748:59155805-59163599:59163664-59169748:+	-0.311978611	0.038961039
TCF3	ENSG00000071564	ENSG00000071564;MX:19:1611849-1612207:1612433-1615686:1611849-1615285:1615520-1615686:-	-0.0617430778	0.037962038
DNM2	ENSG00000079805	ENSG00000079805;MX:19:10795439-10796061:10796199-10798486:10795439-10797380:10797518-10798486:+	-0.0500217278	0.026973027
CD59	ENSG00000085063	ENSG00000085063;MX:11:33710343-33713379:33713469-33717370:33710343-33716826:33716868-33717370:-	-0.080118766	0.04995005
TOP3B	ENSG00000100038	ENSG00000100038;MX:22:21975807-21975981:21976187-21982730:21975807-21982414:21982449-21982730:-	-0.3155259351	0.03996004
PSMA3	ENSG00000100567	ENSG00000100567;MX:14:58244941-58247750:58247832-58257745:58244941-58252119:58252242-58257745:+	-0.2257344656	0.0314685315
CSNK2A1	ENSG00000101266	ENSG00000101266;MX:20:497780-499255:499305-505118:497780-499833:499934-505118:-	0.1642268053	0.0274725275
CDK5RAP1	ENSG00000101391	ENSG00000101391;MX:20:33374212-33379461:33379691-33401428:33374212-33394032:33394066-33401428:-	-0.3265981942	0.0384615385
TIMM50	ENSG00000105197	ENSG00000105197;MX:19:39482033-39482885:39482916-39485688:39482033-39485544:39485602-39485688:+	-0.1638700843	0.044955045
GTPBP10	ENSG00000105793	ENSG00000105793;MX:7:90353009-90354458:90354549-90374302:90353009-90372155:90372228-90374302:+	0.2614845423	0.043956044
TMEM30A	ENSG00000112697	ENSG00000112697;MX:6:75260911-75265231:75265338-75284402:75260911-75267641:75267748-75284402:-	0.1766450842	0.0254745255
NDUFB3	ENSG00000119013	ENSG00000119013;MX:2:201072059-201072339:201072361-201078881:201072059-201073071:201073153-201078881:+	0.3940543833	0.042957043
SERAC1	ENSG00000122335	ENSG00000122335;MX:6:158144420-158146782:158146913-158150453:158144420-158148865:158148954-158150453:-	0.3998642718	0.0384615385
CLTA	ENSG00000122705	ENSG00000122705;MX:9:36204179-36209267:36209320-36211603:36204179-36210625:36210660-36211603:+	0.0712123925	0.0484515485
YWHAH	ENSG00000128245	ENSG00000128245;MX:22:31944820-31945500:31945678-31956139:31944820-31950308:31950422-31956139:+	-0.3710717041	0.005994006
IFT22	ENSG00000128581	ENSG00000128581;MX:7:101316542-101318124:101318213-101321671:101316542-101318956:101319032-101321671:-	0.0651000403	0.0364635365
ARPP19	ENSG00000128989	ENSG00000128989;MX:15:52557222-52564190:52564246-52569116:52557222-52568848:52568902-52569116:-	0.1327387236	0.034965035
KIF1A	ENSG00000130294	ENSG00000130294;MX:2:240726940-240728389:240728412-240737063:240726940-240734719:240734745-240737063:-	-0.1400561834	0.043956044
ACSS2	ENSG00000131069	ENSG00000131069;MX:20:34882989-34893569:34893622-34913096:34882989-34908905:34908943-34913096:+	-0.3297852615	0.00999001
MRPS25	ENSG00000131368	ENSG00000131368;MX:3:15052633-15053380:15053467-15065061:15052633-15059369:15059475-15065061:-	0.3842227936	0.017982018
CDK4	ENSG00000135446	ENSG00000135446;MX:12:57751090-57751207:57751342-57752175:57751090-57751500:57751736-57752175:-	-0.0680274479	0.043956044
MDM2	ENSG00000135679	ENSG00000135679;MX:12:68809292-68813554:68813628-68820325:68809292-68816812:68816945-68820325:+	-0.4017701253	0.0014985015
RPS24	ENSG00000138326	ENSG00000138326;MX:10:78037304-78037439:78037441-78040204:78037304-78037965:78037982-78040204:+	-0.2380436625	0.004995005
HNRNPD	ENSG00000138668	ENSG00000138668;MX:4:82359639-82371528:82371584-82374119:82359639-82373446:82373777-82374119:-	0.1698256163	0.008991009
VPS53	ENSG00000141252	ENSG00000141252;MX:17:653410-655838:655953-697418:653410-661809:661895-697418:-	0.2768117131	0.015984016
SS18	ENSG00000141380	ENSG00000141380;MX:18:26078160-26080305:26080423-26087501:26078160-26082363:26082528-26087501:-	0.3727038499	0.0464535465
BOD1	ENSG00000145919	ENSG00000145919;MX:5:173608292-173609238:173609434-173616200:173608292-173613131:173613255-173616200:-	0.0721770235	0.036963037
TRIM41	ENSG00000146063	ENSG00000146063;MX:5:181234349-181234932:181234995-181235354:181234349-181234996:181235079-181235354:+	0.1348936196	0.031968032
PTPRD	ENSG00000153707	ENSG00000153707;MX:9:8525035-8526627:8526644-8528591:8525035-8527345:8527353-8528591:-	0.2472512844	0.017982018
PTPRN2	ENSG00000155093	ENSG00000155093;MX:7:158205273-158316819:158316932-158587558:158205273-158489735:158489785-158587558:-	0.1676686772	0.006993007
ZFYVE27	ENSG00000155256	ENSG00000155256;MX:10:97737321-97738477:97738674-97748269:97737321-97744729:97744915-97748269:+	-0.2565194978	0.00999001
GRIA1	ENSG00000155511	ENSG00000155511;MX:5:153770415-153794621:153794735-153802356:153770415-153795476:153795590-153802356:+	0.1042817764	0.023976024
MEAF6	ENSG00000163875	ENSG00000163875;MX:1:37495918-37496547:37496604-37501804:37495918-37496707:37496736-37501804:-	-0.0538467476	0.027972028
BDH2	ENSG00000164039	ENSG00000164039;MX:4:103096274-103097636:103097754-103099783:103096274-103098644:103098802-103099783:-	-0.2159127648	0.0264735265
MATCAP2	ENSG00000164542	ENSG00000164542;MX:7:36335178-36336154:36336297-36366916:36335178-36356902:36357590-36366916:-	0.1799012399	0.0454545455
TLCD3A	ENSG00000167695	ENSG00000167695;MX:17:733181-737846:738047-741301:733181-740505:740600-741301:+	0.3522798984	0.010989011
TBL1XR1	ENSG00000177565	ENSG00000177565;MX:3:177051726-177053773:177053918-177098466:177051726-177064920:177065022-177098466:-	-0.5861682446	0.012987013
OAZ2	ENSG00000180304	ENSG00000180304;MX:15:64691591-64693075:64693181-64703029:64691591-64695964:64696050-64703029:-	-0.3305932368	0.0094905095
NPLOC4	ENSG00000182446	ENSG00000182446;MX:17:81606814-81608728:81608822-81613318:81606814-81610210:81610258-81613318:-	-0.3745089328	0.023976024
NF2	ENSG00000186575	ENSG00000186575;MX:22:29604112-29636751:29636876-29642202:29604112-29639090:29639212-29642202:+	-0.765202295	0.0014985015
PDCD6	ENSG00000249915	ENSG00000249915;MX:5:272772-304177:304221-314417:272772-311293:311402-314417:+	-0.1560839158	0.028971029
	ENSG00000291064	ENSG00000291064;MX:22:50783864-50784331:50784424-50785173:50783864-50784625:50784686-50785173:+	-0.4292346018	0.024975025
AFG3L1P	ENSG00000293510	ENSG00000293510;MX:16:89972765-89977639:89977802-89980242:89972765-89978810:89978878-89980242:+	-0.2042623291	0.04995005
	ENSG00000310523	ENSG00000310523;MX:2:113584136-113588550:113588703-113595369:113584136-113595063:113595161-113595369:+	0.4503811054	0.027972028
WASH7P	ENSG00000310526	ENSG00000310526;MX:1:18061-18268:18366-29321:18061-24738:24819-29321:-	-0.5035954639	0.02997003
