	gene_id	SE_con1-SE_con2_dPSI	SE_con1-SE_con2_p-val
ARHGAP44	ENSG00000006740	ENSG00000006740;SE:17:12958897-12973302:12973319-12974089:+	0.3910703481	0.0
PPP5C	ENSG00000011485	ENSG00000011485;SE:19:46376574-46383411:46383476-46383780:+	0.1224816782	0.038961039
DCUN1D1	ENSG00000043093	ENSG00000043093;SE:3:182965753-182985504:182985622-182985821:-	-0.2110468108	0.036963037
ATP2B4	ENSG00000058668	ENSG00000058668;SE:1:203727571-203733223:203733400-203739546:+	0.1415333709	0.037962038
SPHK2	ENSG00000063176	ENSG00000063176;SE:19:48620553-48625891:48626362-48627692:+	-0.2770868058	0.035964036
SPHK2	ENSG00000063176	ENSG00000063176;SE:19:48620553-48625950:48626362-48627692:+	-0.2479421051	0.0414585415
ATP1B3	ENSG00000069849	ENSG00000069849;SE:3:141876910-141902136:141902227-141903620:+	0.2979250919	0.008991009
NEDD4	ENSG00000069869	ENSG00000069869;SE:15:55988001-55991926:55992005-55993511:-	-0.0589419594	0.0354645355
MRPL22	ENSG00000082515	ENSG00000082515;SE:5:154941265-154950821:154950938-154956371:+	0.1639680364	0.0394605395
ERP29	ENSG00000089248	ENSG00000089248;SE:12:112013609-112019756:112019894-112022150:+	0.1405695796	0.0384615385
DDX24	ENSG00000089737	ENSG00000089737;SE:14:94062621-94079025:94079621-94081119:-	0.1011696099	0.0274725275
DDX24	ENSG00000089737	ENSG00000089737;SE:14:94062621-94079025:94079747-94081119:-	0.207613981	0.021978022
ITGA6	ENSG00000091409	ENSG00000091409;SE:2:172498100-172501772:172501901-172504091:+	0.2646793267	0.0494505495
MYL6	ENSG00000092841	ENSG00000092841;SE:12:56160320-56160626:56160670-56161387:+	0.1679606173	0.023976024
PALM	ENSG00000099864	ENSG00000099864;SE:19:736078-740352:740483-746285:+	0.2679309369	0.000999001
MAPK1	ENSG00000100030	ENSG00000100030;SE:22:21772982-21788257:21788388-21788694:-	0.079297163	0.0484515485
MYH9	ENSG00000100345	ENSG00000100345;SE:22:36306607-36308808:36308870-36309282:-	0.1153977157	0.0324675325
TIMP1	ENSG00000102265	ENSG00000102265;SE:X:47582474-47583408:47583536-47584936:+	-0.2624061876	0.0194805195
TJP1	ENSG00000104067	ENSG00000104067;SE:15:29719138-29719777:29720016-29720358:-	0.1062158777	0.034965035
FZD3	ENSG00000104290	ENSG00000104290;SE:8:28494343-28499933:28499978-28502670:+	0.1526018086	0.0244755245
CRTC1	ENSG00000105662	ENSG00000105662;SE:19:18743026-18744108:18744155-18745823:+	0.2266045136	0.006993007
KCNT1	ENSG00000107147	ENSG00000107147;SE:9:135736787-135742772:135742813-135750098:+	0.3347016684	0.0374625375
CAMKK2	ENSG00000110931	ENSG00000110931;SE:12:121240869-121244573:121244615-121245140:-	0.1401446368	0.044955045
FN1	ENSG00000115414	ENSG00000115414;SE:2:215379317-215380811:215381080-215382212:-	-0.2553038618	0.02997003
FN1	ENSG00000115414	ENSG00000115414;SE:2:215391814-215392931:215393203-215394528:-	-0.2524013283	0.02997003
ESYT2	ENSG00000117868	ENSG00000117868;SE:7:158749723-158752781:158752843-158759486:-	0.1654615375	0.0284715285
CNNM1	ENSG00000119946	ENSG00000119946;SE:10:99365002-99368618:99368680-99377055:+	0.269973752	0.0104895105
ARL4A	ENSG00000122644	ENSG00000122644;SE:7:12687043-12687635:12687728-12688166:+	-0.1722919778	0.0464535465
NR4A1	ENSG00000123358	ENSG00000123358;SE:12:52051568-52052474:52052645-52054327:+	0.2682468769	0.027972028
PRMT1	ENSG00000126457	ENSG00000126457;SE:19:49677316-49679872:49679925-49680487:+	0.1183758745	0.0374625375
MYH10	ENSG00000133026	ENSG00000133026;SE:17:8521285-8530623:8530685-8535387:-	0.3361488767	0.031968032
DCLK1	ENSG00000133083	ENSG00000133083;SE:13:35774699-35788212:35788285-35793366:-	0.1222383816	0.0244755245
ARGLU1	ENSG00000134884	ENSG00000134884;SE:13:106557131-106557559:106557616-106559432:-	0.1355947366	0.045954046
RAB11FIP5	ENSG00000135631	ENSG00000135631;SE:2:73076182-73079651:73081663-73088050:-	-0.1239226064	0.0424575425
SLC22A23	ENSG00000137266	ENSG00000137266;SE:6:3283975-3284936:3284959-3285079:-	0.223763907	0.035964036
MBNL2	ENSG00000139793	ENSG00000139793;SE:13:97347067-97356796:97356849-97357482:+	-0.1785914484	0.02997003
MBNL2	ENSG00000139793	ENSG00000139793;SE:13:97357635-97365136:97365171-97391322:+	-0.1609879313	0.037962038
MBNL2	ENSG00000139793	ENSG00000139793;SE:13:97357635-97366459:97366553-97391322:+	-0.1973273136	0.02997003
RAB15	ENSG00000139998	ENSG00000139998;SE:14:64952571-64957940:64958159-64971953:-	-0.1103573947	0.0394605395
CSNK1D	ENSG00000141551	ENSG00000141551;SE:17:82244831-82245976:82246039-82248875:-	0.3145209956	0.005994006
ADD3	ENSG00000148700	ENSG00000148700;SE:10:110130486-110132305:110132400-110133326:+	-0.1973689897	0.027972028
SCN2B	ENSG00000149575	ENSG00000149575;SE:11:118168751-118170319:118170422-118176362:-	0.1008579554	0.0434565435
NPTN	ENSG00000156642	ENSG00000156642;SE:15:73592137-73597022:73597369-73633125:-	0.053986201	0.044955045
FMNL2	ENSG00000157827	ENSG00000157827;SE:2:152619718-152622537:152622557-152625438:+	0.1096324731	0.02997003
FMNL2	ENSG00000157827	ENSG00000157827;SE:2:152640914-152643419:152643544-152647796:+	0.1096324731	0.02997003
MRPL17	ENSG00000158042	ENSG00000158042;SE:11:6682402-6682747:6682815-6683123:-	0.1968499503	0.040959041
MRAS	ENSG00000158186	ENSG00000158186;SE:3:138348767-138372866:138373076-138397324:+	-0.1589317432	0.035964036
NDUFV3	ENSG00000160194	ENSG00000160194;SE:21:42897047-42903182:42904276-42908864:+	0.1745561562	0.04995005
VSNL1	ENSG00000163032	ENSG00000163032;SE:2:17540918-17546003:17546023-17592070:+	-0.0684976371	0.037962038
BBS5	ENSG00000163093	ENSG00000163093;SE:2:169493836-169497627:169497689-169499486:+	0.1856228787	0.038961039
GOLGA2	ENSG00000167110	ENSG00000167110;SE:9:128268524-128272785:128272865-128273850:-	0.3592216054	0.017982018
TRUB2	ENSG00000167112	ENSG00000167112;SE:9:128315628-128315822:128315896-128317152:-	0.1258513163	0.04995005
MT1E	ENSG00000169715	ENSG00000169715;SE:16:56625879-56626466:56626531-56626880:+	0.1041620911	0.036963037
DLGAP1	ENSG00000170579	ENSG00000170579;SE:18:3582164-3656084:3656113-3729135:-	0.2425081544	0.0307192807
DLGAP1	ENSG00000170579	ENSG00000170579;SE:18:3582248-3656084:3656113-3729135:-	0.2035631107	0.017982018
LINC01106	ENSG00000175772	ENSG00000175772;SE:2:110377068-110377650:110377834-110384315:-	0.3395516389	0.041958042
LINC01106	ENSG00000175772	ENSG00000175772;SE:2:110383334-110383699:110383944-110384315:-	0.3891746523	0.041958042
TCEAL8	ENSG00000180964	ENSG00000180964;SE:X:103254017-103254605:103254677-103255078:-	0.139920845	0.034965035
SNRPE	ENSG00000182004	ENSG00000182004;SE:1:203861743-203862182:203862222-203863663:+	0.215464198	0.0334665335
ZNF721	ENSG00000182903	ENSG00000182903;SE:4:444432-472575:472701-499056:-	-0.1892161832	0.031968032
MAPT	ENSG00000186868	ENSG00000186868;SE:17:45962470-45971859:45971945-45978375:+	0.2587766336	0.025974026
FLNA	ENSG00000196924	ENSG00000196924;SE:X:154355072-154357251:154357274-154357434:-	0.2560779219	0.031968032
PSAP	ENSG00000197746	ENSG00000197746;SE:10:71822007-71823888:71823896-71825837:-	0.0883463882	0.0124875125
RPL23A	ENSG00000198242	ENSG00000198242;SE:17:28720328-28720414:28720430-28720707:+	0.0742182069	0.03996004
NOS1AP	ENSG00000198929	ENSG00000198929;SE:1:162357136-162360812:162360924-162365404:+	0.1494781905	0.037962038
LINC01123	ENSG00000204588	ENSG00000204588;SE:2:109988802-109993635:109993819-109994401:+	-0.2415967499	0.01998002
PCMTD1-DT	ENSG00000228801	ENSG00000228801;SE:8:51899846-51913057:51913180-51946436:+	0.3215666713	0.0384615385
EPB41L1-AS1	ENSG00000232406	ENSG00000232406;SE:20:36153086-36153897:36153976-36155063:-	0.2176651437	0.046953047
BARX1-DT	ENSG00000235601	ENSG00000235601;SE:9:93955640-93963773:93963867-93969693:+	0.4549795748	0.018981019
PWP2	ENSG00000241945	ENSG00000241945;SE:21:44113847-44114179:44114278-44114625:+	0.2691304605	0.028971029
RPL36A-HNRNPH2	ENSG00000257529	ENSG00000257529;SE:X:101391822-101395335:101395457-101411936:+	-0.149746936	0.0214785215
CELF2-DT	ENSG00000270111	ENSG00000270111;SE:10:10375041-10387705:10387782-10391460:-	0.3893033294	0.032967033
ST8SIA5-DT	ENSG00000270112	ENSG00000270112;SE:18:46757031-46759811:46760266-46782564:+	0.2890685867	0.045954046
GRIN2B	ENSG00000273079	ENSG00000273079;SE:12:13980356-13981342:13981576-13981916:-	-0.2558735834	0.015984016
TRIM16L	ENSG00000291110	ENSG00000291110;SE:17:18699275-18699360:18699457-18701357:+	0.2673289561	0.02997003
	ENSG00000293141	ENSG00000293141;SE:15:32521658-32522448:32522567-32523029:-	0.2345757132	0.022977023
	ENSG00000299654	ENSG00000299654;SE:9:137118609-137122127:137122280-137129514:-	0.3769844173	0.033966034
	ENSG00000303114	ENSG00000303114;SE:1:194158168-194159280:194159316-194167495:-	-0.1376887248	0.0454545455
