33	ENSG00000075702	WDR62	chr19	+	36083062	36083241	36083062	36083188	36084652	36084744	33	11,3,13,8,6,13,4	3,1,0,0,3,0,0	3,8,6,14,11,7,10	4,0,3,4,2,0,7	152	99	0.000610915324139	0.0267067737386	0.705,0.661,1.0,1.0,0.566,1.0,1.0	0.328,1.0,0.566,0.695,0.782,1.0,0.482	0.154
59	ENSG00000225683	PACRG-AS3	chr6	-	163187672	163190982	163190907	163190982	163184824	163184918	59	186,320,626,224,195,189,562	0,1,6,1,0,0,0	168,451,232,705,560,436,85	0,6,7,7,3,1,1	3334	99	0.000213305616124	0.0122538719473	1.0,0.905,0.756,0.869,1.0,1.0,1.0	1.0,0.691,0.496,0.749,0.847,0.928,0.716	0.158
69	ENSG00000149564	ESAM	chr11	-	124754629	124754763	124754640	124754763	124754213	124754340	69	32,29,19,42,59,48,36	137,142,91,137,248,315,241	46,44,47,63,59,66,44	160,164,112,235,180,258,147	110	99	0.000350919389257	0.0175893101046	0.174,0.155,0.158,0.216,0.176,0.121,0.119	0.206,0.194,0.274,0.194,0.228,0.187,0.212	-0.054
117	ENSG00000293186	NA	chr19	+	53511962	53512695	53511962	53512148	53512858	53513047	117	25,13,67,22,26,25,48	0,7,2,0,0,3,0	42,14,30,41,49,25,14	0,1,0,1,1,0,0	646	99	0.000874933631522	0.0347241010037	1.0,0.222,0.837,1.0,1.0,0.561,1.0	1.0,0.682,1.0,0.863,0.882,1.0,1.0	-0.115
228	ENSG00000198826	ARHGAP11A	chr15	+	32629594	32629762	32629594	32629675	32632978	32633108	228	22,13,15,26,17,8,10	1,1,0,0,1,0,1	11,21,21,15,31,27,25	1,2,4,1,4,1,1	186	99	0.000119851506578	0.00787180679688	0.921,0.874,1.0,1.0,0.9,1.0,0.842	0.854,0.848,0.736,0.889,0.805,0.935,0.93	0.077
285	ENSG00000164941	INTS8	chr8	+	94865505	94865700	94865505	94865690	94867139	94867196	285	7,2,2,6,3,3,7	4,2,0,0,4,1,0	3,6,2,3,4,15,7	0,0,0,0,0,0,0	109	99	0.000635749415825	0.0272663093649	0.614,0.476,1.0,1.0,0.405,0.732,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.253
298	ENSG00000245729	LINC02226	chr5	-	8457349	8457565	8457448	8457565	8452222	8452280	298	2,0,0,2,2,0,0	5,4,7,6,2,2,8	1,1,5,6,5,1,1	5,7,4,9,9,4,7	198	99	0.000259463037386	0.0142479985745	0.167,0.0,0.0,0.143,0.333,0.0,0.0	0.091,0.067,0.385,0.25,0.217,0.111,0.067	-0.078
398	ENSG00000272970	NA	chr3	+	184734034	184734240	184734034	184734100	184737551	184737771	398	14,20,11,9,11,18,22	0,0,0,0,1,0,1	6,12,11,11,13,18,10	1,0,7,2,2,0,0	239	99	0.000198816491775	0.0115801401992	1.0,1.0,1.0,1.0,0.82,1.0,0.901	0.713,1.0,0.394,0.695,0.729,1.0,1.0	0.17
415	ENSG00000058673	ZC3H11A	chr1	+	203796292	203796601	203796292	203796496	203801574	203801628	415	68,46,62,40,93,46,63	30,44,27,14,51,26,23	13,62,41,49,63,69,61	12,45,37,56,62,52,38	204	99	0.00105378265376	0.0396637247363	0.524,0.337,0.527,0.581,0.469,0.462,0.571	0.345,0.401,0.35,0.298,0.33,0.392,0.438	0.131
478	ENSG00000120913	PDLIM2	chr8	+	22579129	22579527	22579129	22579209	22580602	22580697	478	37,10,30,9,61,27,17	0,0,0,0,1,0,0	31,35,39,37,22,38,33	0,2,6,0,1,4,2	417	99	2.67554364664e-07	5.70525671498e-05	1.0,1.0,1.0,1.0,0.935,1.0,1.0	1.0,0.806,0.607,1.0,0.839,0.693,0.797	0.17
