	gene_id	A3_con1-A3_con2_dPSI	A3_con1-A3_con2_p-val
POLDIP2	ENSG00000004142	ENSG00000004142;A3:17:28354585-28355795:28354531-28355795:-	-0.0501061019	0.04995005
PSMC4	ENSG00000013275	ENSG00000013275;A3:19:39972244-39972369:39972244-39972462:+	0.0551982137	0.043956044
GPM6B	ENSG00000046653	ENSG00000046653;A3:X:13774624-13776238:13773030-13776238:-	-0.0546759544	0.040959041
CUL1	ENSG00000055130	ENSG00000055130;A3:7:148759638-148766561:148759638-148766565:+	-0.3305893208	0.036963037
TARBP1	ENSG00000059588	ENSG00000059588;A3:1:234393486-234393646:234393476-234393646:-	-0.0524982286	0.0434565435
DNAJA2	ENSG00000069345	ENSG00000069345;A3:16:46971659-46971896:46971572-46971896:-	0.0604437702	0.0284715285
RASAL2	ENSG00000075391	ENSG00000075391;A3:1:178454648-178456700:178454648-178456721:+	-0.1025860227	0.0454545455
MKNK2	ENSG00000099875	ENSG00000099875;A3:19:2039856-2040134:2037829-2040134:-	0.1774128006	0.00999001
ADNP	ENSG00000101126	ENSG00000101126;A3:20:50894512-50902017:50889957-50902017:-	0.08598758	0.040959041
ARFGAP1	ENSG00000101199	ENSG00000101199;A3:20:63285713-63286366:63285713-63286372:+	-0.0803000422	0.0304695305
MGRN1	ENSG00000102858	ENSG00000102858;A3:16:4683932-4686259:4683932-4688796:+	-0.0975095436	0.04995005
MTHFSD	ENSG00000103248	ENSG00000103248;A3:16:86554751-86555169:86554748-86555169:-	-0.1647329559	0.048951049
HAGHL	ENSG00000103253	ENSG00000103253;A3:16:727140-727412:727140-727485:+	-0.2430044579	0.03996004
MAZ	ENSG00000103495	ENSG00000103495;A3:16:29807066-29810110:29807066-29810116:+	-0.098058801	0.024975025
CLPTM1	ENSG00000104853	ENSG00000104853;A3:19:44992400-44992553:44992400-44992611:+	-0.0960467064	0.011988012
DMAC2	ENSG00000105341	ENSG00000105341;A3:19:41433434-41433537:41432408-41433537:-	-0.1743072993	0.01998002
ATP13A1	ENSG00000105726	ENSG00000105726;A3:19:19654144-19654543:19654074-19654543:-	0.0823979965	0.033966034
PCOLCE	ENSG00000106333	ENSG00000106333;A3:7:100605215-100605505:100605215-100605676:+	-0.2316875673	0.0374625375
RAPGEF1	ENSG00000107263	ENSG00000107263;A3:9:131619209-131621796:131619206-131621796:-	-0.0669420014	0.044955045
DDX5	ENSG00000108654	ENSG00000108654;A3:17:64504842-64506076:64504318-64506076:-	-0.4395756093	0.003996004
TMEM104	ENSG00000109066	ENSG00000109066;A3:17:74776577-74777264:74776577-74777267:+	0.3030203245	0.018981019
LAMTOR3	ENSG00000109270	ENSG00000109270;A3:4:99885675-99887296:99885654-99887296:-	-0.0600645149	0.0474525475
KCNA1	ENSG00000111262	ENSG00000111262;A3:12:4910472-4910840:4910472-4917786:+	0.117555457	0.0144855145
ENO2	ENSG00000111674	ENSG00000111674;A3:12:6914659-6915818:6914659-6915821:+	-0.0567828221	0.025974026
SCAP	ENSG00000114650	ENSG00000114650;A3:3:47417826-47418134:47417823-47418134:-	0.0667212148	0.0424575425
GPR89A	ENSG00000117262	ENSG00000117262;A3:1:145623160-145623593:145623160-145623613:+	-0.1377993632	0.041958042
ITGB1BP1	ENSG00000119185	ENSG00000119185;A3:2:9407598-9408113:9406905-9408113:-	0.0556127182	0.041958042
CSE1L	ENSG00000124207	ENSG00000124207;A3:20:49094963-49096176:49094963-49096349:+	-0.084664646	0.0294705295
LRFN3	ENSG00000126243	ENSG00000126243;A3:19:35935782-35936588:35935782-35936751:+	0.1588924864	0.047952048
RFPL2	ENSG00000128253	ENSG00000128253;A3:22:32194490-32202333:32194398-32202333:-	-0.1281039361	0.044955045
ARPP19	ENSG00000128989	ENSG00000128989;A3:15:52568902-52569116:52568900-52569116:-	-0.112724712	0.0234765235
TOMM40	ENSG00000130204	ENSG00000130204;A3:19:44891314-44891407:44891314-44891410:+	-0.077391532	0.0274725275
SH3BP5	ENSG00000131370	ENSG00000131370;A3:3:15304299-15330504:15304231-15330504:-	0.0703687191	0.040959041
RTN3	ENSG00000133318	ENSG00000133318;A3:11:63681778-63718702:63681778-63718981:+	-0.2071412425	0.023976024
NTPCR	ENSG00000135778	ENSG00000135778;A3:1:232970118-232976302:232970118-232976342:+	0.1562463537	0.03996004
TMEM63B	ENSG00000137216	ENSG00000137216;A3:6:44127678-44134420:44127678-44134561:+	-0.118955767	0.032967033
KIAA0319	ENSG00000137261	ENSG00000137261;A3:6:24572698-24576368:24572659-24576368:-	0.0824680864	0.045954046
LYSMD2	ENSG00000140280	ENSG00000140280;A3:15:51725121-51751271:51724991-51751271:-	0.124365084	0.027972028
GCSH	ENSG00000140905	ENSG00000140905;A3:16:81084594-81087601:81084534-81087601:-	-0.0945801442	0.0304695305
SLC39A3	ENSG00000141873	ENSG00000141873;A3:19:2737379-2739945:2737300-2739945:-	-0.1208587587	0.0344655345
DCAF6	ENSG00000143164	ENSG00000143164;A3:1:168065746-168066377:168065746-168066383:+	0.0841910083	0.021978022
ISG20L2	ENSG00000143319	ENSG00000143319;A3:1:156727808-156728415:156727769-156728415:-	0.1296936239	0.040959041
AIG1	ENSG00000146416	ENSG00000146416;A3:6:143333445-143337978:143333445-143339639:+	0.0894871188	0.026973027
GSN	ENSG00000148180	ENSG00000148180;A3:9:121300126-121301924:121300126-121301963:+	-0.1251866178	0.0184815185
ARID5B	ENSG00000150347	ENSG00000150347;A3:10:62057318-62059243:62057318-62059267:+	-0.1525348902	0.0274725275
XRCC4	ENSG00000152422	ENSG00000152422;A3:5:83258677-83353125:83258677-83353131:+	-0.2819516296	0.0224775225
UBP1	ENSG00000153560	ENSG00000153560;A3:3:33409601-33411581:33409587-33411581:-	-0.1018058371	0.01998002
THY1	ENSG00000154096	ENSG00000154096;A3:11:119419520-119420051:119419431-119420051:-	-0.0632198619	0.0244755245
STEAP2	ENSG00000157214	ENSG00000157214;A3:7:90230036-90232337:90230036-90236891:+	0.1037689069	0.0294705295
ALG8	ENSG00000159063	ENSG00000159063;A3:11:78124214-78139494:78124092-78139494:-	0.3142930122	0.03996004
U2AF1	ENSG00000160201	ENSG00000160201;A3:21:43101432-43104315:43100519-43104315:-	0.2610446741	0.007992008
RALGDS	ENSG00000160271	ENSG00000160271;A3:9:133109721-133110296:133109685-133110296:-	-0.0929535222	0.021978022
URM1	ENSG00000167118	ENSG00000167118;A3:9:128371415-128377995:128371415-128378036:+	0.055087222	0.037962038
POLR2J3	ENSG00000168255	ENSG00000168255;A3:7:102568184-102569835:102567083-102569835:-	-0.0627586238	0.04995005
CHTF8	ENSG00000168802	ENSG00000168802;A3:16:69120649-69121053:69118525-69121053:-	0.1203307759	0.038961039
NSG1	ENSG00000168824	ENSG00000168824;A3:4:4385555-4385857:4385555-4387119:+	-0.3661544568	0.0104895105
ITGAM	ENSG00000169896	ENSG00000169896;A3:16:31297654-31297742:31297654-31297745:+	0.2485377708	0.04995005
PRPF8	ENSG00000174231	ENSG00000174231;A3:17:1650956-1651108:1650846-1651108:-	0.0544948997	0.0304695305
PRPF8	ENSG00000174231	ENSG00000174231;A3:17:1656565-1656648:1656502-1656648:-	0.0867728175	0.0304695305
PELI3	ENSG00000174516	ENSG00000174516;A3:11:66473925-66475572:66473925-66475598:+	-0.0827512695	0.0264735265
ZFAS1	ENSG00000177410	ENSG00000177410;A3:20:49279208-49280485:49279208-49280903:+	-0.3930165798	0.0224775225
ZFAS1	ENSG00000177410	ENSG00000177410;A3:20:49280570-49280864:49280570-49280903:+	-0.0835733898	0.0442057942
PDE4DIP	ENSG00000178104	ENSG00000178104;A3:1:148991973-148992255:148991973-148993485:+	0.1980384061	0.0474525475
