	gene_id	SE_con1-SE_con2_dPSI	SE_con1-SE_con2_p-val
PHF23	ENSG00000040633	ENSG00000040633;SE:17:7237477-7237629:7237660-7239246:-	-0.3092855668	0.041958042
RPL18	ENSG00000063177	ENSG00000063177;SE:19:48617423-48617791:48617877-48619141:-	-0.164858057	0.021978022
TP53INP2	ENSG00000078804	ENSG00000078804;SE:20:34704512-34705358:34705474-34708691:+	0.2185552775	0.021978022
RTRAF	ENSG00000087302	ENSG00000087302;SE:14:52001866-52004194:52004242-52004362:+	-0.3720470276	0.0314685315
RTRAF	ENSG00000087302	ENSG00000087302;SE:14:52001866-52004240:52004242-52004362:+	-0.2205919958	0.0314685315
NHERF1	ENSG00000109062	ENSG00000109062;SE:17:74763520-74766936:74766976-74768147:+	-0.2111301807	0.025974026
EIF4G2	ENSG00000110321	ENSG00000110321;SE:11:10804418-10804913:10805015-10805907:-	-0.3698029296	0.014985015
DBN1	ENSG00000113758	ENSG00000113758;SE:5:177459268-177459603:177459740-177460432:-	-0.1548087716	0.0494505495
AKT3	ENSG00000117020	ENSG00000117020;SE:1:243499786-243504388:243505334-243512324:-	0.542507515	0.023976024
HSPH1	ENSG00000120694	ENSG00000120694;SE:13:31141259-31143792:31143923-31145563:-	-0.1118933744	0.0484515485
ZNF211	ENSG00000121417	ENSG00000121417;SE:19:57634755-57639912:57640067-57640704:+	-0.1921086352	0.048951049
PSMF1	ENSG00000125818	ENSG00000125818;SE:20:1135306-1163130:1163183-1164318:+	-0.2717779701	0.0374625375
UBAC1	ENSG00000130560	ENSG00000130560;SE:9:135939759-135942162:135942289-135945028:-	0.1916570634	0.0464535465
ATXN10	ENSG00000130638	ENSG00000130638;SE:22:45672179-45689712:45689903-45692996:+	0.1774882348	0.044955045
ARHGAP32	ENSG00000134909	ENSG00000134909;SE:11:129123530-129123888:129123929-129124803:-	-0.1571956526	0.048951049
ATIC	ENSG00000138363	ENSG00000138363;SE:2:215318233-215319665:215319731-215325241:+	-0.2589234628	0.042957043
APIP	ENSG00000149089	ENSG00000149089;SE:11:34890552-34895010:34895110-34916228:-	-0.3331766804	0.010989011
BICD1	ENSG00000151746	ENSG00000151746;SE:12:32337706-32338786:32338979-32367670:+	0.2112343678	0.0334665335
THY1	ENSG00000154096	ENSG00000154096;SE:11:119420386-119420869:119420929-119423113:-	-0.1130754123	0.0344655345
CABP1	ENSG00000157782	ENSG00000157782;SE:12:120650682-120656093:120656272-120659878:+	0.3280248421	0.00999001
RSPH1	ENSG00000160188	ENSG00000160188;SE:21:42492863-42492966:42493079-42496133:-	-0.216928391	0.0394605395
C1orf52	ENSG00000162642	ENSG00000162642;SE:1:85258722-85258935:85259061-85259358:-	-0.2343412299	0.032967033
ETNPPL	ENSG00000164089	ENSG00000164089;SE:4:108756492-108759749:108759908-108760188:-	-0.2366590092	0.041958042
MAPK1IP1L	ENSG00000168175	ENSG00000168175;SE:14:55051803-55061680:55061701-55062618:+	-0.2078853162	0.042957043
ATF7	ENSG00000170653	ENSG00000170653;SE:12:53543448-53552541:53552637-53600953:-	-0.2708305935	0.027972028
NETO2	ENSG00000171208	ENSG00000171208;SE:16:47083801-47086226:47086339-47109483:-	-0.2252008155	0.0404595405
CYCS	ENSG00000172115	ENSG00000172115;SE:7:25124127-25124690:25124815-25125200:-	0.2958613364	0.020979021
RPL4	ENSG00000174444	ENSG00000174444;SE:15:66501504-66501788:66501912-66502612:-	0.1396270485	0.0234765235
CCNE2	ENSG00000175305	ENSG00000175305;SE:8:94890550-94892818:94892969-94893891:-	-0.3394384597	0.0194805195
BANF1	ENSG00000175334	ENSG00000175334;SE:11:66002570-66003235:66003373-66003626:+	-0.3041307802	0.010989011
PRRT1	ENSG00000204314	ENSG00000204314;SE:6:32149722-32150368:32150906-32151809:-	0.2046476164	0.041958042
TSTD1	ENSG00000215845	ENSG00000215845;SE:1:161038075-161038551:161038673-161038880:-	0.3827072094	0.013986014
HLA-DPB1	ENSG00000223865	ENSG00000223865;SE:6:33080935-33083785:33083994-33084950:+	0.3157236629	0.0294705295
LYRM9	ENSG00000232859	ENSG00000232859;SE:17:27879490-27880121:27880183-27880274:-	0.2174770697	0.035964036
HLA-B	ENSG00000234745	ENSG00000234745;SE:6:31354665-31355107:31355223-31355317:-	-0.230013697	0.03996004
CYP2U1-AS1	ENSG00000245293	ENSG00000245293;SE:4:107910549-107921939:107922010-107989568:-	-0.3836373951	0.0164835165
VPS13B-DT	ENSG00000253948	ENSG00000253948;SE:8:98996966-99001545:99001804-99012869:-	0.2680907516	0.041958042
	ENSG00000266086	ENSG00000266086;SE:17:57989796-58003651:58004001-58004923:-	-0.3199664972	0.010989011
