	gene_id	AF_con1-AF_con2_dPSI	AF_con1-AF_con2_p-val
IFNGR1	ENSG00000027697	ENSG00000027697;AF:6:137207077-137218028:137218060:137207077-137219243:137219385:-	0.4105601046	0.0404595405
BRD9	ENSG00000028310	ENSG00000028310;AF:5:891854-892421:892522:891854-892606:892801:-	0.3444330535	0.046953047
CTPS2	ENSG00000047230	ENSG00000047230;AF:X:16702941-16711513:16712217:16702941-16712335:16712669:-	0.4304042093	0.0454545455
RASGRP2	ENSG00000068831	ENSG00000068831;AF:11:64742937-64744003:64744142:64742937-64744742:64744834:-	0.5	0.043956044
EIF4G3	ENSG00000075151	ENSG00000075151;AF:1:21089213-21111323:21111610:21089213-21176175:21176234:-	0.7237774843	0.032967033
EIF4G3	ENSG00000075151	ENSG00000075151;AF:1:21089213-21111323:21113129:21089213-21176175:21176234:-	0.5415489207	0.032967033
DCX	ENSG00000077279	ENSG00000077279;AF:X:111410420-111410754:111411146:111410420-111412138:111412192:-	-0.5171358116	0.027972028
MRPL28	ENSG00000086504	ENSG00000086504;AF:16:370225-370499:370538:370225-371067:371289:-	0.3182433128	0.0454545455
ANKRD24	ENSG00000089847	ENSG00000089847;AF:19:4186421:4186461-4199875:4198411:4198532-4199875:+	0.490781288	0.0484515485
SBF1	ENSG00000100241	ENSG00000100241;AF:22:50448650-50449710:50449891:50448650-50454512:50454706:-	-0.5743603512	0.031968032
RPRD1B	ENSG00000101413	ENSG00000101413;AF:20:38083896:38083932-38089726:38085376:38085646-38089726:+	0.4103402184	0.0344655345
TYK2	ENSG00000105397	ENSG00000105397;AF:19:10351162-10352434:10352785:10351162-10353814:10353924:-	-0.4834469586	0.047952048
PUS3	ENSG00000110060	ENSG00000110060;AF:11:125895789-125895907:125896330:125895789-125903170:125903221:-	-0.3673752909	0.0474525475
IFT57	ENSG00000114446	ENSG00000114446;AF:3:108218653-108219410:108219544:108218653-108222111:108222435:-	0.2783332477	0.043956044
HEMK1	ENSG00000114735	ENSG00000114735;AF:3:50569152:50569273-50570931:50569522:50569574-50570931:+	0.3507779246	0.047952048
UNC50	ENSG00000115446	ENSG00000115446;AF:2:98616206:98616346-98618168:98616397:98616533-98618168:+	-0.3634502375	0.0324675325
GPR68	ENSG00000119714	ENSG00000119714;AF:14:91235179-91244297:91244508:91235179-91253715:91253925:-	0.2831799511	0.0494505495
