gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Condition_1_mean_psi	Condition_2_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
FUCA2	ENSG00000001036	gene:ENSG00000001036:s:143507237-143507424	0.0709;-0.0709	6.093e-01;6.093e-01	1.371e-01;1.371e-01	0.7756;0.2244	0.8659;0.1341	s|1e1.1o1|1e2.1o1	2	3	0;0	6	-	143504252-143507237;143502122-143507237	143501932-143502122;143503913-143504252;143507237-143507424	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=6%3A143507424-143501932
STPG1	ENSG00000001460	gene:ENSG00000001460:s:24401079-24401456	-0.0144;-0.1300;0.1505	2.483e-01;8.901e-01;9.431e-01	4.967e-01;2.312e-02;1.033e-02	0.2025;0.3781;0.4205	0.1864;0.2315;0.5847	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	1	-	24392067-24401319;24391679-24401319;24384003-24401319	24383867-24384003;24391203-24391679;24391924-24392071;24401079-24401456	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A24401456-24383867
STPG1	ENSG00000001460	gene:ENSG00000001460:t:24383867-24384003	0.1101;-0.1101	7.716e-01;7.716e-01	4.529e-02;4.529e-02	0.4771;0.5229	0.6125;0.3875	t|1e1.1o1|1e2.1o1	2	3	0;0	1	-	24384003-24401319;24384003-24391561	24383867-24384003;24391203-24391679;24401079-24401456	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A24401456-24383867
RAD52	ENSG00000002016	gene:ENSG00000002016:s:949602-949694	0.0570;-0.0282;-0.0206	5.178e-01;3.041e-01;3.172e-01	1.868e-01;4.699e-01;3.812e-01	0.0664;0.0813;0.8604	0.1479;0.0390;0.8065	s|1e2.1o1|2e1.1o1|2e2.1o1	3	3	0;0;0	12	-	933076-949606;936882-949602;933076-949602	932975-933076;936807-936882;949602-949694	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=12%3A949694-932975
HECW1	ENSG00000002746	gene:ENSG00000002746:t:43243875-43243932	0.0650;-0.0650	5.486e-01;5.486e-01	1.459e-01;1.459e-01	0.2568;0.7432	0.3474;0.6526	t|1e1.1o1|1e2.1o1	2	3	0;0	7	+	43112937-43243875;43114391-43243875	43112629-43112937;43113741-43114391;43243875-43243932	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A43243932-43112629
CFLAR	ENSG00000003402	gene:ENSG00000003402:s:201160432-201160942	0.0766;-0.0766	6.419e-01;6.419e-01	1.158e-01;1.158e-01	0.4369;0.5631	0.5351;0.4649	s|1e1.1o1|1e2.1o1	2	3	0;0	2	+	201160942-201162996;201160942-201163835	201160432-201160942;201162996-201163559;201163835-201176687	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=2%3A201176687-201160432
RBM5	ENSG00000003756	gene:ENSG00000003756:t:50102337-50103166	-0.0572;0.0572	5.721e-01;5.721e-01	2.881e-01;2.881e-01	0.1442;0.8558	0.0739;0.9261	t|1e1.1o1|1e2.1o1	2	3	0;0	3	+	50100051-50103083;50100605-50103083	50099982-50100172;50100532-50102194;50102337-50103166	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=3%3A50103166-50099982
RBM6	ENSG00000004534	gene:ENSG00000004534:s:49999440-49999513	-0.0728;0.0728	6.886e-01;6.886e-01	1.659e-01;1.659e-01	0.1384;0.8616	0.0496;0.9504	s|1e1.1o1|1e2.1o1	2	3	1;0	3	+	49999513-50047160;49999513-50048245	49999440-49999513;50047109-50047326;50048245-50048319	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=3%3A50048319-49999440
RBM6	ENSG00000004534	gene:ENSG00000004534:t:50048245-50048319	0.0568;-0.0628;0.0029;-0.0008	5.571e-01;6.178e-01;1.722e-01;4.824e-02	2.445e-01;1.913e-01;6.634e-01;8.781e-01	0.2005;0.2116;0.4596;0.1318	0.2694;0.1397;0.4643;0.1286	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	3	+	49962685-50048245;49975392-50048245;49999513-50048245;50047326-50048245	49962576-49963027;49975323-49975392;49999440-49999513;50047109-50047326;50048245-50048319	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=3%3A50048319-49962576
ST7	ENSG00000004866	gene:ENSG00000004866:s:117189321-117189393	-0.0511;0.0511	4.978e-01;4.978e-01	2.080e-01;2.080e-01	0.2956;0.7044	0.2254;0.7746	s|1e1.1o1|1e2.1o1	2	3	0;0	7	+	117189393-117190133;117189393-117190834	117189321-117189393;117190133-117190268;117190834-117190936	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A117190936-117189321
