ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
47	ENSG00000110514	MADD	chr11	+	47326543	47326552	47325261	47325329	47326737	47326807	47	5,5,2	0,0,1	2,3,4	4,0,3	158	149	0.000174404585009	0.0197610602258	1.0,1.0,0.654	0.32,1.0,0.557	0.259
91	ENSG00000245937	SLC12A2-DT	chr5	-	128061143	128061244	127956803	127956921	128082734	128082994	91	38,32,32	6,3,3	35,49,33	0,1,0	250	149	1.0935789835e-05	0.00342419549437	0.791,0.864,0.864	1.0,0.967,1.0	-0.149
164	ENSG00000140471	LINS1	chr15	-	100580262	100580352	100574986	100575128	100602120	100602150	164	21,24,17	2,6,0	21,20,20	1,0,0	239	149	0.000479531840542	0.0365998841827	0.867,0.714,1.0	0.929,1.0,1.0	-0.116
417	ENSG00000133460	SLC2A11	chr22	+	23883771	23883873	23882758	23882869	23883948	23884024	417	48,49,48	0,0,1	29,62,52	1,9,0	251	149	0.000384456387697	0.0318572298179	1.0,1.0,0.966	0.945,0.804,1.0	0.072
455	ENSG00000075702	WDR62	chr19	+	36091401	36091465	36090444	36090520	36092688	36092811	455	31,22,31	8,17,9	33,31,34	5,3,1	213	149	0.000233967129823	0.023465172717	0.731,0.475,0.707	0.822,0.878,0.96	-0.249
649	ENSG00000149657	LSM14B	chr20	+	62126225	62126439	62124616	62124780	62130218	62130296	649	62,64,45	0,0,1	80,55,48	5,4,3	363	149	3.72602630142e-05	0.00745383281541	1.0,1.0,0.949	0.868,0.849,0.868	0.121
656	ENSG00000149657	LSM14B	chr20	+	62127584	62127701	62124616	62124780	62130218	62130296	656	48,45,23	0,0,1	33,30,27	5,4,3	266	149	4.67137014926e-06	0.00192019976206	1.0,1.0,0.928	0.787,0.808,0.834	0.166
860	ENSG00000277715	NA	chr12	+	106249670	106249778	106248406	106248759	106252129	106252787	860	4,0,2	6,6,2	3,1,1	0,0,1	257	149	1.7426615404e-05	0.00446943036636	0.279,0.0,0.367	1.0,1.0,0.367	-0.574
965	ENSG00000021645	NRXN3	chr14	+	78278644	78278662	78242390	78243802	78645119	78645421	965	16,10,1	4,8,3	3,8,4	0,1,0	167	149	1.01814707731e-05	0.00324442927859	0.781,0.527,0.229	1.0,0.877,1.0	-0.447
966	ENSG00000021645	NRXN3	chr14	+	78297830	78297860	78242390	78243802	78645119	78645421	966	33,13,6	4,8,3	4,15,9	0,1,0	179	149	1.18300291755e-05	0.00355485290128	0.873,0.575,0.625	1.0,0.926,1.0	-0.284
1173	ENSG00000074966	TXK	chr4	-	48073934	48074053	48071516	48071674	48076401	48076466	1173	1,0,2	0,3,3	5,1,2	1,1,0	268	149	0.000125356155194	0.0159540966737	1.0,0.0,0.27	0.735,0.357,1.0	-0.274
1290	ENSG00000092094	OSGEP	chr14	-	20451256	20451452	20449221	20449266	20451994	20452149	1290	82,66,37	3,1,2	35,52,61	3,9,9	345	149	0.000226677345263	0.0229789434964	0.922,0.966,0.889	0.834,0.714,0.745	0.161
1323	ENSG00000129534	MIS18BP1	chr14	-	45210379	45210528	45204398	45204453	45218281	45218454	1323	7,3,4	0,0,0	2,3,0	0,4,2	298	149	1.20333869367e-05	0.00357512720172	1.0,1.0,1.0	1.0,0.273,0.0	0.576
1340	ENSG00000129534	MIS18BP1	chr14	-	45242760	45242874	45237647	45237721	45253034	45253198	1340	3,2,3	0,0,0	0,2,2	6,2,0	263	149	1.60297403196e-06	0.000952489285928	1.0,1.0,1.0	0.0,0.362,1.0	0.546
1603	ENSG00000178752	ERFE	chr2	+	238164074	238164183	238163736	238163999	238164269	238164360	1603	11,20,21	0,0,1	28,9,4	4,8,1	258	149	1.63603298897e-06	0.000962602246513	1.0,1.0,0.924	0.802,0.394,0.698	0.343
2254	ENSG00000137573	SULF1	chr8	+	69469253	69469385	69466986	69467089	69501873	69501968	2254	11,12,3	0,0,1	14,6,8	7,3,4	281	149	1.91331552146e-06	0.00105993558902	1.0,1.0,0.614	0.515,0.515,0.515	0.356
2315	ENSG00000160124	MIX23	chr3	-	122371674	122371800	122362967	122363027	122383173	122383231	2315	78,110,116	1,0,2	140,119,108	11,6,8	275	149	2.44843395725e-06	0.00124175604216	0.977,1.0,0.969	0.873,0.915,0.88	0.093
2322	ENSG00000099364	FBXL19	chr16	+	30925768	30925931	30923571	30924459	30930072	30930584	2322	51,56,48	1,0,0	52,77,63	6,0,5	312	149	0.000194336038914	0.0210649268237	0.961,1.0,1.0	0.805,1.0,0.857	0.1
2526	ENSG00000228495	LINC01013	chr6	+	132163896	132164193	132154655	132154777	132169000	132169361	2526	1,0,0	8,5,2	14,3,13	32,12,22	446	149	3.28665711579e-05	0.00690477954607	0.04,0.0,0.0	0.128,0.077,0.165	-0.11
2610	ENSG00000207751	NA	chr22	+	21658642	21658686	21657613	21658462	21660836	21661021	2610	2,8,9	4,4,3	17,4,6	0,0,2	193	149	6.99265928337e-05	0.0109954528852	0.279,0.607,0.698	1.0,1.0,0.698	-0.371
2726	ENSG00000110076	NRXN2	chr11	-	64653695	64653722	64652034	64652154	64660331	64660535	2726	253,118,121	171,100,77	57,125,113	93,146,124	176	149	7.15617945137e-05	0.0111455018768	0.556,0.5,0.571	0.342,0.42,0.436	0.143
2740	ENSG00000110076	NRXN2	chr11	-	64692846	64692876	64685645	64685947	64712969	64713699	2740	1,2,0	3,3,3	2,4,1	1,0,1	179	149	1.26656075194e-05	0.00365032943145	0.217,0.357,0.0	0.625,1.0,0.454	-0.502
2783	ENSG00000213024	NUP62	chr19	-	49927693	49927848	49911104	49911366	49929325	49929435	2783	118,106,72	6,10,10	109,77,85	4,0,3	304	149	0.000569656330385	0.0405867173294	0.906,0.839,0.779	0.93,1.0,0.933	-0.113
2803	ENSG00000227354	RBM26-AS1	chr13	+	79415110	79415364	79412681	79412907	79417834	79417916	2803	8,6,2	1,7,0	13,9,3	1,0,0	403	149	0.000450060566216	0.0349891190662	0.747,0.241,1.0	0.828,1.0,1.0	-0.28
2876	ENSG00000174373	RALGAPA1	chr14	-	35688458	35688540	35686541	35686623	35689835	35690003	2876	1,0,0	2,1,3	2,5,1	2,0,1	231	149	4.1851361956e-06	0.00179834003834	0.244,0.0,0.0	0.392,1.0,0.392	-0.513
2953	ENSG00000130224	LRCH2	chrX	-	115126842	115126893	115123944	115124002	115130154	115130199	2953	436,283,289	219,141,113	387,473,364	84,185,102	200	149	0.000571036840728	0.0406282802887	0.597,0.599,0.656	0.774,0.656,0.727	-0.102
3101	ENSG00000295087	NA	chr12	+	9286261	9286368	9284012	9284133	9288274	9288349	3101	2,2,6	8,5,1	0,1,0	4,2,1	256	149	0.000248749517094	0.0243400050577	0.127,0.189,0.777	0.0,0.225,0.0	0.289
3459	ENSG00000103021	CFAP263	chr16	+	58252726	58252853	58249935	58250115	58258367	58258523	3459	49,64,30	0,2,1	54,37,46	4,4,6	276	149	0.000391434597942	0.0322392769063	1.0,0.945,0.942	0.879,0.833,0.805	0.123
3460	ENSG00000103021	CFAP263	chr16	+	58253997	58254159	58249935	58250115	58258367	58258523	3460	126,132,86	0,2,1	122,90,82	4,4,6	311	149	0.00023476380656	0.023465172717	1.0,0.969,0.976	0.936,0.915,0.868	0.075
3845	ENSG00000228824	MIR4500HG	chr13	-	87600955	87601060	87583721	87585080	87615562	87615755	3845	0,1,0	9,0,2	3,5,0	0,1,1	254	149	0.000118943390835	0.0153842851409	0.0,1.0,0.0	1.0,0.746,0.0	-0.249
3865	ENSG00000309392	NA	chr2	-	119281750	119281867	119281086	119281501	119282370	119282527	3865	17,11,3	3,2,7	4,3,9	1,0,0	266	149	4.79363346442e-05	0.00871777929126	0.76,0.755,0.194	0.691,1.0,1.0	-0.327
3866	ENSG00000309392	NA	chr2	-	119281750	119281878	119281117	119281501	119282370	119283256	3866	15,10,1	3,2,7	4,3,7	1,0,0	277	149	3.2325261324e-05	0.00679899185112	0.729,0.729,0.071	0.683,1.0,1.0	-0.385
3945	ENSG00000002016	RAD52	chr12	-	926795	926946	925449	925525	927144	927263	3945	19,10,6	75,64,67	19,34,27	53,47,51	300	149	1.93097371748e-06	0.00106643650618	0.112,0.072,0.043	0.151,0.264,0.208	-0.132
3963	ENSG00000134897	BIVM	chr13	+	102805057	102805239	102799139	102799521	102807283	102807745	3963	11,8,21	1,0,0	5,16,10	2,6,1	331	149	9.13477318454e-06	0.0029902763063	0.832,1.0,1.0	0.529,0.546,0.818	0.313
3971	ENSG00000134897	BIVM	chr13	+	102805306	102805390	102799118	102799521	102807283	102807745	3971	31,26,32	1,0,0	22,23,23	2,6,1	233	149	7.27364893265e-05	0.0112599255105	0.952,1.0,1.0	0.876,0.71,0.936	0.143
4082	ENSG00000268119	NA	chr19	-	21454382	21454472	21448346	21449377	21463743	21463904	4082	26,42,33	8,0,1	6,34,28	0,0,0	239	149	0.00039100210309	0.0322183943463	0.67,1.0,0.954	1.0,1.0,1.0	-0.125
4290	ENSG00000280571	NA	chr3	-	42758124	42758351	42752574	42752717	42794156	42794275	4290	51,54,33	0,0,0	62,22,73	5,0,4	376	149	0.000116632353803	0.0152143714032	1.0,1.0,1.0	0.831,1.0,0.879	0.097
4313	ENSG00000226965	NA	chr7	-	110511059	110511114	110432810	110432906	110525455	110525561	4313	8,17,11	0,3,8	17,7,28	1,1,0	204	149	0.000418193862253	0.0334719231995	1.0,0.805,0.501	0.925,0.836,1.0	-0.152
4633	ENSG00000272970	NA	chr3	+	184727399	184727580	184715693	184716174	184737551	184737771	4633	11,6,3	12,2,3	0,4,0	8,16,4	330	149	3.3153003973e-05	0.00692455486579	0.293,0.575,0.311	0.0,0.101,0.0	0.359
4634	ENSG00000272970	NA	chr3	+	184728833	184728905	184727399	184727580	184734034	184734240	4634	0,3,0	2,0,4	2,2,1	0,1,0	221	149	4.2246546933e-06	0.0018109988213	0.0,1.0,0.0	1.0,0.574,1.0	-0.525
