ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
310	ENSG00000153944	MSI2	chr17	+	57556989	57557131	57529675	57529724	57596867	57596950	310	14,19,19,19,12,22,12,19,20,14,14	44,34,27,99,78,71,44,86,55,54,44	29,19,19,87,33,31,46,26,42	41,52,49,63,39,86,32,42,83	242	100	4.85880289336e-08	8.20233650477e-06	0.116,0.188,0.225,0.073,0.06,0.114,0.101,0.084,0.131,0.097,0.116	0.226,0.131,0.138,0.363,0.259,0.13,0.373,0.204,0.173	-0.103
312	ENSG00000153944	MSI2	chr17	+	57650649	57650673	57627228	57627303	57652098	57652161	312	2,2,7,20,4,8,2,15,3,2,4	49,53,35,80,65,68,11,62,89,24,27	0,3,2,0,2,6,0,1,22	67,84,39,44,74,88,42,47,116	124	100	0.000527568352102	0.019090363524	0.032,0.03,0.139,0.168,0.047,0.087,0.128,0.163,0.026,0.063,0.107	0.0,0.028,0.04,0.0,0.021,0.052,0.0,0.017,0.133	0.058
368	ENSG00000196652	ZKSCAN5	chr7	+	99520168	99520304	99519826	99519909	99525812	99526418	368	23,8,8,36,21,19,22,40,46,26,29	0,4,3,4,5,0,5,2,0,2,0	33,23,26,14,23,13,24,25,1	0,0,0,10,0,0,0,0,0	236	100	0.000152660629324	0.00686574695027	1.0,0.459,0.531,0.792,0.64,1.0,0.651,0.894,1.0,0.846,1.0	1.0,1.0,1.0,0.372,1.0,1.0,1.0,1.0,1.0	-0.129
655	ENSG00000163596	ICA1L	chr2	-	202821357	202821481	202819604	202819899	202825694	202825767	655	122,58,59,164,117,79,105,217,172,117,119	0,0,0,0,2,0,0,3,1,0,0	139,110,135,43,40,125,104,49,36	1,1,4,12,0,0,0,3,0	224	100	0.000966892691958	0.0312663577031	1.0,1.0,1.0,1.0,0.963,1.0,1.0,0.97,0.987,1.0,1.0	0.984,0.98,0.938,0.615,1.0,1.0,1.0,0.879,1.0	0.06
669	ENSG00000163596	ICA1L	chr2	-	202844501	202844587	202828847	202829016	202869535	202869605	669	5,5,0,5,9,5,10,4,2,4,1	15,24,7,33,18,7,15,33,21,45,32	3,0,0,0,0,1,0,0,0	19,36,28,11,22,20,28,26,1	186	100	5.44120304369e-12	3.57454651857e-09	0.152,0.101,0.0,0.075,0.212,0.277,0.264,0.061,0.049,0.046,0.017	0.078,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0	0.102
671	ENSG00000163596	ICA1L	chr2	-	202844501	202844587	202828847	202829016	202871190	202871475	671	9,4,0,5,9,5,10,4,3,6,1	4,8,4,16,9,3,8,17,11,17,18	3,0,0,0,0,1,0,0,0	5,2,9,4,6,5,19,6,1	186	100	9.62818713646e-12	5.68248396525e-09	0.547,0.212,0.0,0.144,0.35,0.473,0.402,0.112,0.128,0.159,0.029	0.244,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.0	0.194
672	ENSG00000163596	ICA1L	chr2	-	202844501	202844587	202828847	202829016	202871618	202871646	672	5,4,0,5,9,5,10,4,2,4,1	22,6,4,12,15,8,16,17,10,13,18	3,0,0,0,0,1,0,0,0	7,13,14,3,29,7,8,12,16	186	100	5.12700992772e-13	4.92041371898e-10	0.109,0.264,0.0,0.183,0.244,0.252,0.252,0.112,0.097,0.142,0.029	0.187,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0	0.124
750	ENSG00000072736	NFATC3	chr16	+	68214328	68214432	68190767	68191775	68226349	68226934	750	19,1,2,4,0,1,0,5,0,7,6	11,3,8,13,3,10,2,2,10,15,3	0,1,0,0,0,0,4,3,0	2,2,8,3,4,15,10,5,6	204	100	2.35765234802e-06	0.000216656668644	0.458,0.14,0.109,0.131,0.0,0.047,0.0,0.551,0.0,0.186,0.495	0.0,0.197,0.0,0.0,0.0,0.0,0.164,0.227,0.0	0.127
756	ENSG00000187987	ZSCAN23	chr6	-	28435858	28436343	28435459	28435607	28443398	28443480	756	35,48,25,56,68,32,52,117,66,50,30	5,0,1,1,1,2,12,8,3,2,3	86,42,53,74,54,62,87,36,22	2,0,0,0,1,0,2,2,0	585	100	2.23089946516e-09	5.97610316437e-07	0.545,1.0,0.81,0.905,0.921,0.732,0.426,0.714,0.79,0.81,0.631	0.88,1.0,1.0,1.0,0.902,1.0,0.881,0.755,1.0	-0.182
824	ENSG00000129518	EAPP	chr14	-	34529357	34529475	34524696	34524807	34533443	34533539	824	366,130,117,322,349,98,479,613,435,603,514	5,8,0,17,10,6,18,35,28,37,34	306,224,467,178,214,325,333,146,139	84,14,13,19,29,19,37,12,17	218	100	5.78199098711e-07	6.51158384983e-05	0.971,0.882,1.0,0.897,0.941,0.882,0.924,0.889,0.877,0.882,0.874	0.626,0.88,0.943,0.811,0.772,0.887,0.805,0.848,0.79	0.093
