	gene_id	AL_con1-AL_con2_dPSI	AL_con1-AL_con2_p-val
ARX	ENSG00000004848	ENSG00000004848;AL:X:25003694:25004910-25007111:25006545:25006627-25007111:-	-0.1478506904	0.042957043
PKM	ENSG00000067225	ENSG00000067225;AL:15:72202533:72202620-72206728:72202690:72203188-72206728:-	0.2005900269	0.024975025
KCNAB2	ENSG00000069424	ENSG00000069424;AL:1:6087511-6088960:6089007:6087511-6089008:6089051:+	0.3064333581	0.0084915085
NLRP1	ENSG00000091592	ENSG00000091592;AL:17:5499427:5499950-5517746:5500467:5501872-5517746:-	-0.1405185352	0.027972028
NLRP1	ENSG00000091592	ENSG00000091592;AL:17:5499427:5499950-5517746:5502292:5505977-5517746:-	-0.1395614134	0.027972028
NLRP1	ENSG00000091592	ENSG00000091592;AL:17:5499427:5499950-5517746:5514296:5515517-5517746:-	-0.1427981998	0.027972028
ZDHHC8	ENSG00000099904	ENSG00000099904;AL:22:20143756-20145229:20146450:20143756-20147021:20148006:+	-0.0755602224	0.044955045
DHRS7	ENSG00000100612	ENSG00000100612;AL:14:60150100:60150187-60153959:60152689:60153178-60153959:-	0.1843033584	0.0244755245
NUTF2	ENSG00000102898	ENSG00000102898;AL:16:67868599-67870800:67871134:67868599-67871199:67871309:+	-0.2538897816	0.0464535465
DNM1	ENSG00000106976	ENSG00000106976;AL:9:128250940-128253101:128253137:128250940-128254650:128255024:+	0.138153851	0.047952048
CDC37L1	ENSG00000106993	ENSG00000106993;AL:9:4702028-4703086:4703208:4702028-4706011:4708399:+	0.093314738	0.04995005
C1orf21	ENSG00000116667	ENSG00000116667;AL:1:184598461-184599340:184599609:184598461-184619518:184619936:+	-0.2879471861	0.044955045
APOC1	ENSG00000130208	ENSG00000130208;AL:19:44914949-44916190:44916292:44914949-44919173:44919343:+	0.3007337391	0.01998002
MICAL2	ENSG00000133816	ENSG00000133816;AL:11:12259897-12260636:12260748:12259897-12262480:12262537:+	-0.1551141054	0.0124875125
MICAL2	ENSG00000133816	ENSG00000133816;AL:11:12259897-12260636:12260748:12259897-12262480:12263782:+	-0.3001389445	0.0124875125
HNRNPD	ENSG00000138668	ENSG00000138668;AL:4:82353844:82355401-82356796:82356554:82356683-82356796:-	-0.2161341887	0.013986014
SMARCC2	ENSG00000139613	ENSG00000139613;AL:12:56171394:56171432-56172428:56171877:56171937-56172428:-	0.1944787583	0.034965035
CACNA1A	ENSG00000141837	ENSG00000141837;AL:19:13228617:13228795-13230082:13229062:13229115-13230082:-	-0.1704961454	0.02997003
KIF5A	ENSG00000155980	ENSG00000155980;AL:12:57583215-57584218:57584648:57583215-57585130:57586633:+	0.1166997712	0.02997003
BRSK1	ENSG00000160469	ENSG00000160469;AL:19:55303826-55304050:55304073:55303826-55304551:55304667:+	0.1591211169	0.0414585415
STRBP	ENSG00000165209	ENSG00000165209;AL:9:123109500:123109753-123122193:123121291:123121548-123122193:-	-0.0961305884	0.0414585415
IDH3A	ENSG00000166411	ENSG00000166411;AL:15:78157631-78160092:78160206:78157631-78161581:78161692:+	-0.2319110046	0.025974026
AKIP1	ENSG00000166452	ENSG00000166452;AL:11:8914930-8917287:8918119:8914930-8919337:8919537:+	-0.2122173567	0.0434565435
EEIG1	ENSG00000167106	ENSG00000167106;AL:9:127953269:127953604-127979992:127972582:127972647-127979992:-	-0.179946741	0.0244755245
RAB26	ENSG00000167964	ENSG00000167964;AL:16:2153222-2153319:2153421:2153222-2153578:2154140:+	-0.1570657769	0.028971029
ATG4B	ENSG00000168397	ENSG00000168397;AL:2:241654647-241655271:241655444:241654647-241659108:241659772:+	0.2131897548	0.045954046
SYNPO2	ENSG00000172403	ENSG00000172403;AL:4:119032027-119037112:119037447:119032027-119057401:119061247:+	0.1856151564	0.031968032
BRSK2	ENSG00000174672	ENSG00000174672;AL:11:1456687-1456955:1457040:1456687-1459192:1459447:+	0.0523335612	0.0484515485
POLR3C	ENSG00000186141	ENSG00000186141;AL:1:145838206-145839890:145840407:145838206-145842339:145842493:+	-0.3517410181	0.0144855145
AMZ2	ENSG00000196704	ENSG00000196704;AL:17:68251178-68254404:68254437:68251178-68256814:68257153:+	0.2764930974	0.0204795205
SMN2	ENSG00000205571	ENSG00000205571;AL:5:70070751-70076521:70076586:70070751-70077019:70077592:+	-0.1527683277	0.038961039
PRKAG2-AS1	ENSG00000239911	ENSG00000239911;AL:7:151877866-151878562:151878814:151877866-151878860:151879851:+	0.1471695502	0.032967033
SNHG10	ENSG00000247092	ENSG00000247092;AL:14:95521988:95523879-95532891:95530326:95530442-95532891:-	-0.3613152612	0.026973027
CKMT2-AS1	ENSG00000247572	ENSG00000247572;AL:5:81235758:81236122-81301287:81237561:81239360-81301287:-	0.2952167791	0.0254745255
	ENSG00000290535	ENSG00000290535;AL:10:38413392-38415544:38416290:38413392-38416682:38416734:+	0.2662381593	0.0244755245
	ENSG00000290928	ENSG00000290928;AL:17:30784892-30792464:30792713:30784892-30803828:30804079:+	0.2481841298	0.030969031
