ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
375	ENSG00000113013	HSPA9	chr5	-	138558552	138558657	138559863	138560091	138557868	138557986	138561579	138561789	375	297,374,317,333,534,617,544,362,469,551,209,385	235,254,282,197,413,450,426,226,306,455,165,301	499,366,409,316,325,445,428,328,378,408,214,347	356,381,430,275,320,482,370,268,259,430,191,363	328	205	6.30678244773e-05	0.0126071316411	0.441,0.479,0.413,0.514,0.447,0.461,0.444,0.5,0.489,0.431,0.442,0.444	0.467,0.375,0.373,0.418,0.388,0.366,0.42,0.433,0.477,0.372,0.412,0.374	0.053
573	ENSG00000300022	NA	chr5	-	70203880	70203965	70207557	70207745	70201867	70202042	70219917	70220092	573	51,398,156,78,319,108,302,117,129,124,126,144	13,38,51,9,28,39,56,32,14,30,35,13	116,168,180,112,310,185,145,157,196,144,188,161	6,29,6,15,39,24,13,9,20,19,28,14	288	185	2.35752930315e-05	0.00633888018243	0.716,0.871,0.663,0.848,0.88,0.64,0.776,0.701,0.855,0.726,0.698,0.877	0.925,0.788,0.951,0.827,0.836,0.832,0.878,0.918,0.863,0.83,0.812,0.881	-0.091
579	ENSG00000300022	NA	chr5	-	70207557	70207745	70219917	70220092	70203880	70203965	70258881	70259037	579	14,42,52,9,29,40,58,35,15,30,36,13	9,54,37,19,89,21,93,29,19,31,24,48	6,31,6,15,38,26,12,10,20,20,28,15	34,52,28,20,50,39,39,35,50,49,57,54	275	288	0.00035216056109	0.0376168755446	0.62,0.449,0.595,0.332,0.254,0.666,0.395,0.558,0.453,0.503,0.611,0.221	0.156,0.384,0.183,0.44,0.443,0.411,0.244,0.23,0.295,0.299,0.34,0.225	0.167
874	ENSG00000058673	ZC3H11A	chr1	+	203816925	203817124	203818569	203818689	203796450	203803016	203828298	203828422	874	83,182,60,61,143,144,118,91,88,116,57,104	65,163,125,65,179,206,219,111,92,190,103,117	134,111,148,83,120,148,132,97,106,117,66,135	153,112,155,75,110,99,127,103,96,109,66,106	299	220	0.000189368330309	0.0253706722391	0.484,0.451,0.261,0.408,0.37,0.34,0.284,0.376,0.413,0.31,0.289,0.395	0.392,0.422,0.413,0.449,0.445,0.524,0.433,0.409,0.448,0.441,0.424,0.484	-0.075
1101	ENSG00000174306	ZHX3	chr20	-	41239597	41239704	41267462	41267612	41238687	41238796	41268989	41269083	1101	14,29,14,8,23,20,23,9,11,14,2,17	1,0,0,0,0,1,1,0,0,0,0,0	16,20,15,9,14,19,14,13,14,11,11,20	1,1,36,2,0,0,2,0,1,0,0,0	250	207	0.000467014006177	0.0446016021265	0.921,1.0,1.0,1.0,1.0,0.943,0.95,1.0,1.0,1.0,1.0,1.0	0.93,0.943,0.257,0.788,1.0,1.0,0.853,1.0,0.921,1.0,1.0,1.0	0.094
1209	ENSG00000086758	HUWE1	chrX	-	53654062	53654131	53680048	53680186	53645388	53645463	53686165	53686336	1209	7,18,13,7,25,27,28,19,11,24,8,24	0,3,5,2,1,5,1,2,0,2,0,1	35,17,37,8,40,11,19,17,7,12,8,11	3,1,0,0,1,2,0,1,0,1,0,0	238	169	0.000179750057299	0.0245650937879	1.0,0.81,0.649,0.713,0.947,0.793,0.952,0.871,1.0,0.895,1.0,0.945	0.892,0.923,1.0,1.0,0.966,0.796,1.0,0.923,1.0,0.895,1.0,1.0	-0.068
1225	ENSG00000196233	LCOR	chr10	+	96833776	96833841	96858291	96858416	96833405	96833479	96907264	96907330	1225	2,4,2,3,3,2,3,1,6,2,1,4	0,3,1,1,0,0,0,2,2,0,1,0	5,2,0,1,5,5,7,6,3,1,2,1	1,5,8,1,0,0,2,2,1,0,3,4	165	225	6.54698790226e-06	0.00245771332984	1.0,0.645,0.732,0.804,1.0,1.0,1.0,0.405,0.804,1.0,0.577,1.0	0.872,0.353,0.0,0.577,1.0,1.0,0.827,0.804,0.804,1.0,0.476,0.254	0.167
1282	ENSG00000105339	DENND3	chr8	+	141160631	141160787	141165185	141165289	141155848	141155970	141166189	141166389	1282	7,17,42,14,40,56,34,24,26,33,15,21	16,22,61,14,49,52,32,30,24,25,9,24	37,14,5,6,23,15,31,18,9,16,15,17	53,29,55,19,38,27,45,58,8,20,25,25	256	204	0.000264537112042	0.0315020340715	0.259,0.381,0.354,0.443,0.394,0.462,0.458,0.389,0.463,0.513,0.57,0.411	0.357,0.278,0.068,0.201,0.325,0.307,0.354,0.198,0.473,0.389,0.323,0.351	0.123
1309	ENSG00000114757	PEX5L	chr3	-	179887672	179887784	179898141	179898246	179859061	179859157	179900669	179900735	1309	15,13,9,17,20,28,13,17,26,18,5,20	1,1,5,1,2,1,6,0,0,2,1,2	26,17,31,6,19,20,9,16,12,13,6,19	1,2,0,0,0,0,1,0,0,2,0,0	205	212	0.000445879876684	0.043507368233	0.939,0.931,0.651,0.946,0.912,0.967,0.691,1.0,1.0,0.903,0.838,0.912	0.964,0.898,1.0,1.0,1.0,1.0,0.903,1.0,1.0,0.87,1.0,1.0	-0.079
1478	ENSG00000216937	CCDC7	chr10	+	32694878	32694992	32711619	32711730	32689052	32689163	32726733	32726832	1478	3,2,1,0,1,5,2,2,1,2,1,3	5,48,12,8,30,19,16,15,19,42,8,6	0,1,0,1,0,0,0,2,1,1,0,0	21,20,33,6,16,18,20,9,5,19,9,19	214	211	0.000205763887496	0.0268094082282	0.372,0.039,0.076,0.0,0.032,0.206,0.11,0.116,0.049,0.045,0.11,0.33	0.0,0.047,0.0,0.141,0.0,0.0,0.0,0.18,0.165,0.049,0.0,0.0	0.075
