ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	ENSG00000089472	HEPH	chrX	+	66256104	66258979	66258839	66258979	66208114	66208246	12	61,71,68,271,165,98,79,40,116,110,178,61,121,231,130,104,87,121,199,259,47	1,1,0,4,3,3,2,3,1,2,0,0,1,0,0,0,1,2,2,1,1	103,156,38,94,159,93,32,92	1,1,0,1,0,0,0,0	2810	75	3.90388154043e-05	0.00419271774329	0.619,0.655,1.0,0.644,0.595,0.466,0.513,0.262,0.756,0.595,1.0,1.0,0.764,1.0,1.0,1.0,0.699,0.618,0.726,0.874,0.556	0.733,0.806,1.0,0.715,1.0,1.0,1.0,1.0	-0.176
137	ENSG00000107331	ABCA2	chr9	-	137022940	137023840	137022940	137023052	137024142	137024236	137	122,144,230,575,245,221,168,140,131,227,177,91,268,234,324,502,178,242,307,696,62	133,113,93,109,90,94,93,89,104,131,165,95,95,61,51,75,85,110,130,118,19	129,214,112,141,160,125,74,1094	127,116,105,158,213,84,104,156	863	75	7.14137387955e-05	0.00674250671044	0.074,0.1,0.177,0.314,0.191,0.17,0.136,0.12,0.099,0.131,0.085,0.077,0.197,0.25,0.356,0.368,0.154,0.161,0.17,0.339,0.221	0.081,0.138,0.085,0.072,0.061,0.115,0.058,0.379	0.062
227	ENSG00000137462	TLR2	chr4	+	153701499	153705699	153702891	153705699	153687901	153688047	227	47,32,60,435,80,152,36,16,55,54,151,53,146,114,121,43,38,23,113,128,91	0,2,5,4,1,0,2,0,0,5,2,1,4,2,0,0,0,1,6,8,2	43,40,16,32,16,24,21,18	0,2,0,0,0,0,0,1	1467	75	5.16118132676e-08	1.57052836225e-05	1.0,0.45,0.38,0.848,0.804,1.0,0.479,1.0,1.0,0.356,0.794,0.73,0.651,0.745,1.0,1.0,1.0,0.54,0.491,0.45,0.699	1.0,0.506,1.0,1.0,1.0,1.0,1.0,0.479	-0.139
317	ENSG00000109065	NAT9	chr17	-	74771959	74772054	74771959	74772039	74772217	74772277	317	10,12,3,18,14,5,12,4,9,11,7,8,3,11,6,10,11,9,19,48,13	1,1,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,8,0	15,16,9,8,12,3,10,10	4,0,3,1,0,0,3,3	90	75	0.000301576533565	0.0209523846876	0.893,0.909,0.714,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.714,0.893,1.0,1.0,1.0,0.833,1.0	0.758,1.0,0.714,0.87,1.0,1.0,0.735,0.735	0.081
372	ENSG00000161265	U2AF1L4	chr19	-	35742530	35742803	35742530	35742619	35743808	35743904	372	52,27,33,40,21,40,36,45,29,28,59,29,42,21,21,31,30,51,50,119,41	2,0,3,2,4,1,0,2,6,1,1,3,1,2,1,2,1,1,1,4,0	36,28,47,30,60,29,44,35	0,2,0,0,0,1,1,1	259	75	0.000225447211753	0.0166871557816	0.883,1.0,0.761,0.853,0.603,0.921,1.0,0.867,0.583,0.89,0.945,0.737,0.924,0.753,0.859,0.818,0.897,0.937,0.935,0.896,1.0	1.0,0.802,1.0,1.0,1.0,0.894,0.927,0.91	-0.082
671	ENSG00000114062	UBE3A	chr15	-	25407066	25407228	25407066	25407212	25409087	25409207	671	3,4,4,16,5,9,2,2,4,7,3,6,7,10,3,5,5,8,11,11,5	0,0,1,1,0,1,1,0,1,0,3,0,1,0,0,1,0,2,2,0,0	6,12,9,6,7,3,6,4	1,0,4,0,0,2,10,1	91	75	2.92001210012e-06	0.000470408223815	1.0,1.0,0.767,0.93,1.0,0.881,0.622,1.0,0.767,1.0,0.452,1.0,0.852,1.0,1.0,0.805,1.0,0.767,0.819,1.0,1.0	0.832,1.0,0.65,1.0,1.0,0.553,0.331,0.767	0.122
713	ENSG00000131051	RBM39	chr20	-	35734185	35735081	35734185	35734257	35738967	35739017	713	269,253,155,504,282,348,168,212,316,267,203,265,224,312,376,370,335,308,518,279,293	0,1,1,2,1,0,1,0,1,3,3,3,1,1,1,0,2,0,2,6,1	338,360,350,278,294,237,258,104	2,2,1,5,6,2,1,3	899	75	0.000787181499368	0.0425634988202	1.0,0.955,0.928,0.955,0.959,1.0,0.933,1.0,0.963,0.881,0.85,0.881,0.949,0.963,0.969,1.0,0.933,1.0,0.956,0.795,0.961	0.934,0.938,0.967,0.823,0.803,0.908,0.956,0.743	0.06
740	ENSG00000130714	POMT1	chr9	+	131523317	131523799	131523346	131523799	131522931	131523170	740	19,11,10,26,23,15,17,8,16,23,29,17,12,12,9,15,13,10,20,20,13	1,2,4,1,1,7,3,1,3,2,9,0,1,6,3,4,4,1,4,6,2	11,6,15,19,19,13,12,8	0,0,2,0,1,0,0,0	104	75	1.65679692188e-11	1.94460621574e-08	0.932,0.799,0.643,0.949,0.943,0.607,0.803,0.852,0.794,0.892,0.699,1.0,0.896,0.591,0.684,0.73,0.701,0.878,0.783,0.706,0.824	1.0,1.0,0.844,1.0,0.932,1.0,1.0,1.0	-0.176
811	ENSG00000111913	RIPOR2	chr6	-	24839358	24840775	24839358	24839599	24842861	24843554	811	92,124,54,279,81,145,134,100,94,139,147,81,121,127,91,76,136,91,327,144,162	2,0,0,5,3,1,1,4,1,2,1,0,2,0,0,1,4,3,7,11,6	118,102,80,105,96,65,113,44	0,1,1,0,0,1,3,0	1251	75	2.42860521715e-06	0.000399068409282	0.734,1.0,1.0,0.77,0.618,0.897,0.889,0.6,0.849,0.806,0.898,1.0,0.784,1.0,1.0,0.82,0.671,0.645,0.737,0.44,0.618	1.0,0.859,0.827,1.0,1.0,0.796,0.693,1.0	-0.098
836	ENSG00000151090	THRB	chr3	-	24297225	24297371	24297225	24297323	24337299	24337371	836	28,25,17,36,28,12,18,20,28,37,30,19,27,10,19,19,13,20,54,70,25	0,0,2,1,0,0,1,0,2,0,2,0,1,0,2,2,0,2,2,2,0	48,16,37,29,29,27,28,8	1,1,1,3,8,2,3,0	123	75	3.33091933857e-06	0.000531394821081	1.0,1.0,0.838,0.956,1.0,1.0,0.916,1.0,0.895,1.0,0.901,1.0,0.943,1.0,0.853,0.853,1.0,0.859,0.943,0.955,1.0	0.967,0.907,0.958,0.855,0.689,0.892,0.851,1.0	0.058
