gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Condition_1_mean_psi	Condition_2_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
SCYL3	ENSG00000000457	gene:ENSG00000000457:s:169855796-169855963	-0.0785;-0.1533;0.2698	6.235e-01;7.917e-01;9.320e-01	1.059e-01;2.337e-02;3.674e-03	0.1445;0.3418;0.5013	0.0393;0.1394;0.8186	s|1e1.1o1|1e3.2o2|2e2.1o1	3	4	1;1;0	1	-	169855631-169855865;169853652-169855865;169854964-169855796	na-169855631;169849631-169853772;169854270-169854964;169855796-169855963	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169855963-169849631
SCYL3	ENSG00000000457	gene:ENSG00000000457:s:169862562-169862797	0.0917;-0.0884;-0.0053	7.247e-01;7.233e-01;1.474e-01	8.329e-02;9.212e-02;6.875e-01	0.7314;0.2035;0.0664	0.8363;0.1014;0.0625	s|1e1.1o1|2e2.1o2|2e3.2o2	3	4	0;1;1	1	-	169859212-169862613;169855963-169862562;169853652-169862562	169849631-169853772;169855796-169855963;169859041-169859212;169862562-169862797	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169862797-169849631
SCYL3	ENSG00000000457	gene:ENSG00000000457:s:169870255-169870357	-0.0686;0.0686	5.950e-01;5.950e-01	1.548e-01;1.548e-01	0.1340;0.8660	0.0457;0.9543	s|1e1.1o2|1e1.2o2	2	2	0;0	1	-	169869128-169870255;169869039-169870255	169868928-169869128;169870255-169870357	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169870357-169868928
SCYL3	ENSG00000000457	gene:ENSG00000000457:t:169862562-169862797	-0.0068;0.0710;-0.0578	1.346e-01;5.963e-01;5.150e-01	6.807e-01;1.353e-01;1.904e-01	0.0764;0.5430;0.3749	0.0634;0.6365;0.3005	t|1e2.1o1|1e3.1o1|2e1.1o1	3	4	1;0;1	1	-	169862797-169866896;169862797-169864369;169862761-169871399	169862562-169862797;169864369-169864508;169866896-169866973;169871399-na	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169871409-169862562
FIRRM	ENSG00000000460	gene:ENSG00000000460:s:169806004-169806088	0.0521;-0.0521	4.731e-01;4.731e-01	2.072e-01;2.072e-01	0.7636;0.2364	0.8420;0.1580	s|1e1.1o1|1e2.1o1	2	3	0;0	1	+	169806088-169807791;169806088-169821679	169806004-169806088;169807791-169807929;169821679-169821759	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169821759-169806004
FIRRM	ENSG00000000460	gene:ENSG00000000460:t:169821679-169821759	-0.0183;0.0558;-0.0325	2.683e-01;4.752e-01;3.456e-01	4.536e-01;1.769e-01;3.240e-01	0.1976;0.5924;0.2114	0.1671;0.6723;0.1593	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	1	+	169806088-169821679;169807929-169821679;169821431-169821679	na-169821431;169806004-169806088;169807791-169807929;169821679-169821759	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169821759-169806004
NFYA	ENSG00000001167	gene:ENSG00000001167:s:41079029-41079164	0.0955;0.0479;-0.1570	8.397e-01;4.815e-01;9.818e-01	6.565e-02;3.399e-01;4.620e-03	0.2822;0.1365;0.5890	0.3834;0.1899;0.4220	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;1;0	6	+	41079164-41080811;41079164-41080814;41079164-41084046	41079029-41079164;41080811-41080897;41084046-41084192	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=6%3A41084192-41079029
NFYA	ENSG00000001167	gene:ENSG00000001167:t:41084046-41084192	-0.1410;0.0033;0.1261	9.603e-01;3.459e-02;9.333e-01	1.176e-02;9.025e-01;2.255e-02	0.6248;0.0274;0.3497	0.4788;0.0430;0.4824	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;1;0	6	+	41079164-41084046;41080894-41084046;41080897-41084046	41079029-41079164;41080811-41080897;41084046-41084192	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=6%3A41084192-41079029
STPG1	ENSG00000001460	gene:ENSG00000001460:t:24383867-24384003	0.0710;-0.0710	5.465e-01;5.465e-01	1.186e-01;1.186e-01	0.3891;0.6109	0.4908;0.5092	t|1e1.1o1|1e2.1o1	2	3	0;0	1	-	24384003-24401319;24384003-24391561	24383867-24384003;24391203-24391679;24401079-24401456	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A24401456-24383867
NIPAL3	ENSG00000001461	gene:ENSG00000001461:s:24464026-24464120	0.0152;0.0610;-0.0679	3.240e-01;5.699e-01;5.551e-01	3.358e-01;1.942e-01;1.369e-01	0.4119;0.0338;0.5507	0.4429;0.1153;0.4438	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;0;0	1	+	24464120-24465296;24464120-24466004;24464120-24468986	24464026-24464120;24465296-24465327;24466004-24466378;24468986-24475252	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A24475252-24464026
