ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
97	ENSG00000075702	WDR62	chr19	+	36084652	36084744	36086686	36086812	36081432	36081570	36089037	36089105	97	0,1,0	75,111,71	6,4,3	63,66,57	241	275	7.38425141973e-05	0.02091005744	0.0,0.01,0.0	0.098,0.065,0.057	-0.07
102	ENSG00000075702	WDR62	chr19	+	36092688	36092811	36094030	36094164	36090444	36090520	36097026	36097079	102	6,18,9	74,130,82	4,5,1	106,99,86	272	283	0.00017916330551	0.0337642516301	0.078,0.126,0.102	0.038,0.05,0.012	0.069
228	ENSG00000184497	TMEM255B	chr13	+	113769097	113769160	113795147	113795237	113759225	113759315	113799338	113799419	228	10,2,1	69,22,27	0,2,0	52,42,50	212	239	8.25103488188e-05	0.0222793044876	0.14,0.093,0.04	0.0,0.051,0.0	0.074
354	ENSG00000291214	NA	chr17	+	68102942	68103058	68114421	68114525	68101877	68101959	68125389	68125480	354	166,172,83	426,469,329	159,149,184	314,342,289	265	253	0.000281776596814	0.0439990130545	0.271,0.259,0.194	0.326,0.294,0.378	-0.091
787	ENSG00000162601	MYSM1	chr1	-	58668983	58669038	58671869	58671958	58668429	58668566	58673572	58673650	787	191,139,120	3,4,3	131,127,148	11,6,14	238	204	0.000171225099959	0.0328343654841	0.982,0.968,0.972	0.911,0.948,0.901	0.054
1001	ENSG00000002016	RAD52	chr12	-	926795	926946	927144	927263	925449	925525	930050	930144	1001	60,65,57	6,6,3	39,40,42	10,15,17	268	300	2.06394570879e-06	0.00230050532969	0.918,0.924,0.955	0.814,0.749,0.734	0.167
1078	ENSG00000226965	NA	chr7	-	110432810	110432906	110511059	110511114	110180977	110181010	110525455	110525561	1078	2,14,6	0,3,8	10,3,9	0,0,0	204	245	1.85889622116e-05	0.00883412141555	1.0,0.849,0.474	1.0,1.0,1.0	-0.226
1176	ENSG00000272970	NA	chr3	+	184715030	184716174	184727399	184727580	184712183	184712418	184734034	184734100	1176	122,72,80	7,3,7	64,119,96	0,2,0	1293	330	2.50433352034e-06	0.00253457102877	0.816,0.86,0.745	1.0,0.938,1.0	-0.172
1321	ENSG00000173295	FAM86B3P	chr8	+	8230842	8230905	8232793	8232874	8228604	8228700	8234482	8234584	1321	0,0,0	8,8,3	5,2,0	11,7,3	212	230	0.00015998921462	0.0315618419285	0.0,0.0,0.0	0.33,0.237,0.0	-0.189
1377	ENSG00000224897	POT1-AS1	chr7	+	125431348	125431593	125438091	125438297	125403503	125403664	125461480	125461650	1377	1,2,9	0,1,0	1,1,0	0,5,4	394	355	3.43595777053e-07	0.000695488755833	1.0,0.643,1.0	1.0,0.153,0.0	0.497
1485	ENSG00000114062	UBE3A	chr15	-	25415709	25415842	25420655	25420752	25411907	25411971	25438488	25438986	1485	3,1,1	20,16,7	5,6,8	17,5,7	246	282	0.000337204500485	0.0496735858774	0.147,0.067,0.141	0.252,0.579,0.567	-0.348
1752	ENSG00000197415	VEPH1	chr3	-	157489054	157489160	157493186	157493293	157470418	157470529	157495211	157495506	1752	3,15,12	17,14,10	1,2,0	5,13,12	256	255	6.31613515818e-05	0.020069152248	0.15,0.516,0.544	0.166,0.133,0.0	0.304
1792	ENSG00000196233	LCOR	chr10	+	96858291	96858416	96884402	96884708	96833776	96833841	96907264	96907330	1792	14,7,12	8,9,5	4,17,16	1,1,1	274	455	5.59621164242e-06	0.00443252403886	0.744,0.564,0.799	0.869,0.966,0.964	-0.231
2076	ENSG00000101236	RNF24	chr20	-	3948236	3948279	3963874	3964024	3945176	3945218	4015144	4015389	2076	2,2,4	131,79,76	9,6,17	63,78,83	299	192	2.43205718364e-06	0.00250786394718	0.01,0.016,0.033	0.084,0.047,0.116	-0.063
2204	ENSG00000229956	ZRANB2-DT	chr1	+	71223056	71223114	71237129	71237386	71091663	71091704	71368054	71368088	2204	1,0,0	7,5,14	1,3,2	5,2,7	207	406	1.80366329228e-05	0.00872334568581	0.219,0.0,0.0	0.282,0.746,0.359	-0.389
2376	ENSG00000197912	SPG7	chr16	+	89550493	89550609	89552978	89553163	89532462	89532636	89553793	89553960	2376	1,0,2	7,10,16	11,5,4	18,6,4	265	334	7.70960999663e-06	0.00531465208746	0.153,0.0,0.136	0.435,0.512,0.558	-0.405
2533	ENSG00000183023	SLC8A1	chr2	-	40177751	40177855	40178386	40178493	40174824	40174842	40428472	40430304	2533	67,126,78	94,130,76	36,70,65	149,117,129	256	253	0.000180935717467	0.0339810956392	0.413,0.489,0.504	0.193,0.372,0.332	0.17
2710	ENSG00000206149	HERC2P9	chr15	+	28612058	28612173	28629265	28629441	28590188	28590260	28632636	28632807	2710	29,23,26	44,45,47	23,28,38	21,19,17	264	325	6.88047162087e-05	0.0203736319635	0.448,0.386,0.405	0.574,0.645,0.733	-0.238
2917	ENSG00000148396	SEC16A	chr9	-	136445051	136445111	136445644	136445719	136443822	136443900	136446854	136446949	2917	533,541,387	30,60,50	420,510,359	71,83,58	224	209	0.000119340810499	0.0275184210048	0.943,0.894,0.878	0.847,0.851,0.852	0.055
3306	ENSG00000127022	CANX	chr5	+	179707131	179707190	179708238	179708380	179705678	179705852	179716104	179716294	3306	1,3,2	6,12,3	8,2,3	0,2,0	208	291	4.77759382389e-07	0.000842274379559	0.189,0.259,0.483	1.0,0.583,1.0	-0.551
3600	ENSG00000054282	SDCCAG8	chr1	+	243426426	243426558	243489013	243489140	243256040	243256240	243499755	243500091	3600	8,15,1	50,64,42	0,5,0	73,80,76	281	276	3.28854127962e-06	0.00310787527489	0.136,0.187,0.023	0.0,0.058,0.0	0.096
3650	ENSG00000158458	NRG2	chr5	-	139865114	139865173	139865548	139865625	139855675	139855778	139871720	139871841	3650	6,0,0	0,4,2	0,7,4	1,0,0	226	208	0.000252836658982	0.0410256591226	1.0,0.0,0.0	0.0,1.0,1.0	-0.333
4049	ENSG00000290476	SUGT1P3	chr13	-	40836596	40836688	40855754	40855815	40826191	40826594	40908158	40908212	4049	0,0,1	13,10,9	4,2,1	3,4,8	210	241	6.66689054677e-05	0.0203736319635	0.0,0.0,0.113	0.605,0.365,0.125	-0.327
4360	ENSG00000235437	LINC01278	chrX	-	63314996	63315107	63343205	63343289	63259667	63259817	63399780	63399903	4360	3,0,3	0,2,0	0,0,1	1,2,0	233	260	0.000222121203088	0.0382945362497	1.0,0.0,1.0	0.0,0.0,1.0	0.333
4500	ENSG00000196935	SRGAP1	chr12	+	64086998	64087026	64091275	64091378	64080285	64080370	64094931	64094992	4500	38,45,45	15,5,10	57,53,33	54,31,36	177	252	1.18140968031e-06	0.0015372952821	0.783,0.928,0.865	0.6,0.709,0.566	0.234
