	gene_id	A5_con1-A5_con2_dPSI	A5_con1-A5_con2_p-val
SNX11	ENSG00000002919	ENSG00000002919;A5:17:48107838-48112031:48107596-48112031:+	-0.2943895061	0.030969031
SPPL2B	ENSG00000005206	ENSG00000005206;A5:19:2351657-2352946:2351594-2352946:+	-0.1010140743	0.02997003
ATOSB	ENSG00000005238	ENSG00000005238;A5:9:35108737-35115671:35108737-35115805:-	0.0501081199	0.045954046
CRLF1	ENSG00000006016	ENSG00000006016;A5:19:18594434-18596622:18594434-18596664:-	-0.0531023505	0.04995005
CRAMP1	ENSG00000007545	ENSG00000007545;A5:16:1612657-1614639:1612422-1614639:+	0.1392622259	0.0214785215
MAP4K5	ENSG00000012983	ENSG00000012983;A5:14:50532158-50532400:50532158-50532448:-	-0.0506824413	0.036963037
ATP2C1	ENSG00000017260	ENSG00000017260;A5:3:131001344-131016152:131001314-131016152:+	-0.0804704651	0.038961039
TRIT1	ENSG00000043514	ENSG00000043514;A5:1:39848097-39850119:39848097-39850123:-	0.0674816062	0.0424575425
RCN1	ENSG00000049449	ENSG00000049449;A5:11:32103202-32103281:32103158-32103281:+	-0.2856968092	0.0474525475
CNN2	ENSG00000064666	ENSG00000064666;A5:19:1032669-1036130:1032663-1036130:+	0.3278976789	0.026973027
CDC42	ENSG00000070831	ENSG00000070831;A5:1:22086866-22091428:22086838-22091428:+	0.0735615233	0.0194805195
REXO2	ENSG00000076043	ENSG00000076043;A5:11:114444652-114445979:114444194-114445979:+	-0.169755673	0.048951049
RGS11	ENSG00000076344	ENSG00000076344;A5:16:275498-275838:275498-275849:-	-0.3691034044	0.025974026
NFE2L1	ENSG00000082641	ENSG00000082641;A5:17:48055150-48056386:48054761-48056386:+	0.2331126061	0.0174825175
PSMC5	ENSG00000087191	ENSG00000087191;A5:17:63827923-63828119:63827514-63828119:+	0.2092660331	0.046953047
ERGIC2	ENSG00000087502	ENSG00000087502;A5:12:29341816-29343120:29341816-29343163:-	-0.0793000778	0.046953047
RPL6	ENSG00000089009	ENSG00000089009;A5:12:112408656-112409411:112408656-112409493:-	0.1581891484	0.0
EXOC1	ENSG00000090989	ENSG00000090989;A5:4:55853953-55858314:55853797-55858314:+	0.0590195093	0.0434565435
RAB18	ENSG00000099246	ENSG00000099246;A5:10:27533994-27537876:27533853-27537876:+	0.1683995304	0.0034965035
JOSD1	ENSG00000100221	ENSG00000100221;A5:22:38700618-38700800:38700618-38700904:-	-0.1213539223	0.0314685315
CDKL1	ENSG00000100490	ENSG00000100490;A5:14:50396329-50396743:50396329-50396824:-	0.623396584	0.0054945055
GALNT16	ENSG00000100626	ENSG00000100626;A5:14:69259797-69260178:69259746-69260178:+	0.2997953128	0.0104895105
IFT52	ENSG00000101052	ENSG00000101052;A5:20:43591054-43594693:43591029-43594693:+	0.0513988869	0.0244755245
ANTKMT	ENSG00000103254	ENSG00000103254;A5:16:722083-722309:721941-722309:+	-0.1790278748	0.016983017
SALL1	ENSG00000103449	ENSG00000103449;A5:16:51151258-51152186:51151258-51152298:-	0.3332375656	0.0084915085
FAH	ENSG00000103876	ENSG00000103876;A5:15:80152905-80153026:80152841-80153026:+	0.1652401629	0.0494505495
FAH	ENSG00000103876	ENSG00000103876;A5:15:80160523-80162246:80160459-80162246:+	-0.1142876449	0.0494505495
RPAP1	ENSG00000103932	ENSG00000103932;A5:15:41537201-41543913:41537201-41544187:-	-0.6294194472	0.005994006
RPAP1	ENSG00000103932	ENSG00000103932;A5:15:41537201-41544187:41537201-41544219:-	0.1362556714	0.0104895105
BNIP3L	ENSG00000104765	ENSG00000104765;A5:8:26383496-26391243:26383478-26391243:+	0.2951669026	0.0014985015
LMBR1	ENSG00000105983	ENSG00000105983;A5:7:156826744-156833739:156826744-156833753:-	0.081379532	0.037962038
PTPRZ1	ENSG00000106278	ENSG00000106278;A5:7:122013889-122019124:122011309-122019124:+	0.0920636054	0.002997003
RPA3	ENSG00000106399	ENSG00000106399;A5:7:7639144-7640320:7639144-7640723:-	-0.2791639594	0.001998002
TMEM106B	ENSG00000106460	ENSG00000106460;A5:7:12211547-12214809:12211425-12214809:+	-0.116284584	0.022977023
FBXW4	ENSG00000107829	ENSG00000107829;A5:10:101676436-101694381:101676436-101695240:-	0.5554085206	0.004995005
ARHGAP21	ENSG00000107863	ENSG00000107863;A5:10:24589302-24590206:24589302-24590454:-	0.1950178175	0.028971029
DDX5	ENSG00000108654	ENSG00000108654;A5:17:64504842-64506076:64504842-64506514:-	-0.1713286508	0.0
UBE2D3	ENSG00000109332	ENSG00000109332;A5:4:102809855-102825722:102809855-102825738:-	-0.3386797794	0.047952048
UBE2D3	ENSG00000109332	ENSG00000109332;A5:4:102826636-102827592:102826636-102827735:-	-0.097232544	0.015984016
ANAPC15	ENSG00000110200	ENSG00000110200;A5:11:72111496-72111924:72111496-72112216:-	0.2369216171	0.034965035
ANAPC15	ENSG00000110200	ENSG00000110200;A5:11:72111496-72112216:72111496-72112274:-	-0.325246881	0.034965035
CHKA	ENSG00000110721	ENSG00000110721;A5:11:68054047-68061493:68054047-68061600:-	-0.2251935755	0.0374625375
