ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
24	ENSG00000133460	SLC2A11	chr22	+	23882758	23884024	23882758	23882869	23883948	23884024	24	161,177,133	0,0,1	150,132,120	1,9,0	1228	149	0.000186042658514	0.0127178225986	1.0,1.0,0.942	0.948,0.64,1.0	0.118
41	ENSG00000075702	WDR62	chr19	+	36102947	36103981	36102947	36103074	36103342	36103981	41	21,18,11	0,0,0	13,7,15	5,2,0	417	149	3.49928481491e-05	0.00420888662168	1.0,1.0,1.0	0.482,0.556,1.0	0.321
66	ENSG00000099797	TECR	chr19	+	14564785	14565123	14564785	14564858	14565065	14565123	66	93,105,68	13,9,11	85,85,95	35,27,26	356	149	3.11273556409e-05	0.00389173859605	0.75,0.83,0.721	0.504,0.569,0.605	0.208
83	ENSG00000136003	ISCU	chr12	+	108564059	108564392	108564059	108564155	108564278	108564392	83	204,209,150	28,25,25	231,174,133	60,48,36	272	149	0.000102950121909	0.00903066126434	0.8,0.821,0.767	0.678,0.665,0.669	0.125
130	ENSG00000172575	RASGRP1	chr15	-	38516196	38518423	38516196	38516350	38518291	38518423	130	43,35,36	30,16,5	23,15,27	14,45,16	2090	149	0.0013220098576	0.0393561554507	0.093,0.135,0.339	0.105,0.023,0.107	0.111
149	ENSG00000103811	CTSH	chr15	-	78931450	78932458	78931450	78932041	78932371	78932458	149	13,2,0	2,2,1	11,3,9	1,1,0	479	149	0.000501079593831	0.0219528949871	0.669,0.237,0.0	0.774,0.483,1.0	-0.45
179	ENSG00000207751	NA	chr22	+	21657780	21658340	21657780	21657969	21658265	21658340	179	66,73,89	1,12,3	100,66,42	2,0,1	445	149	0.000735973121166	0.0272109595226	0.957,0.671,0.909	0.944,1.0,0.934	-0.114
180	ENSG00000207751	NA	chr22	+	21657780	21658340	21657780	21657972	21658265	21658340	180	65,72,89	9,11,4	98,62,41	4,0,1	442	149	0.000274267717507	0.0156500485823	0.709,0.688,0.882	0.892,1.0,0.933	-0.182
440	ENSG00000130714	POMT1	chr9	+	131506402	131509022	131506402	131506453	131507367	131509022	440	306,294,246	266,335,211	157,149,195	337,268,274	1063	149	3.10317201935e-08	3.27626005865e-05	0.139,0.11,0.14	0.061,0.072,0.091	0.055
443	ENSG00000130714	POMT1	chr9	+	131509742	131510415	131509742	131509808	131509902	131510415	443	70,58,53	227,266,174	42,43,28	281,211,219	243	149	0.000405770916286	0.0201865719715	0.159,0.118,0.157	0.084,0.111,0.073	0.055
535	ENSG00000162004	CCDC78	chr16	-	724321	724806	724321	724509	724680	724806	535	43,46,26	8,0,11	33,34,28	0,2,1	320	149	0.000911611744993	0.0310470781395	0.715,1.0,0.524	1.0,0.888,0.929	-0.193
619	ENSG00000115295	CLIP4	chr2	+	29174372	29175600	29174372	29174445	29174904	29175600	619	130,91,67	2,0,3	72,108,84	9,12,14	608	149	7.97955027609e-08	6.31847389362e-05	0.941,1.0,0.846	0.662,0.688,0.595	0.281
