	gene_id	A3_con1-A3_con2_dPSI	A3_con1-A3_con2_p-val
PLEKHO1	ENSG00000023902	ENSG00000023902;A3:1:150157015-150157372:150157015-150157385:+	0.1254928515	0.0364635365
SYT1	ENSG00000067715	ENSG00000067715;A3:12:79285971-79292008:79285971-79292017:+	-0.0776343649	0.023976024
RAP1GAP	ENSG00000076864	ENSG00000076864;A3:1:21598095-21598400:21598040-21598400:-	-0.1723536058	0.0482850483
RAP1GAP	ENSG00000076864	ENSG00000076864;A3:1:21598095-21598400:21598064-21598400:-	-0.0817977393	0.0482850483
RAP1GAP	ENSG00000076864	ENSG00000076864;A3:1:21603912-21606066:21602913-21606066:-	-0.1200164085	0.0482850483
MAP2	ENSG00000078018	ENSG00000078018;A3:2:209680827-209692625:209680827-209692637:+	-0.0536890648	0.0494505495
NFE2L1	ENSG00000082641	ENSG00000082641;A3:17:48054761-48056386:48054761-48056419:+	-0.2898303736	0.026973027
DNM1L	ENSG00000087470	ENSG00000087470;A3:12:32701562-32705825:32701562-32707367:+	0.1807996749	0.042957043
DNM1L	ENSG00000087470	ENSG00000087470;A3:12:32737161-32737865:32737161-32738264:+	0.356922923	0.042957043
EPB41L1	ENSG00000088367	ENSG00000088367;A3:20:36212376-36214357:36212376-36214360:+	-0.0879338556	0.0394605395
SORBS1	ENSG00000095637	ENSG00000095637;A3:10:95322153-95339133:95322021-95339133:-	0.1483147509	0.041958042
ITPK1	ENSG00000100605	ENSG00000100605;A3:14:93115217-93115772:93115184-93115772:-	0.1466008939	0.04995005
IDH3B	ENSG00000101365	ENSG00000101365;A3:20:2658837-2659525:2658522-2659525:-	0.1779869652	0.015984016
RBM3	ENSG00000102317	ENSG00000102317;A3:X:48575283-48575561:48575283-48576314:+	0.2868314119	0.047952048
METRN	ENSG00000103260	ENSG00000103260;A3:16:715393-715584:715393-715876:+	-0.0625350288	0.0434565435
CTSH	ENSG00000103811	ENSG00000103811;A3:15:78939171-78944891:78939166-78944891:-	0.2327416333	0.047952048
DNM1	ENSG00000106976	ENSG00000106976;A3:9:128250940-128253101:128250940-128254009:+	0.2861493194	0.031968032
DNM1	ENSG00000106976	ENSG00000106976;A3:9:128250940-128254009:128250940-128254650:+	-0.2805729912	0.031968032
DNM1	ENSG00000106976	ENSG00000106976;A3:9:128250940-128254009:128250940-128254654:+	-0.2671963223	0.031968032
ZFAND5	ENSG00000107372	ENSG00000107372;A3:9:72360787-72363470:72360784-72363470:-	0.0973114076	0.0274725275
APC2	ENSG00000115266	ENSG00000115266;A3:19:1455257-1455384:1455257-1455387:+	-0.0600112068	0.045954046
TUBA4A	ENSG00000127824	ENSG00000127824;A3:2:219252230-219253856:219251713-219253856:-	0.1936763127	0.020979021
SNRPN	ENSG00000128739	ENSG00000128739;A3:15:24968082-24974288:24968082-24974398:+	-0.181710525	0.0254745255
SNRPN	ENSG00000128739	ENSG00000128739;A3:15:24968082-24974311:24968082-24974398:+	-0.0898393126	0.042957043
SNRPN	ENSG00000128739	ENSG00000128739;A3:15:24968082-24974387:24968082-24974398:+	-0.2399834729	0.014985015
ARPP19	ENSG00000128989	ENSG00000128989;A3:15:52568902-52569116:52568900-52569116:-	-0.1643608876	0.01998002
DDA1	ENSG00000130311	ENSG00000130311;A3:19:17319725-17320251:17319725-17320330:+	-0.1192752564	0.0454545455
ISG20L2	ENSG00000143319	ENSG00000143319;A3:1:156727808-156728415:156727769-156728415:-	0.3286580141	0.0164835165
IQSEC1	ENSG00000144711	ENSG00000144711;A3:3:12901522-12902773:12899434-12902773:-	-0.1236924135	0.0144855145
TACC1	ENSG00000147526	ENSG00000147526;A3:8:38840267-38842287:38840267-38842290:+	-0.1422778536	0.027972028
DLG2	ENSG00000150672	ENSG00000150672;A3:11:83480649-83483253:83480413-83483253:-	0.291878821	0.030969031
NDUFC2	ENSG00000151366	ENSG00000151366;A3:11:78073141-78079579:78073072-78079579:-	0.0700105545	0.0434565435
UCHL1	ENSG00000154277	ENSG00000154277;A3:4:41261923-41263225:41261923-41263229:+	-0.1038485003	0.0194805195
CALM3	ENSG00000160014	ENSG00000160014;A3:19:46601437-46605827:46601437-46608197:+	-0.3595033919	0.021978022
VPS28	ENSG00000160948	ENSG00000160948;A3:8:144427291-144428489:144426979-144428489:-	-0.1844798626	0.020979021
ABLIM2	ENSG00000163995	ENSG00000163995;A3:4:8008200-8009050:8008197-8009050:-	0.0722829059	0.0494505495
UQCRQ	ENSG00000164405	ENSG00000164405;A3:5:132866687-132866869:132866687-132867488:+	0.1989524704	0.0444555445
GPRC5B	ENSG00000167191	ENSG00000167191;A3:16:19860544-19861837:19858545-19861837:-	-0.1363231901	0.0244755245
RPSA	ENSG00000168028	ENSG00000168028;A3:3:39406764-39407603:39406764-39407621:+	0.2527767454	0.011988012
NSG1	ENSG00000168824	ENSG00000168824;A3:4:4385555-4385857:4385555-4387119:+	-0.1548154381	0.035964036
VSTM2A	ENSG00000170419	ENSG00000170419;A3:7:54550170-54569009:54550170-54569131:+	-0.091621311	0.044955045
RPL15	ENSG00000174748	ENSG00000174748;A3:3:23917173-23917837:23917173-23917947:+	0.1781240901	0.0404595405
RPL15	ENSG00000174748	ENSG00000174748;A3:3:23917173-23917947:23917173-23917973:+	-0.1391926485	0.0404595405
PPP2R2D	ENSG00000175470	ENSG00000175470;A3:10:131940694-131943968:131940694-131944095:+	0.1237617877	0.0444555445
TOM1L2	ENSG00000175662	ENSG00000175662;A3:17:17907531-17972262:17907526-17972262:-	0.0697336112	0.048951049
ANXA2R-OT1	ENSG00000177738	ENSG00000177738;A3:5:42974836-42975907:42974755-42975907:-	-0.3508015274	0.040959041
NRXN1	ENSG00000179915	ENSG00000179915;A3:2:50925955-51027502:50925952-51027502:-	-0.0780253356	0.038961039
HIGD1A	ENSG00000181061	ENSG00000181061;A3:3:42785336-42786028:42785320-42786028:-	-0.0792729	0.0464535465
HIGD1A	ENSG00000181061	ENSG00000181061;A3:3:42794299-42804436:42794275-42804436:-	0.1157220162	0.036963037
WASHC1	ENSG00000181404	ENSG00000181404;A3:9:18492-24851:18479-24851:-	-0.2352901838	0.038961039
TSPYL2	ENSG00000184205	ENSG00000184205;A3:X:53083305-53084532:53083305-53084545:+	0.0700911045	0.046953047
TMT1A	ENSG00000185432	ENSG00000185432;A3:12:50924080-50924667:50924080-50925037:+	-0.3418390516	0.0234765235
ZNF471	ENSG00000196263	ENSG00000196263;A3:19:56518577-56524324:56518577-56524745:+	-0.1226569166	0.04995005
ZNF587	ENSG00000198466	ENSG00000198466;A3:19:57850071-57856104:57850071-57856107:+	-0.1397142776	0.042957043
PFDN6	ENSG00000204220	ENSG00000204220;A3:6:33289628-33289770:33289628-33289775:+	0.1625960261	0.0304695305
LINC01645	ENSG00000224968	ENSG00000224968;A3:1:177357065-177363434:177357065-177363439:+	0.2588028879	0.040959041
TSPAN14-AS1	ENSG00000226659	ENSG00000226659;A3:10:80528262-80529519:80527992-80529519:-	0.3723132936	0.018981019
CDC42EP3-AS1	ENSG00000236213	ENSG00000236213;A3:2:37600362-37605236:37600362-37605241:+	0.2023809524	0.0304695305
LINC00504	ENSG00000248360	ENSG00000248360;A3:4:14477458-14572147:14477406-14572147:-	-0.0972700524	0.0334665335
MAD2L1-DT	ENSG00000250938	ENSG00000250938;A3:4:120067601-120071579:120067601-120071599:+	0.2757686619	0.0424575425
MALAT1	ENSG00000251562	ENSG00000251562;A3:11:65502393-65503117:65502393-65504133:+	-0.4539577257	0.008991009
STAG3L5P-PVRIG2P-PILRB	ENSG00000272752	ENSG00000272752;A3:7:100345968-100349717:100345968-100349799:+	-0.2902419707	0.034965035
STAG3L5P-PVRIG2P-PILRB	ENSG00000272752	ENSG00000272752;A3:7:100345968-100349731:100345968-100349799:+	-0.1636928068	0.0387112887
FAM157D	ENSG00000282572	ENSG00000282572;A3:7:26402-31060:26398-31060:-	-0.3376458247	0.0294705295
	ENSG00000286456	ENSG00000286456;A3:7:64574848-64577063:64574848-64577263:+	-0.2926225333	0.0294705295
ROCK1P1	ENSG00000290877	ENSG00000290877;A3:18:116920-117043:116920-118297:+	-0.241692982	0.02997003
	ENSG00000290957	ENSG00000290957;A3:11:17031148-17052032:17031148-17052101:+	-0.4664362553	0.011988012
	ENSG00000297343	ENSG00000297343;A3:X:48675995-48676281:48675908-48676281:-	0.2412170193	0.0434565435
	ENSG00000305782	ENSG00000305782;A3:1:68367851-68384202:68367690-68384202:-	0.2881928637	0.048951049
	ENSG00000308212	ENSG00000308212;A3:15:31801003-31803358:31800964-31803358:-	-0.2343710111	0.0304695305
	ENSG00000309556	ENSG00000309556;A3:10:6130178-6130429:6130178-6130466:+	0.257297168	0.025974026
	ENSG00000309620	ENSG00000309620;A3:9:89181766-89288487:89181750-89288487:-	-0.2819088338	0.04995005
