	gene_id	RI_con1-RI_con2_dPSI	RI_con1-RI_con2_p-val
CLK1	ENSG00000013441	ENSG00000013441;RI:2:200859680:200859746-200861238:200861466:-	0.0810326008	0.00999001
TCF3	ENSG00000071564	ENSG00000071564;RI:19:1609292:1611369-1611704:1611849:-	0.0899519451	0.003996004
EPB41L2	ENSG00000079819	ENSG00000079819;RI:6:130869852:130869944-130870039:130870126:-	0.3212612465	0.0114885115
OSTM1	ENSG00000081087	ENSG00000081087;RI:6:108041409:108042264-108042567:108044840:-	-0.0719569949	0.0324675325
ZNF264	ENSG00000083844	ENSG00000083844;RI:19:57191501:57191527-57191699:57191946:+	-0.2672634379	0.02997003
FUS	ENSG00000089280	ENSG00000089280;RI:16:31184939:31185179-31188325:31188357:+	0.0629004883	0.015984016
COCH	ENSG00000100473	ENSG00000100473;RI:14:30874559:30874591-30874916:30874972:+	0.1437223504	0.0244755245
MAGED2	ENSG00000102316	ENSG00000102316;RI:X:54815248:54815690-54815881:54816007:+	-0.1026264242	0.005994006
NAT9	ENSG00000109065	ENSG00000109065;RI:17:74771960:74771977-74772218:74772277:-	0.4294413293	0.023976024
MDK	ENSG00000110492	ENSG00000110492;RI:11:46381711:46381885-46382057:46382133:+	-0.0703000742	0.030969031
RND3	ENSG00000115963	ENSG00000115963;RI:2:150487268:150487455-150487549:150487667:-	-0.0975468614	0.0014985015
MYCL	ENSG00000116990	ENSG00000116990;RI:1:39900939:39901443-39901808:39901917:-	0.1253811764	0.0254745255
STAMBP	ENSG00000124356	ENSG00000124356;RI:2:73828983:73829070-73829405:73829510:+	-0.440529481	0.026973027
SNRPA1	ENSG00000131876	ENSG00000131876;RI:15:101285726:101285801-101286908:101287010:-	0.071799345	0.046953047
KHDC4	ENSG00000132680	ENSG00000132680;RI:1:155913045:155914320-155915873:155915964:-	0.0720130979	0.010989011
HSPBP1	ENSG00000133265	ENSG00000133265;RI:19:55279399:55279702-55279807:55279856:-	-0.0737996878	0.024975025
C2orf49	ENSG00000135974	ENSG00000135974;RI:2:105342848:105342974-105343101:105343223:+	0.0984388874	0.0164835165
ZDHHC4	ENSG00000136247	ENSG00000136247;RI:7:6577434:6577498-6577590:6577720:+	0.0595363025	0.0334665335
RPS24	ENSG00000138326	ENSG00000138326;RI:10:78037439:78037441-78040204:78040225:+	-0.0693333611	0.042957043
ULK3	ENSG00000140474	ENSG00000140474;RI:15:74840234:74840316-74840498:74840641:-	0.0994373628	0.047952048
RPS2	ENSG00000140988	ENSG00000140988;RI:16:1962497:1962909-1963149:1963256:-	-0.0652045619	0.041958042
ABL2	ENSG00000143322	ENSG00000143322;RI:1:179099330:179108898-179109208:179109441:-	0.1203488275	0.026973027
HNRNPLL	ENSG00000143889	ENSG00000143889;RI:2:38602438:38602600-38602857:38603036:-	-0.258542679	0.030969031
EIF2A	ENSG00000144895	ENSG00000144895;RI:3:150567902:150567929-150568013:150568046:+	-0.0609233766	0.020979021
OGT	ENSG00000147162	ENSG00000147162;RI:X:71544567:71544635-71547907:71548023:+	0.0638339236	0.014985015
DNAJB12	ENSG00000148719	ENSG00000148719;RI:10:72332830:72334617-72335780:72335931:-	0.194553974	0.0074925075
SLC25A28	ENSG00000155287	ENSG00000155287;RI:10:99612543:99612599-99613696:99613924:-	-0.0775912353	0.03996004
FHIP2B	ENSG00000158863	ENSG00000158863;RI:8:22101708:22101851-22102175:22102315:+	0.0596807277	0.0484515485
MED8	ENSG00000159479	ENSG00000159479;RI:1:43383917:43384552-43385046:43385106:-	-0.0504197616	0.031968032
C19orf47	ENSG00000160392	ENSG00000160392;RI:19:40321063:40321118-40322044:40322376:-	-0.1223092949	0.024975025
PSMC2	ENSG00000161057	ENSG00000161057;RI:7:103361957:103362088-103362695:103362758:+	0.1395553731	0.015984016
NXF1	ENSG00000162231	ENSG00000162231;RI:11:62798539:62798575-62800377:62800486:-	0.0533659585	0.007992008
TRA2A	ENSG00000164548	ENSG00000164548;RI:7:23521707:23521840-23522121:23522432:-	0.0678231505	0.0314685315
SUN1	ENSG00000164828	ENSG00000164828;RI:7:852609:852667-852813:852952:+	-0.1161306637	0.012987013
