ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15	ENSG00000116062	MSH6	chr2	+	47795893	47796073	47795893	47796063	47798614	47801155	15	2,3,12,8,3,12,15,12,8,7,9	1,0,0,0,1,3,2,0,3,0,0	3,5,13,10,3,3,9,16,1	4,0,0,0,9,0,9,2,0	110	100	0.00029590985534	0.00810495232708	0.645,1.0,1.0,1.0,0.732,0.784,0.872,1.0,0.708,1.0,1.0	0.405,1.0,1.0,1.0,0.233,1.0,0.476,0.879,1.0	0.109
315	ENSG00000134897	BIVM	chr13	+	102816427	102817128	102816427	102816554	102821036	102821132	315	50,30,18,74,67,13,46,48,50,49,59	39,29,26,50,64,34,23,87,84,92,103	59,48,38,9,47,29,58,30,18	28,27,46,18,21,46,43,15,11	674	100	0.000604750813315	0.0141596225376	0.16,0.133,0.093,0.18,0.134,0.054,0.229,0.076,0.081,0.073,0.078	0.238,0.209,0.109,0.069,0.249,0.086,0.167,0.229,0.195	-0.055
319	ENSG00000135913	USP37	chr2	-	218562672	218562813	218562717	218562813	218560819	218560883	319	30,17,8,28,17,11,15,16,27,39,32	2,4,0,2,6,3,7,0,0,0,1	36,11,34,22,7,18,25,19,5	0,2,1,0,0,3,0,4,0	145	100	0.000397752072457	0.0101894722091	0.912,0.746,1.0,0.906,0.661,0.717,0.596,1.0,1.0,1.0,0.957	1.0,0.791,0.959,1.0,1.0,0.805,1.0,0.766,1.0	-0.061
433	ENSG00000169490	TM2D2	chr8	-	38996212	38996509	38996418	38996509	38995317	38995405	433	48,40,5,97,87,25,10,87,110,31,18	3,1,0,3,3,4,0,4,4,0,0	72,88,20,22,28,39,63,38,19	0,0,0,0,0,0,2,0,0	306	100	1.59511908192e-05	0.000811851208831	0.839,0.929,1.0,0.914,0.905,0.671,1.0,0.877,0.9,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.911,1.0,1.0	-0.078
470	ENSG00000130714	POMT1	chr9	+	131504188	131504649	131504188	131504340	131506113	131506220	470	74,70,31,128,69,27,52,55,61,22,66	64,14,39,36,55,7,46,61,70,51,55	20,78,112,58,76,75,57,31,12	87,75,81,115,82,111,124,59,18	409	100	7.18416210389e-05	0.00266272561382	0.22,0.55,0.163,0.465,0.235,0.485,0.217,0.181,0.176,0.095,0.227	0.053,0.203,0.253,0.11,0.185,0.142,0.101,0.114,0.14	0.129
521	ENSG00000151090	THRB	chr3	-	24494651	24494803	24494686	24494803	24337299	24337371	521	7,4,1,21,28,10,8,52,28,12,14	29,2,0,26,33,9,1,26,17,12,13	58,13,24,14,2,35,40,12,6	7,8,8,0,0,5,11,5,0	135	100	2.0247582893e-05	0.000979758038878	0.152,0.597,1.0,0.374,0.386,0.451,0.856,0.597,0.55,0.426,0.444	0.86,0.546,0.69,1.0,1.0,0.838,0.729,0.64,1.0	-0.281
578	ENSG00000221923	ZNF880	chr19	+	52374298	52374427	52374298	52374394	52374483	52374717	578	12,12,0,46,30,14,13,30,35,26,15	2,0,1,2,1,0,0,7,7,12,1	32,12,17,5,10,17,42,12,10	0,0,0,0,0,0,0,0,0	133	100	1.0515491485e-05	0.000587114941246	0.819,1.0,0.0,0.945,0.958,1.0,1.0,0.763,0.79,0.62,0.919	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.199
602	ENSG00000175470	PPP2R2D	chr10	+	131940581	131940841	131940581	131940694	131943967	131944145	602	7,4,6,19,14,3,3,14,14,13,9	29,11,8,35,41,21,22,52,44,46,52	13,4,3,17,17,16,13,13,18	37,25,20,14,20,8,52,6,21	247	100	0.00199262153374	0.0378946147574	0.089,0.128,0.233,0.18,0.121,0.055,0.052,0.098,0.114,0.103,0.065	0.125,0.061,0.057,0.33,0.256,0.447,0.092,0.467,0.258	-0.12
611	ENSG00000118785	SPP1	chr4	+	87980045	87980434	87980045	87980126	87981474	87981798	611	322,598,714,725,163,288,434,315,492,442,409	167,375,422,383,73,164,173,151,252,187,168	581,894,934,246,941,490,794,319,86	476,722,401,331,520,305,494,147,50	408	100	0.000783375726343	0.0176766906126	0.321,0.281,0.293,0.317,0.354,0.301,0.381,0.338,0.324,0.367,0.374	0.23,0.233,0.363,0.154,0.307,0.283,0.283,0.347,0.297	0.054
618	ENSG00000197912	SPG7	chr16	+	89540943	89542279	89540943	89541384	89544647	89544772	618	111,79,20,126,153,70,52,87,30,27,41	1,1,1,0,4,1,1,0,0,4,5	86,97,91,27,74,168,72,80,54	2,1,0,0,0,0,0,0,0	995	100	2.60012515155e-05	0.00119195210895	0.918,0.888,0.668,1.0,0.794,0.876,0.839,1.0,1.0,0.404,0.452	0.812,0.907,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.165
670	ENSG00000163629	PTPN13	chr4	+	86764592	86764739	86764592	86764724	86765394	86765488	670	32,21,15,43,31,38,18,56,40,25,12	74,59,34,110,94,93,37,107,119,44,40	16,26,20,19,0,41,41,15,15	97,86,51,64,56,106,100,75,49	115	100	0.0019183222914	0.0365614598645	0.273,0.236,0.277,0.254,0.223,0.262,0.297,0.313,0.226,0.331,0.207	0.125,0.208,0.254,0.205,0.0,0.252,0.263,0.148,0.21	0.079
689	ENSG00000108591	DRG2	chr17	+	18099016	18099093	18099016	18099077	18099632	18100435	689	6,0,0,2,2,1,0,1,1,2,0	67,18,15,69,57,29,11,40,53,38,10	3,6,6,3,8,3,5,6,0	57,33,21,9,21,22,21,21,19	116	100	2.97819435779e-10	9.81389338107e-08	0.072,0.0,0.0,0.024,0.029,0.029,0.0,0.021,0.016,0.043,0.0	0.043,0.136,0.198,0.223,0.247,0.105,0.17,0.198,0.0	-0.125
728	ENSG00000092148	HECTD1	chr14	-	31173524	31175138	31174910	31175138	31173155	31173426	728	151,80,87,272,178,81,115,253,214,197,160	0,0,0,2,0,0,0,0,1,0,1	135,152,176,73,88,119,192,102,76	5,2,0,4,0,8,0,0,5	1486	100	1.64301905414e-11	7.95038664531e-09	1.0,1.0,1.0,0.901,1.0,1.0,1.0,1.0,0.935,1.0,0.915	0.645,0.836,1.0,0.551,1.0,0.5,1.0,1.0,0.506	0.195
806	ENSG00000164062	APEH	chr3	+	49676055	49676515	49676055	49676219	49676608	49676700	806	127,38,39,163,120,67,86,147,150,46,45	3,7,0,5,5,2,0,5,9,1,0	186,128,163,133,144,149,126,102,55	3,13,0,0,0,0,0,0,0	396	100	0.000827470926544	0.0184513707025	0.914,0.578,1.0,0.892,0.858,0.894,1.0,0.881,0.808,0.921,1.0	0.94,0.713,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.075
888	ENSG00000170222	ADPRM	chr17	+	10704909	10705615	10704909	10705527	10706437	10706554	888	5,1,3,5,18,6,8,21,16,9,8	5,3,2,15,12,3,18,13,14,10,6	19,18,11,2,17,9,12,8,11	0,2,15,6,0,0,3,3,0	188	100	6.31285484209e-06	0.000389123384309	0.347,0.151,0.444,0.151,0.444,0.515,0.191,0.462,0.378,0.324,0.415	1.0,0.827,0.281,0.151,1.0,1.0,0.68,0.587,1.0	-0.378
997	ENSG00000291129	PPIEL	chr1	-	39547578	39548951	39548861	39548951	39545732	39545857	997	83,122,67,72,99,49,48,63,154,73,73	0,0,0,3,2,1,3,0,6,2,0	135,141,95,88,149,126,162,99,38	9,1,0,0,0,0,1,0,0	1383	100	0.00112043540088	0.0240026963953	1.0,1.0,1.0,0.634,0.782,0.78,0.536,1.0,0.65,0.725,1.0	0.52,0.911,1.0,1.0,1.0,1.0,0.921,1.0,1.0	-0.1
1060	ENSG00000290476	SUGT1P3	chr13	-	40921335	40921531	40921473	40921531	40913549	40914105	1060	12,1,4,16,20,5,0,9,9,1,2	1,1,0,0,2,2,4,1,2,2,0	13,16,2,5,3,11,22,1,1	0,0,0,0,0,3,0,0,0	238	100	3.13880415765e-05	0.0013877656961	0.834,0.296,1.0,1.0,0.808,0.512,0.0,0.791,0.654,0.174,1.0	1.0,1.0,1.0,1.0,1.0,0.606,1.0,1.0,1.0	-0.314
1061	ENSG00000290476	SUGT1P3	chr13	-	40920953	40921531	40921473	40921531	40914017	40914105	1061	37,20,16,53,53,28,2,46,32,27,18	1,1,0,0,2,2,4,1,2,2,0	65,30,25,38,25,51,48,20,1	0,0,0,0,0,3,0,0,0	620	100	0.000449214400644	0.0112432684759	0.856,0.763,1.0,1.0,0.81,0.693,0.075,0.881,0.721,0.685,1.0	1.0,1.0,1.0,1.0,1.0,0.733,1.0,1.0,1.0	-0.199
1109	ENSG00000288550	NA	chr3	+	9923880	9924137	9923880	9924020	9924231	9924291	1109	0,6,1,16,3,2,1,8,2,0,2	5,5,5,17,15,23,0,15,10,1,2	3,7,4,9,8,18,4,2,14	34,10,7,2,4,7,2,3,9	217	100	0.00174558730847	0.0342614140011	0.0,0.356,0.084,0.303,0.084,0.039,1.0,0.197,0.084,0.0,0.315	0.039,0.244,0.208,0.675,0.48,0.542,0.48,0.235,0.418	-0.145
1370	ENSG00000150776	NKAPD1	chr11	+	112075566	112075684	112075566	112075643	112078214	112078315	1370	10,5,0,18,4,4,26,7,19,9,4	59,38,43,122,81,40,110,171,56,96,82	13,5,23,43,12,46,12,24,20	87,54,143,61,65,81,129,65,20	141	100	3.52219057131e-06	0.000234185342566	0.107,0.085,0.0,0.095,0.034,0.066,0.144,0.028,0.194,0.062,0.033	0.096,0.062,0.102,0.333,0.116,0.287,0.062,0.208,0.415	-0.11
1401	ENSG00000174080	CTSF	chr11	-	66567890	66568082	66567983	66568082	66567443	66567662	1401	2,2,2,20,6,8,4,0,15,1,1	70,78,26,145,119,77,15,106,165,37,19	12,7,5,13,21,7,29,13,4	94,101,51,21,19,137,79,58,41	193	100	1.62863494468e-07	2.0558565751e-05	0.015,0.013,0.038,0.067,0.025,0.051,0.121,0.0,0.045,0.014,0.027	0.062,0.035,0.048,0.243,0.364,0.026,0.16,0.104,0.048	-0.083
1528	ENSG00000182165	TP53TG1	chr7	-	87345042	87345504	87345304	87345504	87341522	87341684	1528	27,6,20,53,28,19,17,32,23,30,28	2,3,4,11,5,3,5,5,17,4,4	33,33,12,35,7,23,25,34,21	0,1,2,0,4,17,0,0,0	362	100	0.000224950713823	0.00636143090064	0.789,0.356,0.58,0.571,0.607,0.636,0.484,0.639,0.272,0.674,0.659	1.0,0.901,0.624,1.0,0.326,0.272,1.0,1.0,1.0	-0.222
1684	ENSG00000178974	FBXO34	chr14	+	55350380	55352870	55350380	55350550	55354500	55354585	1684	1725,430,231,1930,1856,220,1637,3048,2429,2321,1710	4,0,2,3,1,3,6,0,6,1,12	1561,1307,1877,554,1140,1061,1825,783,210	4,0,0,0,5,0,2,0,0	2420	100	0.000190960316456	0.00562941130638	0.947,1.0,0.827,0.964,0.987,0.752,0.919,1.0,0.944,0.99,0.855	0.942,1.0,1.0,1.0,0.904,1.0,0.974,1.0,1.0	-0.054
1703	ENSG00000288558	DUS4L-BCAP29	chr7	+	107563970	107564676	107563970	107564209	107567049	107567186	1703	21,24,9,64,70,19,44,65,75,60,36	0,0,1,2,0,1,0,0,0,0,0	34,22,25,16,23,46,50,19,9	0,2,0,0,0,6,0,2,6	567	100	1.71926017484e-05	0.000850838416071	1.0,1.0,0.613,0.849,1.0,0.77,1.0,1.0,1.0,1.0,1.0	1.0,0.66,1.0,1.0,1.0,0.575,1.0,0.626,0.209	0.145
1875	ENSG00000266173	STRADA	chr17	-	63704340	63704582	63704431	63704582	63704004	63704047	1875	79,45,24,118,101,33,47,96,124,59,68	0,6,4,7,6,2,2,4,3,4,0	127,130,98,42,142,135,103,91,27	8,4,3,0,0,0,0,5,0	191	100	0.0013433248412	0.0279244853624	1.0,0.797,0.759,0.898,0.898,0.896,0.925,0.926,0.956,0.885,1.0	0.893,0.944,0.945,1.0,1.0,1.0,1.0,0.905,1.0	-0.062
1985	ENSG00000105854	PON2	chr7	-	95416171	95416297	95416241	95416297	95412311	95412477	1985	137,204,203,301,206,169,296,237,220,200,190	285,295,270,515,592,281,361,591,550,364,247	233,152,210,226,270,254,282,173,97	363,329,307,166,177,381,351,245,121	170	100	0.000743882310396	0.0170058134476	0.22,0.289,0.307,0.256,0.17,0.261,0.325,0.191,0.19,0.244,0.312	0.274,0.214,0.287,0.445,0.473,0.282,0.321,0.293,0.32	-0.072
2099	ENSG00000108587	GOSR1	chr17	+	30481142	30481263	30481142	30481257	30484213	30484301	2099	25,7,18,48,31,13,25,51,52,34,43	48,16,37,71,49,29,51,76,50,78,93	10,15,31,31,26,11,7,18,14	65,41,71,54,83,50,37,41,45	106	100	9.38112284e-05	0.00329474112647	0.329,0.292,0.315,0.389,0.374,0.297,0.316,0.388,0.495,0.291,0.304	0.127,0.257,0.292,0.351,0.228,0.172,0.151,0.293,0.227	0.111
2152	ENSG00000121766	ZCCHC17	chr1	+	31296981	31297213	31296981	31297075	31319108	31319166	2152	14,4,7,29,16,3,13,35,28,27,15	8,1,2,1,5,3,9,14,9,2,6	39,13,26,24,58,45,43,13,21	2,2,2,4,0,4,1,6,2	238	100	3.38702426154e-05	0.0014750490659	0.424,0.627,0.595,0.924,0.573,0.296,0.378,0.512,0.567,0.85,0.512	0.891,0.732,0.845,0.716,1.0,0.825,0.948,0.477,0.815	-0.237
2184	ENSG00000148985	PGAP2	chr11	+	3824269	3824455	3824269	3824376	3825019	3825128	2184	0,6,5,10,2,1,3,3,9,2,3	2,0,3,5,4,4,8,5,3,2,6	11,8,10,1,28,13,7,2,5	0,2,2,0,0,2,0,4,0	179	100	1.03399970808e-08	2.14431844223e-06	0.0,1.0,0.482,0.528,0.218,0.123,0.173,0.251,0.626,0.358,0.218	1.0,0.691,0.736,1.0,1.0,0.784,1.0,0.218,1.0	-0.464
2187	ENSG00000087460	GNAS	chr20	+	58898940	58899162	58898940	58898985	58899948	58900410	2187	88,50,64,51,28,18,31,34,32,31,48	11,2,6,14,14,1,27,17,21,38,39	51,40,83,161,107,60,58,51,23	12,5,21,0,1,14,25,8,1	277	100	0.00191119647325	0.0365055291272	0.743,0.9,0.794,0.568,0.419,0.867,0.293,0.419,0.355,0.228,0.308	0.605,0.743,0.588,1.0,0.975,0.607,0.456,0.697,0.893	-0.194
2333	ENSG00000135931	ARMC9	chr2	+	231288659	231290019	231288659	231288721	231291352	231291443	2333	87,56,61,131,133,50,67,140,85,87,60	0,0,0,5,2,0,0,15,1,4,2	110,76,116,83,84,83,128,65,61	0,0,1,0,0,0,0,0,0	1398	100	5.07437425412e-11	2.10465713111e-08	1.0,1.0,1.0,0.652,0.826,1.0,1.0,0.4,0.859,0.609,0.682	1.0,1.0,0.892,1.0,1.0,1.0,1.0,1.0,1.0	-0.167
2342	ENSG00000135597	REPS1	chr6	-	138912674	138912950	138912764	138912950	138911275	138911371	2342	12,28,12,22,6,3,3,12,7,4,12	68,38,12,63,73,38,35,62,73,67,40	1,13,11,32,23,19,13,30,5	45,26,59,22,22,50,17,20,23	190	100	0.000209652483938	0.00603810981591	0.085,0.279,0.345,0.155,0.041,0.04,0.043,0.092,0.048,0.03,0.136	0.012,0.208,0.089,0.434,0.355,0.167,0.287,0.441,0.103	-0.115
