	gene_id	SE_con1-SE_con2_dPSI	SE_con1-SE_con2_p-val
TYROBP	ENSG00000011600	ENSG00000011600;SE:19:35907580-35907730:35907762-35908168:-	0.0851309069	0.0474525475
MDH1	ENSG00000014641	ENSG00000014641;SE:2:63589046-63599170:63599292-63604696:+	0.059690715	0.047952048
FAM168A	ENSG00000054965	ENSG00000054965;SE:11:73419999-73425022:73425048-73430690:-	0.1054478566	0.047952048
KIFAP3	ENSG00000075945	ENSG00000075945;SE:1:170046866-170055305:170055436-170074436:-	0.0980206071	0.028971029
P2RX5	ENSG00000083454	ENSG00000083454;SE:17:3681978-3685515:3685580-3688012:-	0.2836576497	0.014985015
P2RX5	ENSG00000083454	ENSG00000083454;SE:17:3690680-3690956:3691027-3691644:-	0.2691175897	0.014985015
WDR47	ENSG00000085433	ENSG00000085433;SE:1:109013925-109017518:109017601-109023355:-	0.1511188968	0.041958042
ANKRD24	ENSG00000089847	ENSG00000089847;SE:19:4186461-4199683:4199769-4199875:+	-0.0671497551	0.0444555445
DNAJB11	ENSG00000090520	ENSG00000090520;SE:3:186575937-186577668:186577800-186581371:+	0.0746130979	0.0474525475
NRCAM	ENSG00000091129	ENSG00000091129;SE:7:108160492-108166921:108167073-108168277:-	0.0904865295	0.047952048
NRCAM	ENSG00000091129	ENSG00000091129;SE:7:108160492-108168277:108168402-108175322:-	-0.1198383143	0.044955045
NRCAM	ENSG00000091129	ENSG00000091129;SE:7:108160492-108175322:108175357-108176430:-	0.1130631408	0.044955045
NRCAM	ENSG00000091129	ENSG00000091129;SE:7:108223836-108225645:108225701-108226208:-	-0.0940269308	0.044955045
NFATC4	ENSG00000100968	ENSG00000100968;SE:14:24376101-24376294:24376878-24377638:+	0.1560997192	0.045954046
PAK5	ENSG00000101349	ENSG00000101349;SE:20:9711435-9784358:9784506-9838762:-	-0.2281609138	0.028971029
PPP1R16B	ENSG00000101445	ENSG00000101445;SE:20:38902792-38905969:38906094-38906979:+	0.0955501883	0.032967033
HCFC1R1	ENSG00000103145	ENSG00000103145;SE:16:3023530-3023847:3023968-3024181:-	-0.1358377568	0.044955045
NCALD	ENSG00000104490	ENSG00000104490;SE:8:101719648-101887141:101887227-101915809:-	0.3171102028	0.023976024
PTPRS	ENSG00000105426	ENSG00000105426;SE:19:5215595-5216720:5216767-5218420:-	-0.0792219078	0.0442057942
PTPRS	ENSG00000105426	ENSG00000105426;SE:19:5246045-5256108:5256119-5258017:-	-0.0818061875	0.0442057942
PPP2R5D	ENSG00000112640	ENSG00000112640;SE:6:43008475-43008693:43008746-43009057:+	0.0637919554	0.043956044
CEP15	ENSG00000114405	ENSG00000114405;SE:3:62319055-62319721:62319832-62320460:+	0.1453576428	0.04995005
FAHD2A	ENSG00000115042	ENSG00000115042;SE:2:95402872-95405277:95405402-95405553:+	0.1671412171	0.026973027
GRB14	ENSG00000115290	ENSG00000115290;SE:2:164493182-164494431:164494524-164497008:-	0.2197189934	0.02997003
DARS1	ENSG00000115866	ENSG00000115866;SE:2:135911493-135912486:135912566-135914469:-	0.0687190529	0.041958042
ORC4	ENSG00000115947	ENSG00000115947;SE:2:147973524-147975902:147975975-148020633:-	0.1617713848	0.034965035
TNNI3K	ENSG00000116783	ENSG00000116783;SE:1:74540313-74541537:74541610-74543906:+	-0.18045998	0.041958042
KLHL12	ENSG00000117153	ENSG00000117153;SE:1:202892659-202893239:202893425-202894184:-	0.0795053347	0.0364635365
RSRP1	ENSG00000117616	ENSG00000117616;SE:1:25243633-25244454:25244498-25245150:-	0.1253423512	0.041958042
TTLL5	ENSG00000119685	ENSG00000119685;SE:14:75902224-75941424:75941494-75954424:+	-0.1984790549	0.047952048
LGALSL	ENSG00000119862	ENSG00000119862;SE:2:64455677-64456288:64456465-64458285:+	0.142742972	0.04995005
CCDC77	ENSG00000120647	ENSG00000120647;SE:12:405564-409368:409421-411747:+	0.2094131205	0.035964036
RTN2	ENSG00000125744	ENSG00000125744;SE:19:45488986-45489346:45489553-45493160:-	-0.2928043889	0.011988012
PCSK2	ENSG00000125851	ENSG00000125851;SE:20:17227482-17260240:17260344-17358327:+	-0.0873004179	0.025974026
ITPA	ENSG00000125877	ENSG00000125877;SE:20:3209617-3213258:3213383-3213985:+	-0.3146004442	0.037962038
PRMT1	ENSG00000126457	ENSG00000126457;SE:19:49677316-49679872:49679925-49680487:+	-0.0634199683	0.0314685315
MAP2K2	ENSG00000126934	ENSG00000126934;SE:19:4095449-4097279:4097343-4101019:-	0.2181636694	0.0324675325
MAP2K2	ENSG00000126934	ENSG00000126934;SE:19:4097343-4098390:4099414-4101019:-	-0.1407405121	0.044955045
MAP2K2	ENSG00000126934	ENSG00000126934;SE:19:4097343-4099201:4099378-4101019:-	-0.1464439962	0.044955045
SULT4A1	ENSG00000130540	ENSG00000130540;SE:22:43840025-43841802:43841932-43862214:-	0.0753866522	0.035964036
UBAC1	ENSG00000130560	ENSG00000130560;SE:9:135939759-135942162:135942289-135945028:-	-0.0556983124	0.0494505495
