gene_name	groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Con1	Con2	log2fold_Con2_Con1	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.SRR22776675_Aligned.sortedByCoord.out	countData.SRR22776676_Aligned.sortedByCoord.out	countData.SRR22776677_Aligned.sortedByCoord.out	countData.SRR22776686_Aligned.sortedByCoord.out	countData.SRR22776687_Aligned.sortedByCoord.out	countData.SRR22776688_Aligned.sortedByCoord.out	countData.SRR22776689_Aligned.sortedByCoord.out	countData.SRR22776690_Aligned.sortedByCoord.out	countData.SRR22776691_Aligned.sortedByCoord.out	countData.SRR22776692_Aligned.sortedByCoord.out	countData.SRR22776693_Aligned.sortedByCoord.out	countData.SRR22776660_Aligned.sortedByCoord.out	countData.SRR22776678_Aligned.sortedByCoord.out	countData.SRR22776679_Aligned.sortedByCoord.out	countData.SRR22776680_Aligned.sortedByCoord.out	countData.SRR22776681_Aligned.sortedByCoord.out	countData.SRR22776682_Aligned.sortedByCoord.out	countData.SRR22776683_Aligned.sortedByCoord.out	countData.SRR22776684_Aligned.sortedByCoord.out	countData.SRR22776685_Aligned.sortedByCoord.out
LAP3	ENSG00000002549	E031	38.0621138949796	0.0451156964082452	23.8055467949861	1.065748998567e-06	0.00129001878311451	7.91968425252033	6.68995815172933	-0.907657836769268	4	17607400	17607934	535	+	37	50	11	50	29	46	46	73	71	51	37	57	35	47	35	32	27	44	25	9
HECW1	ENSG00000002746	E021	27.4070476369042	0.030264245365103	14.0302117348666	0.000179896893290955	0.0269647789609687	6.56664881557559	7.03945363047159	0.354418332015889	7	43407562	43407731	170	+	17	11	3	33	73	9	15	30	28	24	37	61	25	43	37	43	55	45	37	4
LASP1	ENSG00000002834	E020	752.480162654182	0.0465354271319063	17.2184492832839	3.33184919199779e-05	0.0106874060607117	13.7746470929951	13.0495735613106	-0.505489148890151	17	38919327	38921769	2443	+	716	694	420	1618	1349	828	304	1210	1329	601	528	1268	1013	589	431	462	903	926	600	459
CASP10	ENSG00000003400	E017	8.57850821614747	0.0656267840424322	14.2692408804675	0.000158432840960556	0.0252206998663587	3.87906100778189	5.1455713841813	1.11118676994439	2	201193404	201194483	1080	+	1	1	5	13	0	9	2	7	9	9	4	12	9	12	22	6	19	10	16	11
CFLAR	ENSG00000003402	E042	9.48561525848804	0.0745488281642399	13.5740039314034	0.00022933965513856	0.0308768665185814	3.89367644644067	5.20484388445265	1.14595408780847	2	201142645	201142762	118	+	10	7	6	6	3	10	3	2	3	2	0	11	9	11	31	18	19	13	5	19
KDM1A	ENSG00000004487	E004	85.651548943401	0.0540428321149853	23.3489026158579	1.35120576045417e-06	0.00148177612222934	9.49154665578092	8.03295970833926	-1.04454140497546	1	23030469	23030634	166	+	83	78	80	95	120	99	129	123	102	163	158	48	44	79	61	63	85	68	43	36
CDC27	ENSG00000004897	E018	11.1243759643769	0.0731049285417661	17.9053259258499	2.32170481243162e-05	0.00836765892314189	4.41629634569459	5.77145537302439	1.12308483966339	17	47139771	47139973	203	-	10	4	6	17	9	5	8	9	11	8	11	15	15	16	22	28	15	24	10	5
CDC27	ENSG00000004897	E039	6.85680345615405	0.103420887067495	14.6071509181257	0.000132411140231684	0.0228348706432345	3.64606975969219	4.96998162521182	1.19091044316949	17	47157268	47157384	117	-	14	3	2	6	7	0	1	6	8	5	8	14	15	7	5	13	11	19	9	3
PRKAR2B	ENSG00000005249	E034	595.277049315087	0.0517477512040829	14.0831273814156	0.000174905743484449	0.0265265441176308	13.2776551364713	12.4596518199552	-0.570815563527244	7	107159449	107161446	1998	+	936	208	167	947	1173	164	606	1185	1148	941	1130	913	661	621	187	356	640	1035	371	81
CREBBP	ENSG00000005339	E039	113.940771872073	0.0260929174049662	17.4933964549703	2.8830733818002e-05	0.00974041098017858	9.0428769162231	9.92831782344377	0.628343550039303	16	3770704	3770986	283	-	102	95	68	123	104	105	37	66	96	48	29	201	224	134	129	153	190	203	137	137
MYCBP2	ENSG00000005810	E074	69.2880445113719	0.0167683412968216	14.7139372692911	0.000125118019356341	0.0223387358774857	8.2250746722199	8.99901639690344	0.555224952303531	13	77160189	77161905	1717	-	88	33	22	69	89	20	45	107	126	87	80	87	93	97	81	88	111	126	97	10
MAP3K9	ENSG00000006432	E011	6.23456082701287	0.216892020440966	18.0839018008642	2.11381057195963e-05	0.00797141209435465	3.09387612870181	4.95085642321006	1.74830232602977	14	70739898	70740041	144	-	11	1	0	9	10	0	0	0	3	0	4	12	8	16	15	10	19	11	4	8
RALA	ENSG00000006451	E003	11.5538428053343	0.0426158546703355	14.8355830265032	0.000117301285362734	0.0215006553139299	4.58057630150816	5.64501323411262	0.879490770444776	7	39623886	39624427	542	+	6	3	3	14	12	8	12	18	10	9	9	18	17	22	9	6	13	23	20	13
FARP2	ENSG00000006607	E059	7.78666126934321	0.0415553067618647	18.2602526054047	1.92686024002144e-05	0.00770179844100283	3.67995679998633	5.07682591858984	1.24637807885111	2	241484090	241484241	152	+	8	5	5	6	3	0	3	7	8	3	3	13	8	7	21	25	16	10	13	6
IFRD1	ENSG00000006652	E022	234.22413960105	0.0372025070820477	12.1895432729104	0.000480581483694886	0.0468063906747175	11.239904546266	10.6945527092887	-0.38288121665383	7	112475677	112476149	473	+	302	142	149	409	240	113	371	351	290	385	341	226	145	227	279	152	265	262	126	180
MYLIP	ENSG00000007944	E002	17.13092795962	0.0464731744355411	25.0877659977777	5.47792981129637e-07	0.000900354723446234	5.06589661908184	6.47932946432014	1.11518686411181	6	16129171	16129409	239	+	8	10	4	27	14	12	8	15	24	6	6	43	31	23	13	19	27	25	18	28
DLEC1	ENSG00000008226	E005	6.32573953352574	0.24967919665754	12.7588459776474	0.000354329438356468	0.039057210410451	4.67936116880469	2.86639902518281	-1.77537027045965	3	38062169	38062368	200	+	0	20	15	5	8	5	11	6	2	8	3	6	1	2	1	0	0	1	1	13
SYPL1	ENSG00000008282	E002	289.654795933514	0.0186655459501826	17.6490381803227	2.65649580023376e-05	0.00921200946337278	11.5746101633459	11.2376714299692	-0.236096184840237	7	106090532	106091406	875	-	258	254	375	483	158	229	515	284	209	367	365	216	184	341	316	245	337	298	259	203
SPAG9	ENSG00000008294	E001	774.96318877425	0.01497733874822	13.000278092759	0.000311444719345678	0.0365325126655052	13.629631165402	13.0846763378024	-0.379947688896349	17	50962174	50964148	1975	-	717	666	771	1441	1109	788	888	1295	1139	1134	944	826	545	707	405	425	773	868	541	330
SPAG9	ENSG00000008294	E038	20.8171705827907	0.0607408299415406	24.0884470300677	9.20106655133595e-07	0.00116989822079553	5.42164346278221	6.98974467560084	1.20849995118234	17	50996229	50996564	336	-	12	15	11	53	19	10	23	12	7	12	13	38	33	51	16	18	39	28	26	18
NFIX	ENSG00000008441	E031	34.1991162013128	0.0320800625276326	12.0040281084335	0.000530856875542236	0.0490600066525662	6.8142289175379	7.44352300819617	0.466615412756466	19	13081680	13081835	156	+	16	39	14	48	39	29	20	20	28	14	30	70	83	48	42	33	45	58	33	25
FYN	ENSG00000010810	E001	103.365245152899	0.0325331001822067	16.9192292613604	3.90044537832586e-05	0.011617341342288	9.76787501515695	8.770440308756	-0.70948024642049	6	111660332	111661281	950	-	97	111	65	140	135	103	144	152	126	150	151	97	101	74	160	58	104	120	45	41
FYN	ENSG00000010810	E005	101.348152585785	0.0178299046962173	12.4280060023312	0.000422943229526627	0.0437983486744499	9.06317421792036	9.5900630494928	0.374481213878774	6	111661760	111661947	188	-	83	98	40	109	110	74	78	121	111	80	80	170	133	107	199	175	103	152	97	60
