	gene_id	AL_con1-AL_con2_dPSI	AL_con1-AL_con2_p-val
EIPR1	ENSG00000032389	ENSG00000032389;AL:2:3196911:3197017-3214149:3207804:3208957-3214149:-	-0.4109641196	0.026973027
TAB2	ENSG00000055208	ENSG00000055208;AL:6:149379518-149379934:149379941:149379518-149397604:149397660:+	-0.1547131957	0.0364635365
DGKA	ENSG00000065357	ENSG00000065357;AL:12:55932909-55933505:55933608:55932909-55935305:55935402:+	-0.3634121539	0.0244755245
KCNQ2	ENSG00000075043	ENSG00000075043;AL:20:63433681:63433903-63438625:63437353:63437403-63438625:-	0.7361319785	0.0104895105
NEBL	ENSG00000078114	ENSG00000078114;AL:10:21020117:21020201-21146342:21125763:21126158-21146342:-	0.2863445464	0.0464535465
EPB41L3	ENSG00000082397	ENSG00000082397;AL:18:5397248:5397426-5406777:5398113:5398143-5406777:-	0.2717926001	0.0312187812
EPB41L3	ENSG00000082397	ENSG00000082397;AL:18:5397248:5397426-5406777:5400997:5401043-5406777:-	0.5098680695	0.0312187812
NUP50	ENSG00000093000	ENSG00000093000;AL:22:45168246-45170988:45171019:45168246-45171600:45171667:+	-0.4400560401	0.047952048
NUP50	ENSG00000093000	ENSG00000093000;AL:22:45168246-45170988:45171019:45168246-45171600:45172206:+	-0.3647895115	0.047952048
PIN4	ENSG00000102309	ENSG00000102309;AL:X:72196904-72197368:72198340:72196904-72262707:72264311:+	-0.359809596	0.0464535465
IFT20	ENSG00000109083	ENSG00000109083;AL:17:28328327:28328733-28330443:28328999:28329276-28330443:-	-0.480640297	0.020979021
ITFG2	ENSG00000111203	ENSG00000111203;AL:12:2824252-2824682:2824941:2824252-2830834:2830894:+	-0.3491595689	0.045954046
NEDD9	ENSG00000111859	ENSG00000111859;AL:6:11251264:11251726-11305992:11271446:11271832-11305992:-	0.4130202292	0.037962038
PFDN1	ENSG00000113068	ENSG00000113068;AL:5:140245087:140246057-140300416:140280960:140281533-140300416:-	-0.3210085833	0.0464535465
CLK4	ENSG00000113240	ENSG00000113240;AL:5:178616882:178616948-178618556:178617071:178617434-178618556:-	-0.3991505455	0.0494505495
PLCH1	ENSG00000114805	ENSG00000114805;AL:3:155375580:155375789-155485356:155479882:155483051-155485356:-	-0.5868665517	0.021978022
SMG7	ENSG00000116698	ENSG00000116698;AL:1:183551190-183551818:183552263:183551190-183552977:183554188:+	0.1709012066	0.0474525475
TCEAL4	ENSG00000133142	ENSG00000133142;AL:X:103585624-103586219:103586499:103585624-103586654:103587502:+	0.4536190504	0.01998002
LMO7	ENSG00000136153	ENSG00000136153;AL:13:75804541-75805479:75805760:75804541-75807480:75807687:+	0.5	0.0324675325
G3BP1	ENSG00000145907	ENSG00000145907;AL:5:151772036-151786603:151787386:151772036-151804406:151805319:+	0.496326841	0.012987013
ME3	ENSG00000151376	ENSG00000151376;AL:11:86457579:86457759-86465091:86464082:86464128-86465091:-	0.3631175446	0.0424575425
CAMKV	ENSG00000164076	ENSG00000164076;AL:3:49857989:49859676-49860171:49859769:49859881-49860171:-	0.2393355444	0.0394605395
SDHAF2	ENSG00000167985	ENSG00000167985;AL:11:61437848-61438004:61438243:61437848-61445941:61446115:+	0.386383298	0.045954046
RESF1	ENSG00000174718	ENSG00000174718;AL:12:31960871-31980878:31981060:31960871-31992378:31992834:+	-0.4508457963	0.033966034
GRIN2A	ENSG00000183454	ENSG00000183454;AL:16:9937725:9938551-10179998:10171456:10171528-10179998:-	0.3205251946	0.041958042
UVRAG	ENSG00000198382	ENSG00000198382;AL:11:75912039-75916133:75916784:75912039-75961444:75961549:+	0.26499588	0.0374625375
LCMT1	ENSG00000205629	ENSG00000205629;AL:16:25151615-25158787:25158931:25151615-25161102:25161206:+	0.4506922866	0.0234765235
HTR2A-AS1	ENSG00000224517	ENSG00000224517;AL:13:46852226-46853939:46854247:46852226-46856090:46856299:+	-0.2477329548	0.04995005
MDN1-AS1	ENSG00000228124	ENSG00000228124;AL:6:89638636-89639346:89639624:89638636-89675396:89676798:+	-0.3082801626	0.0474525475
PITRM1-AS1	ENSG00000237399	ENSG00000237399;AL:10:3143986-3144971:3148622:3143986-3164095:3164249:+	0.3982350167	0.0414585415
CFAP20DC-AS1	ENSG00000242428	ENSG00000242428;AL:3:58914931-58964082:58964609:58914931-58970358:58972057:+	0.3882765339	0.0484515485
CXXC4-AS1	ENSG00000245384	ENSG00000245384;AL:4:104558130-104569271:104569640:104558130-104620130:104620393:+	0.5206474343	0.0374625375
LINC01252	ENSG00000247157	ENSG00000247157;AL:12:11559382-11563701:11564403:11559382-11590250:11590369:+	0.3485324368	0.038961039
SLIT2-IT1	ENSG00000248228	ENSG00000248228;AL:4:20392263-20393350:20393489:20392263-20394529:20394875:+	-0.3320007185	0.047952048
LINC02231	ENSG00000248995	ENSG00000248995;AL:12:64920845:64921070-64957754:64953551:64953879-64957754:-	0.4213688975	0.031968032
	ENSG00000251293	ENSG00000251293;AL:5:120245448:120245633-120333256:120331695:120331918-120333256:-	0.4157750123	0.037962038
	ENSG00000255139	ENSG00000255139;AL:11:59620472-59639320:59639861:59620472-59655528:59655885:+	0.5109377379	0.018981019
SIPA1L1-AS1	ENSG00000259146	ENSG00000259146;AL:14:71292721:71292902-71294037:71293134:71293492-71294037:-	-0.2562290278	0.0294705295
	ENSG00000267002	ENSG00000267002;AL:17:43148373:43148783-43166980:43162407:43164763-43166980:-	-0.3173018129	0.047952048
	ENSG00000289640	ENSG00000289640;AL:16:21116537-21120912:21121300:21116537-21140473:21142082:+	0.4713200247	0.0344655345
	ENSG00000290535	ENSG00000290535;AL:10:38413392-38415544:38416290:38413392-38416682:38416734:+	-0.281545824	0.04995005
	ENSG00000295624	ENSG00000295624;AL:16:89254318:89255172-89256648:89255226:89255874-89256648:-	-0.3567973421	0.0484515485
	ENSG00000296921	ENSG00000296921;AL:3:52211058:52211781-52218815:52212017:52212270-52218815:-	0.4636814426	0.0344655345
	ENSG00000302377	ENSG00000302377;AL:17:58016475-58018406:58018568:58016475-58023176:58023599:+	0.4050197232	0.0224775225
	ENSG00000303695	ENSG00000303695;AL:1:144567717-144568481:144568760:144567717-144601265:144601547:+	0.3908694075	0.0424575425
	ENSG00000304231	ENSG00000304231;AL:5:179662949:179663258-179678264:179675260:179675456-179678264:-	0.4900841542	0.0184815185
	ENSG00000306471	ENSG00000306471;AL:8:102413011-102417822:102418451:102413011-102420975:102421185:+	-0.3915714408	0.044955045
	ENSG00000308099	ENSG00000308099;AL:17:32046427:32047909-32058370:32050061:32050302-32058370:-	-0.2665050334	0.0454545455
	ENSG00000308833	ENSG00000308833;AL:8:123658168:123658459-123672832:123671628:123671798-123672832:-	0.418744639	0.04995005
	ENSG00000309895	ENSG00000309895;AL:22:40260158:40260368-40276531:40273343:40273569-40276531:-	-0.2924058414	0.043956044
	ENSG00000310019	ENSG00000310019;AL:20:30569708:30570885-30579316:30578414:30579122-30579316:-	-0.5030431485	0.035964036
