gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Condition_1_mean_psi	Condition_2_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
STPG1	ENSG00000001460	gene:ENSG00000001460:s:24401079-24401456	0.1077;0.0633;-0.1950	8.048e-01;5.556e-01;9.577e-01	5.842e-02;1.724e-01;5.252e-03	0.1037;0.1491;0.7481	0.2309;0.2384;0.5338	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	1	-	24392067-24401319;24391679-24401319;24384003-24401319	24383867-24384003;24391203-24391679;24391924-24392071;24401079-24401456	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A24401456-24383867
LAS1L	ENSG00000001497	gene:ENSG00000001497:s:65523560-65523876	-0.0000;0.2001;0.0134;-0.2110	4.807e-04;9.929e-01;1.649e-01;9.976e-01	9.987e-01;1.169e-03;6.868e-01;3.661e-04	0.0216;0.4426;0.0758;0.4579	0.0108;0.6528;0.0953;0.2488	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	0;0;0;0	X	-	65522605-65523560;65522493-65523560;65520817-65523560;65518465-65523560	65517987-65518465;65520429-65520817;65522431-65522605;65523560-65523876	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=X%3A65523876-65517987
LAS1L	ENSG00000001497	gene:ENSG00000001497:s:65524764-65525050	0.1462;-0.1462	9.427e-01;9.427e-01	1.326e-02;1.326e-02	0.6920;0.3080	0.8440;0.1560	s|1e1.1o1|1e2.1o1	2	3	0;0	X	-	65524614-65524965;65524262-65524965	65524056-65524262;65524564-65524614;65524764-65525050	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=X%3A65525050-65524056
LAS1L	ENSG00000001497	gene:ENSG00000001497:s:65528876-65529258	-0.0632;0.0965;-0.0026	5.626e-01;7.373e-01;2.674e-02	1.701e-01;7.450e-02;9.341e-01	0.6965;0.2636;0.0355	0.6112;0.3829;0.0055	s|1e1.1o1|1e2.1o1|2e1.1o1	3	3	0;0;0	X	-	65528369-65529212;65525050-65529212;65528369-65528876	65524764-65525050;65528260-65528369;65528876-65529258	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=X%3A65529258-65524764
LAS1L	ENSG00000001497	gene:ENSG00000001497:t:65524764-65525050	0.0926;-0.0926	7.569e-01;7.569e-01	8.187e-02;8.187e-02	0.2070;0.7930	0.3135;0.6865	t|1e1.1o2|1e2.1o1	2	3	0;0	X	-	65525050-65529212;65525050-65528260	65524764-65525050;65528260-65528369;65528876-65529258	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=X%3A65529258-65524764
ANKIB1	ENSG00000001629	gene:ENSG00000001629:t:92395869-92396476	-0.0000;-0.0718;0.1016	1.738e-05;6.382e-01;8.092e-01	1.000e+00;1.511e-01;6.399e-02	0.0242;0.7336;0.2417	0.0009;0.6438;0.3553	t|1e1.1o1|1e2.1o1|2e2.1o1	3	3	0;0;1	7	+	92391344-92396365;92392292-92396365;92392292-92396383	92391166-92391344;92392241-92392292;92395869-92396476	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A92396476-92391166
HECW1	ENSG00000002746	gene:ENSG00000002746:s:43112629-43112937	-0.0171;-0.0915;0.1211	2.215e-01;7.509e-01;8.977e-01	6.193e-01;8.253e-02;3.004e-02	0.1058;0.6618;0.2354	0.0786;0.5511;0.3667	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	7	+	43112937-43114157;43112937-43243875;43112937-43311763	43112629-43112937;43113741-43114391;43243875-43243932;43311763-43312087	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A43312087-43112629
CFLAR	ENSG00000003402	gene:ENSG00000003402:s:201140186-201140735	-0.0606;0.0606	5.777e-01;5.777e-01	2.292e-01;2.292e-01	0.1458;0.8542	0.0706;0.9294	s|1e1.1o1|1e2.1o1	2	3	0;0	2	+	201140439-201141374;201140439-201145378	201140186-201140735;201141374-201141602;201145378-201145432	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=2%3A201145432-201140186
KDM1A	ENSG00000004487	gene:ENSG00000004487:s:23030469-23030634	0.0539;-0.0539	5.172e-01;5.172e-01	2.416e-01;2.416e-01	0.2884;0.7116	0.3564;0.6436	s|1e1.1o1|1e2.1o1	2	3	0;0	1	+	23030634-23044427;23030634-23050387	23030469-23030634;23044427-23044486;23050387-23050520	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A23050520-23030469
KDM1A	ENSG00000004487	gene:ENSG00000004487:s:23059073-23059167	-0.1621;0.1621	9.944e-01;9.944e-01	1.386e-03;1.386e-03	0.4938;0.5062	0.3286;0.6714	s|1e1.1o1|1e2.1o1	2	3	0;0	1	+	23059167-23066060;23059167-23068539	23059073-23059167;23065199-23066071;23068170-23068681	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A23068681-23059073
