ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	ENSG00000212694	LINC01089	chr12	-	121795266	121796242	121795266	121795726	121796190	121796242	5	70,116,184,219,175,172,100,107,108,218,258,98,107,133,112,140,132,133,218,177,57	1,0,3,33,2,11,0,1,1,0,36,2,5,8,1,4,0,2,13,9,11	99,103,93,115,121,82,90,155	0,1,3,1,2,1,3,0	539	75	3.63081128596e-05	0.00106185305503	0.907,1.0,0.895,0.48,0.924,0.685,1.0,0.937,0.938,1.0,0.499,0.872,0.749,0.698,0.94,0.83,1.0,0.902,0.7,0.732,0.419	1.0,0.935,0.812,0.941,0.894,0.919,0.807,1.0	-0.099
10	ENSG00000116062	MSH6	chr2	+	47806203	47806651	47806203	47806358	47806451	47806651	10	15,7,9,32,12,12,4,14,10,17,5,14,14,8,9,21,14,31,24,40,14	21,21,10,59,13,14,13,12,14,11,10,16,22,28,20,29,19,12,23,76,17	16,17,22,11,29,17,17,4	11,18,15,6,8,6,15,9	168	75	0.00144480735446	0.0207330891812	0.242,0.13,0.287,0.195,0.292,0.277,0.121,0.342,0.242,0.408,0.182,0.281,0.221,0.113,0.167,0.244,0.248,0.536,0.318,0.19,0.269	0.394,0.297,0.396,0.45,0.618,0.558,0.336,0.166	-0.149
109	ENSG00000166147	FBN1	chr15	-	48427566	48428471	48427566	48427773	48428345	48428471	109	38,24,29,73,55,47,46,42,32,33,37,16,38,35,38,47,46,41,64,46,31	0,1,1,3,6,1,10,2,1,6,12,1,5,2,1,2,2,2,5,1,1	16,14,49,23,36,32,27,29	0,0,0,0,0,0,0,3	647	75	2.99946734117e-11	8.8237271607e-09	1.0,0.736,0.771,0.738,0.515,0.845,0.348,0.709,0.788,0.389,0.263,0.65,0.468,0.67,0.815,0.731,0.727,0.704,0.597,0.842,0.782	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.528	-0.27
114	ENSG00000293434	AHSA2P	chr2	+	61185501	61186497	61185501	61185618	61186445	61186497	114	213,234,231,522,258,463,228,180,320,172,468,177,435,363,137,312,279,272,390,270,123	34,34,57,43,39,29,13,17,30,52,16,20,33,15,74,89,51,35,43,37,20	221,167,267,156,99,151,149,138	57,23,38,48,80,45,28,93	902	75	2.02503817492e-07	1.4784256807e-05	0.342,0.364,0.252,0.502,0.355,0.57,0.593,0.468,0.47,0.216,0.709,0.424,0.523,0.668,0.133,0.226,0.313,0.393,0.43,0.378,0.338	0.244,0.376,0.369,0.213,0.093,0.218,0.307,0.11	0.171
145	ENSG00000103811	CTSH	chr15	-	78931450	78932458	78931450	78932041	78932371	78932458	145	18,20,26,37,38,28,61,37,22,18,103,23,7,11,16,35,30,13,20,16,3	0,7,1,1,4,0,6,3,1,3,20,4,2,1,0,1,1,0,1,6,2	8,6,13,11,19,11,9,32	0,2,0,0,0,0,0,3	405	75	1.21405924747e-06	6.55705466542e-05	1.0,0.346,0.828,0.873,0.638,1.0,0.653,0.695,0.803,0.526,0.488,0.516,0.393,0.671,1.0,0.866,0.847,1.0,0.787,0.331,0.217	1.0,0.357,1.0,1.0,1.0,1.0,1.0,0.664	-0.188
202	ENSG00000174373	RALGAPA1	chr14	-	35688458	35690003	35688458	35688540	35689835	35690003	202	293,282,173,910,489,234,183,251,265,293,158,246,334,536,368,518,303,411,483,2101,424	4,1,5,6,2,2,0,0,0,1,8,5,3,5,2,3,0,4,4,9,3	395,600,421,369,325,407,309,490	4,8,1,5,6,6,4,10	1370	75	0.00458225822951	0.049108005606	0.8,0.939,0.654,0.893,0.93,0.865,1.0,1.0,1.0,0.941,0.52,0.729,0.859,0.854,0.91,0.904,1.0,0.849,0.869,0.927,0.886	0.844,0.804,0.958,0.802,0.748,0.788,0.809,0.728	0.063
204	ENSG00000109065	NAT9	chr17	-	74771959	74772277	74771959	74772039	74772217	74772277	204	30,38,24,24,36,32,51,25,32,51,74,28,43,25,23,26,51,30,36,49,9	1,1,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,8,0	31,23,18,30,48,17,22,48	4,0,3,1,0,0,3,3	253	75	0.0001480852637	0.00332268784209	0.899,0.918,0.877,1.0,1.0,1.0,1.0,0.787,1.0,1.0,1.0,1.0,1.0,1.0,0.773,0.885,1.0,1.0,1.0,0.645,1.0	0.697,1.0,0.64,0.899,1.0,1.0,0.685,0.826	0.099
262	ENSG00000182196	ARL6IP4	chr12	+	122981128	122981879	122981128	122981299	122981594	122981879	262	79,85,99,82,79,74,85,84,56,136,155,60,83,51,51,78,79,66,75,125,34	50,36,30,49,32,28,62,33,24,62,57,38,47,36,19,26,26,20,44,84,13	71,69,49,80,143,40,54,154	43,42,33,56,123,24,29,85	370	75	0.000487837190221	0.00882341333922	0.243,0.324,0.401,0.253,0.334,0.349,0.217,0.34,0.321,0.308,0.355,0.242,0.264,0.223,0.352,0.378,0.381,0.401,0.257,0.232,0.346	0.251,0.25,0.231,0.225,0.191,0.253,0.274,0.269	0.068
264	ENSG00000182196	ARL6IP4	chr12	+	122982468	122982908	122982468	122982538	122982619	122982908	264	32,29,51,34,30,18,42,23,19,45,53,20,35,17,13,23,33,25,29,40,11	107,81,53,113,54,71,128,72,60,105,132,100,98,59,29,72,58,51,92,137,39	26,43,27,33,50,19,32,44	71,33,54,44,185,48,57,67	156	75	0.00444527345794	0.0481707747847	0.126,0.147,0.316,0.126,0.211,0.109,0.136,0.133,0.132,0.171,0.162,0.088,0.147,0.122,0.177,0.133,0.215,0.191,0.132,0.123,0.119	0.15,0.385,0.194,0.265,0.115,0.16,0.213,0.24	-0.062
273	ENSG00000132781	MUTYH	chr1	-	45332762	45333324	45332762	45332834	45333284	45333324	273	34,45,44,53,45,37,45,18,27,46,93,21,37,33,26,34,48,29,35,38,21	1,1,1,0,0,3,1,1,0,2,7,0,4,0,0,0,2,0,1,2,0	32,28,23,45,79,20,13,76	0,0,0,0,0,0,0,0	525	75	0.0025607494173	0.0318961589936	0.829,0.865,0.863,1.0,1.0,0.638,0.865,0.72,1.0,0.767,0.655,1.0,0.569,1.0,1.0,1.0,0.774,1.0,0.833,0.731,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.138
