	gene_id	RI_con1-RI_con2_dPSI	RI_con1-RI_con2_p-val
GABRA1	ENSG00000022355	ENSG00000022355;RI:5:161850597:161850680-161850796:161850884:+	0.1340819303	0.0284715285
CELF2	ENSG00000048740	ENSG00000048740;RI:10:11328926:11329097-11330456:11336675:+	0.1087159826	0.027972028
RPL31	ENSG00000071082	ENSG00000071082;RI:2:101002293:101002315-101002702:101002808:+	-0.0603439661	0.0314685315
ACTB	ENSG00000075624	ENSG00000075624;RI:7:5528281:5528671-5529161:5529400:-	-0.1633973837	0.025974026
RAP1GAP	ENSG00000076864	ENSG00000076864;RI:1:21602804:21602913-21603835:21603912:-	-0.1723536058	0.021978022
OSTM1	ENSG00000081087	ENSG00000081087;RI:6:108041409:108042264-108042567:108044840:-	0.1725477656	0.042957043
BAX	ENSG00000087088	ENSG00000087088;RI:19:48955548:48955599-48955687:48955833:+	0.2271646515	0.040959041
BAX	ENSG00000087088	ENSG00000087088;RI:19:48960810:48960914-48961532:48961798:+	0.2634556757	0.0484515485
ADD1	ENSG00000087274	ENSG00000087274;RI:4:2908515:2908604-2909339:2909431:+	-0.1750236444	0.0284715285
SEPTIN3	ENSG00000100167	ENSG00000100167;RI:22:41994621:41994714-41996902:41998221:+	0.1228750376	0.0074925075
PABPN1	ENSG00000100836	ENSG00000100836;RI:14:23324138:23324289-23325247:23326163:+	0.0728822494	0.0334665335
RBM3	ENSG00000102317	ENSG00000102317;RI:X:48575561:48575667-48575815:48576083:+	0.2087592827	0.0274725275
WFS1	ENSG00000109501	ENSG00000109501;RI:4:6277451:6277521-6277648:6277687:+	-0.1753402547	0.0154845155
ACTR1B	ENSG00000115073	ENSG00000115073;RI:2:97658427:97658643-97658879:97659003:-	0.0650086958	0.037962038
PLEKHM2	ENSG00000116786	ENSG00000116786;RI:1:15727014:15727068-15727192:15727832:+	-0.0634058256	0.044955045
ITGB1BP1	ENSG00000119185	ENSG00000119185;RI:2:9406661:9406905-9407449:9407598:-	0.2271119278	0.010989011
CSNK1D	ENSG00000141551	ENSG00000141551;RI:17:82245976:82246039-82248875:82249014:-	-0.1513937538	0.031968032
KCNMA1	ENSG00000156113	ENSG00000156113;RI:10:76909966:76910096-76914936:76915049:-	0.1139950703	0.041958042
EEF1A1	ENSG00000156508	ENSG00000156508;RI:6:73519337:73519507-73519883:73520056:-	0.1169579964	0.006993007
EIF4A2	ENSG00000156976	ENSG00000156976;RI:3:186784564:186784696-186785883:186786051:+	0.1974395748	0.012987013
RAB26	ENSG00000167964	ENSG00000167964;RI:16:2152820:2152885-2152989:2153222:+	0.3956199602	0.0294705295
RAB26	ENSG00000167964	ENSG00000167964;RI:16:2152989:2153045-2153146:2153222:+	-0.1313028213	0.0294705295
POLR2J3	ENSG00000168255	ENSG00000168255;RI:7:102566997:102567083-102568010:102568184:-	-0.163246957	0.0434565435
EFEMP2	ENSG00000172638	ENSG00000172638;RI:11:65866441:65866712-65866845:65867079:-	-0.2972838106	0.030969031
SH2B1	ENSG00000178188	ENSG00000178188;RI:16:28863843:28863945-28866012:28867033:+	0.2141947265	0.0334665335
ZNF154	ENSG00000179909	ENSG00000179909;RI:19:57697367:57697841-57700988:57701145:-	-0.2334057775	0.047952048
OAZ2	ENSG00000180304	ENSG00000180304;RI:15:64691434:64691514-64691516:64691591:-	0.065298547	0.0484515485
LONP1	ENSG00000196365	ENSG00000196365;RI:19:5719704:5719833-5720043:5720146:-	-0.3100727846	0.014985015
GSTK1	ENSG00000197448	ENSG00000197448;RI:7:143264992:143265092-143265261:143265296:+	0.1533128338	0.047952048
ZNF248	ENSG00000198105	ENSG00000198105;RI:10:37828765:37831312-37833025:37833116:-	0.1879474955	0.0314685315
PWP2	ENSG00000241945	ENSG00000241945;RI:21:44120952:44121102-44122177:44122357:+	-0.3342521991	0.0244755245
PWP2	ENSG00000241945	ENSG00000241945;RI:21:44124580:44124727-44126011:44126119:+	-0.3342521991	0.0244755245
FAM156A	ENSG00000268350	ENSG00000268350;RI:X:52956273:52956346-52958405:52958518:-	0.2345284697	0.026973027
ROCK1P1	ENSG00000290877	ENSG00000290877;RI:18:117043:117304-118297:118504:+	-0.1680797143	0.021978022
	ENSG00000291073	ENSG00000291073;RI:16:21455343:21455507-21455676:21455872:-	-0.0840229706	0.047952048
AHSA2P	ENSG00000293434	ENSG00000293434;RI:2:61185502:61185618-61186446:61186497:+	-0.1159836479	0.0344655345
