ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
341	ENSG00000132740	IGHMBP2	chr11	+	68906068	68906242	68906068	68906238	68908144	68908337	341	0,0,0,0,0,2,0,0,3,0,0,1	4,16,5,5,11,16,17,4,9,8,6,8	0,0,19,0,1,3,1,2,0,1,0,2	7,3,15,8,6,10,5,14,5,8,8,7	104	100	1.48832967184e-06	0.000696538286421	0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.243,0.0,0.0,0.107	0.0,0.0,0.549,0.0,0.138,0.224,0.161,0.121,0.0,0.107,0.0,0.216	-0.088
632	ENSG00000140332	TLE3	chr15	-	70058149	70058291	70058158	70058291	70057458	70057658	632	1,0,4,0,2,4,1,0,2,3,4,0	4,8,22,4,8,20,17,7,4,6,11,7	3,1,11,1,8,3,4,6,4,3,0,3	7,6,3,9,5,6,14,14,3,5,10,12	109	100	0.000301965317281	0.0367064333734	0.187,0.0,0.143,0.0,0.187,0.155,0.051,0.0,0.314,0.314,0.25,0.0	0.282,0.133,0.771,0.093,0.595,0.314,0.208,0.282,0.55,0.355,0.0,0.187	-0.181
744	ENSG00000185880	TRIM69	chr15	+	44756367	44758854	44756367	44756463	44759639	44759662	744	7,9,13,14,13,12,3,3,9,12,5,15	0,0,2,0,0,1,1,0,2,1,0,0	8,1,9,6,7,8,4,14,8,10,4,7	0,0,14,0,0,0,1,2,0,1,2,1	2491	100	9.78731542589e-07	0.000508940402146	1.0,1.0,0.207,1.0,1.0,0.325,0.107,1.0,0.153,0.325,1.0,1.0	1.0,1.0,0.025,1.0,1.0,1.0,0.138,0.219,1.0,0.286,0.074,0.219	0.096
1186	ENSG00000140416	TPM1	chr15	+	63043705	63044152	63043705	63043831	63056984	63057118	1186	14,17,20,9,27,51,40,17,22,28,11,8	0,4,1,0,1,1,0,2,0,1,1,0	30,25,12,31,25,22,44,54,21,31,30,56	1,5,4,1,1,2,3,5,5,3,13,8	421	100	2.93042227151e-08	2.74287524613e-05	1.0,0.502,0.826,1.0,0.865,0.924,1.0,0.669,1.0,0.869,0.723,1.0	0.877,0.543,0.416,0.88,0.856,0.723,0.777,0.72,0.499,0.711,0.354,0.624	0.2
1793	ENSG00000102125	TAFAZZIN	chrX	+	154419542	154419746	154419542	154419623	154420031	154420094	1793	5,4,0,5,13,14,8,5,7,6,2,6	0,1,2,1,2,3,5,0,0,1,2,3	9,4,3,2,11,13,9,4,4,8,7,4	0,1,0,0,0,1,0,0,0,0,0,0	223	100	1.48101065855e-08	1.7327824705e-05	1.0,0.642,0.0,0.692,0.745,0.677,0.418,1.0,1.0,0.729,0.31,0.473	1.0,0.642,1.0,1.0,1.0,0.854,1.0,1.0,1.0,1.0,1.0,1.0	-0.317
1952	ENSG00000115392	FANCL	chr2	-	58226727	58229874	58229813	58229874	58221941	58222042	1952	68,184,32,59,102,64,79,41,33,78,34,86	0,24,1,0,0,0,21,19,10,0,0,1	73,89,128,27,76,128,86,45,85,109,60,74	0,0,0,0,0,2,0,0,1,0,0,0	3186	100	3.81483733491e-12	8.92671936369e-09	1.0,0.194,0.501,1.0,1.0,1.0,0.106,0.063,0.094,1.0,1.0,0.73	1.0,1.0,1.0,1.0,1.0,0.668,1.0,1.0,0.727,1.0,1.0,1.0	-0.309
2232	ENSG00000114388	NPRL2	chr3	-	50349912	50350022	50349930	50350022	50349664	50349833	2232	0,0,3,0,1,0,1,3,0,1,4,0	15,12,10,11,20,16,20,15,10,26,2,13	2,4,15,1,1,5,1,3,2,1,0,0	17,17,0,5,19,18,19,17,8,27,4,29	118	100	0.000432440020654	0.0499708468311	0.0,0.0,0.203,0.0,0.041,0.0,0.041,0.145,0.0,0.032,0.629,0.0	0.091,0.166,1.0,0.145,0.043,0.191,0.043,0.13,0.175,0.03,0.0,0.0	-0.077
2325	ENSG00000148985	PGAP2	chr11	+	3824269	3824376	3824269	3824364	3825019	3825128	2325	0,2,4,3,8,3,9,0,3,3,2,6	1,2,0,1,8,2,2,2,2,4,3,4	11,5,3,6,11,9,10,5,3,7,1,5	0,0,0,1,0,2,5,2,1,1,2,1	112	100	2.84607188771e-05	0.00761120939113	0.0,0.472,1.0,0.728,0.472,0.573,0.801,0.0,0.573,0.401,0.373,0.573	1.0,1.0,1.0,0.843,1.0,0.801,0.641,0.691,0.728,0.862,0.309,0.817	-0.31
2662	ENSG00000033867	SLC4A7	chr3	-	27433915	27434104	27433954	27434104	27424036	27424152	2662	24,18,27,17,23,20,35,13,36,35,9,20	0,0,2,0,2,4,3,0,2,3,1,3	26,35,8,35,15,33,22,31,22,32,15,31	3,9,7,7,3,3,3,3,5,6,6,0	139	100	1.50237557882e-05	0.00484904669578	1.0,1.0,0.907,1.0,0.892,0.782,0.894,1.0,0.928,0.894,0.866,0.827	0.862,0.737,0.451,0.782,0.782,0.888,0.841,0.881,0.76,0.793,0.643,1.0	0.131
3025	ENSG00000223546	LINC00630	chrX	+	102720956	102721091	102720956	102721027	102826968	102827144	3025	2,12,7,5,10,7,17,9,8,6,4,5	1,5,1,0,1,2,0,2,0,5,1,2	5,11,4,2,13,9,12,5,7,6,4,6	0,1,0,1,3,0,0,0,0,1,0,0	164	100	1.65709080546e-06	0.000738589044719	0.549,0.594,0.81,1.0,0.859,0.681,1.0,0.733,1.0,0.423,0.709,0.604	1.0,0.87,1.0,0.549,0.725,1.0,1.0,1.0,1.0,0.785,1.0,1.0	-0.164
3110	ENSG00000170581	STAT2	chr12	-	56349344	56349509	56349425	56349509	56348751	56348851	3110	6,24,21,2,13,9,6,12,4,15,3,10	0,1,9,2,5,2,0,1,1,2,1,1	6,10,9,7,15,18,9,15,6,6,2,5	2,0,0,1,0,0,2,0,1,2,1,0	181	100	1.43156945359e-05	0.00484904669578	1.0,0.93,0.563,0.356,0.59,0.713,1.0,0.869,0.688,0.806,0.624,0.847	0.624,1.0,1.0,0.795,1.0,1.0,0.713,1.0,0.768,0.624,0.525,1.0	-0.089
4186	ENSG00000255717	SNHG1	chr11	-	62854017	62854551	62854518	62854551	62853551	62853833	4186	18,26,30,10,27,19,28,15,10,22,11,18	1,0,23,0,0,0,4,1,0,2,0,0	15,17,6,9,12,20,23,13,28,25,13,36	0,0,0,0,0,0,1,0,1,0,0,0	601	100	6.57921235607e-05	0.0128294640943	0.75,1.0,0.178,1.0,1.0,1.0,0.538,0.714,1.0,0.647,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.793,1.0,0.823,1.0,1.0,1.0	-0.149
4353	ENSG00000119682	AREL1	chr14	-	74669946	74670871	74670761	74670871	74669648	74669774	4353	34,39,46,24,59,64,62,33,46,58,26,56	0,0,7,0,2,4,4,2,1,2,1,4	41,42,82,35,44,43,65,59,40,55,30,38	2,0,0,5,0,2,2,2,0,0,0,0	915	100	0.000212509896286	0.0284156089891	1.0,1.0,0.418,1.0,0.763,0.636,0.629,0.643,0.834,0.76,0.74,0.605	0.691,1.0,1.0,0.433,1.0,0.701,0.78,0.763,1.0,1.0,1.0,1.0	-0.112
4661	ENSG00000226717	PTPRD-DT	chr9	+	10613206	10613443	10613206	10613426	10616616	10616669	4661	8,7,11,3,10,13,14,5,8,19,2,5	2,3,11,3,12,14,13,2,10,3,6,9	0,5,0,3,0,2,8,9,8,11,0,4	7,8,54,13,5,1,15,9,8,12,3,5	117	100	9.94535246224e-05	0.0172386109345	0.774,0.666,0.461,0.461,0.416,0.442,0.479,0.681,0.406,0.844,0.222,0.322	0.0,0.348,0.0,0.165,0.0,0.631,0.313,0.461,0.461,0.439,0.0,0.406	0.246
4869	ENSG00000138035	PNPT1	chr2	-	55644636	55645432	55645348	55645432	55643318	55643425	4869	42,99,49,34,57,62,55,51,34,41,27,47	2,2,1,0,3,1,1,0,0,0,0,0	29,56,65,31,34,71,31,40,44,62,26,59	0,0,36,1,1,0,0,4,2,2,0,2	812	100	1.28966012869e-07	8.6222991461e-05	0.721,0.859,0.858,1.0,0.701,0.884,0.871,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.182,0.792,0.807,1.0,1.0,0.552,0.73,0.792,1.0,0.784	0.105
4934	ENSG00000132424	PNISR	chr6	-	99403828	99404702	99404602	99404702	99402539	99402710	4934	51,184,86,44,114,120,92,56,97,124,77,66	2,1,24,1,1,5,2,1,3,2,0,2	95,86,89,84,89,71,108,155,89,97,69,84	0,0,0,0,1,1,1,1,0,2,0,1	874	100	3.10917958046e-12	8.92671936369e-09	0.745,0.955,0.291,0.834,0.929,0.733,0.84,0.865,0.787,0.876,1.0,0.791	1.0,1.0,1.0,1.0,0.911,0.89,0.925,0.947,1.0,0.847,1.0,0.906	-0.148
5509	ENSG00000196305	IARS1	chr9	-	92286535	92287910	92287790	92287910	92285721	92285839	5509	117,96,70,124,121,157,133,74,116,169,45,98	0,4,11,5,3,2,2,1,2,1,0,4	100,109,182,95,91,128,103,59,110,148,67,118	0,2,0,0,0,3,2,1,1,0,2,3	1355	100	6.52218735904e-05	0.0128294640943	1.0,0.639,0.32,0.647,0.749,0.853,0.831,0.845,0.811,0.926,1.0,0.644	1.0,0.801,1.0,1.0,1.0,0.759,0.792,0.813,0.89,1.0,0.712,0.744	-0.104
5799	ENSG00000144061	NPHP1	chr2	-	110164519	110164730	110164687	110164730	110163047	110163132	5799	2,3,4,0,3,7,5,5,5,7,1,6	2,4,1,2,2,3,3,2,2,3,1,0	7,6,26,6,1,4,7,10,2,9,1,5	1,2,0,1,0,2,1,0,2,1,0,2	268	100	3.41416770664e-05	0.00840963414057	0.272,0.219,0.599,0.0,0.359,0.465,0.383,0.483,0.483,0.465,0.272,1.0	0.723,0.528,1.0,0.691,1.0,0.427,0.723,1.0,0.272,0.771,1.0,0.483	-0.302
6525	ENSG00000293495	C19orf48P	chr19	-	50799271	50799357	50799293	50799357	50797703	50798958	6525	0,2,2,3,3,1,9,0,2,5,0,2	8,10,24,7,17,24,12,5,11,10,9,10	1,0,0,0,2,1,1,0,0,0,6,1	4,5,10,4,10,11,15,17,7,12,16,24	122	100	1.31983750729e-06	0.00065019363517	0.0,0.141,0.064,0.26,0.126,0.033,0.381,0.0,0.13,0.291,0.0,0.141	0.17,0.0,0.0,0.0,0.141,0.069,0.052,0.0,0.0,0.0,0.235,0.033	0.072
6532	ENSG00000154328	NEIL2	chr8	+	11769709	11770335	11769709	11769791	11771445	11771585	6532	14,5,17,9,14,18,17,7,10,22,6,16	18,18,26,12,28,34,26,22,23,26,17,20	18,10,63,8,17,17,14,23,19,27,5,20	23,11,21,6,27,14,26,17,8,19,34,23	644	100	0.000248855945268	0.0314769141582	0.108,0.041,0.092,0.104,0.072,0.076,0.092,0.047,0.063,0.116,0.052,0.11	0.108,0.124,0.318,0.172,0.089,0.159,0.077,0.174,0.269,0.181,0.022,0.119	-0.07
6790	ENSG00000250303	LINC02762	chr11	+	112291319	112292779	112291319	112291405	112293726	112294119	6790	3,4,5,2,1,5,5,6,2,3,8,8	0,1,0,0,0,1,3,2,0,2,2,0	5,4,32,5,1,3,5,9,7,5,5,4	0,0,0,0,1,2,0,0,0,2,0,1	1474	100	4.96470608902e-06	0.00202041952144	1.0,0.213,1.0,1.0,1.0,0.253,0.102,0.169,1.0,0.092,0.213,1.0	1.0,1.0,1.0,1.0,0.064,0.092,1.0,1.0,1.0,0.145,1.0,0.213	-0.123
7066	ENSG00000008128	CDK11A	chr1	-	1722587	1722831	1722707	1722831	1721595	1721711	7066	1,9,2,4,3,1,1,1,0,1,0,1	8,20,13,7,11,10,9,5,9,21,5,8	0,0,0,0,0,0,0,0,0,1,0,0	6,10,15,11,9,15,9,14,9,10,6,15	220	100	0.000109132317663	0.0173131948021	0.054,0.17,0.065,0.206,0.11,0.043,0.048,0.083,0.0,0.021,0.0,0.054	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0	0.068
7427	ENSG00000117308	GALE	chr1	-	23796508	23796782	23796696	23796782	23796150	23796265	7427	20,11,12,25,31,32,29,18,35,29,7,25	1,0,3,0,1,1,0,0,2,0,0,2	27,17,30,13,14,13,23,9,19,17,11,34	1,0,36,3,1,0,1,1,1,0,1,1	288	100	5.80500656658e-05	0.0120744136585	0.874,1.0,0.581,1.0,0.915,0.917,1.0,1.0,0.859,1.0,1.0,0.813	0.904,1.0,0.224,0.601,0.829,1.0,0.889,0.758,0.868,1.0,0.793,0.922	0.098
