	gene_id	AL_con1-AL_con2_dPSI	AL_con1-AL_con2_p-val
TMEM132A	ENSG00000006118	ENSG00000006118;AL:11:60924733-60925208:60925707:60924733-60926579:60926631:+	-0.1346470072	0.037962038
DNAJC11	ENSG00000007923	ENSG00000007923;AL:1:6652650:6654039-6667709:6654108:6654287-6667709:-	0.427381899	0.0114885115
DNAJC11	ENSG00000007923	ENSG00000007923;AL:1:6653809:6654039-6667709:6654108:6654287-6667709:-	0.2554455448	0.0114885115
FHL1	ENSG00000022267	ENSG00000022267;AL:X:136208641-136209243:136209335:136208641-136209871:136209954:+	0.4475372498	0.0374625375
FHL1	ENSG00000022267	ENSG00000022267;AL:X:136208641-136209243:136209335:136208641-136209871:136210257:+	0.5292095022	0.02997003
FHL1	ENSG00000022267	ENSG00000022267;AL:X:136208641-136209243:136209335:136208641-136209871:136210272:+	0.3973748488	0.0374625375
FHL1	ENSG00000022267	ENSG00000022267;AL:X:136208641-136209243:136209335:136208641-136209871:136211349:+	0.4836164013	0.02997003
RNF10	ENSG00000022840	ENSG00000022840;AL:12:120560886-120562945:120563224:120560886-120563347:120563373:+	0.3958708504	0.0144855145
ELOVL1	ENSG00000066322	ENSG00000066322;AL:1:43363771:43364137-43364738:43364542:43364647-43364738:-	0.3457863245	0.047952048
ELOVL1	ENSG00000066322	ENSG00000066322;AL:1:43363771:43364137-43364738:43364544:43364647-43364738:-	0.1991778672	0.047952048
IFT80	ENSG00000068885	ENSG00000068885;AL:3:160366083:160366152-160375812:160373492:160373672-160375812:-	0.3293287575	0.036963037
PDCD2	ENSG00000071994	ENSG00000071994;AL:6:170575295:170577717-170578857:170578507:170578656-170578857:-	-0.4452051234	0.0194805195
PDCD2	ENSG00000071994	ENSG00000071994;AL:6:170575328:170577717-170578857:170578507:170578656-170578857:-	-0.4851734849	0.0194805195
PDCD2	ENSG00000071994	ENSG00000071994;AL:6:170577436:170577717-170578857:170578507:170578656-170578857:-	-0.3314487371	0.0194805195
PDCD2	ENSG00000071994	ENSG00000071994;AL:6:170577559:170577717-170578857:170578507:170578656-170578857:-	-0.1761787386	0.0263736264
PDCD2	ENSG00000071994	ENSG00000071994;AL:6:170577594:170577717-170578857:170578507:170578656-170578857:-	-0.6666666667	0.0194805195
ZFAND6	ENSG00000086666	ENSG00000086666;AL:15:80122800-80131180:80131233:80122800-80137480:80137560:+	0.5189549692	0.010989011
ZFAND6	ENSG00000086666	ENSG00000086666;AL:15:80122800-80131180:80131517:80122800-80137480:80137560:+	0.4047569591	0.011988012
OGFOD1	ENSG00000087263	ENSG00000087263;AL:16:56458594-56462534:56462628:56458594-56466152:56466268:+	0.1183608527	0.0084915085
CCNK	ENSG00000090061	ENSG00000090061;AL:14:99507147-99510157:99512440:99507147-99534664:99535044:+	0.0635099546	0.042957043
ZNF268	ENSG00000090612	ENSG00000090612;AL:12:133182030-133187872:133188153:133182030-133202144:133205121:+	-0.4445873043	0.027972028
NRCAM	ENSG00000091129	ENSG00000091129;AL:7:108150049:108150147-108159463:108156387:108156448-108159463:-	0.4125899447	0.044955045
CREM	ENSG00000095794	ENSG00000095794;AL:10:35207051-35211254:35211398:35207051-35211656:35211758:+	-0.2667605779	0.04995005
CREM	ENSG00000095794	ENSG00000095794;AL:10:35207051-35211254:35211398:35207051-35211656:35211853:+	-0.3048840496	0.04995005
CREM	ENSG00000095794	ENSG00000095794;AL:10:35207051-35211254:35211398:35207051-35211656:35211860:+	-0.2918063334	0.04995005
CREM	ENSG00000095794	ENSG00000095794;AL:10:35207051-35211254:35211398:35207051-35211656:35211876:+	-0.3734493896	0.04995005
CREM	ENSG00000095794	ENSG00000095794;AL:10:35207051-35211254:35211398:35207051-35211656:35212125:+	-0.3868527288	0.04995005
