groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Con1	Con2	log2fold_Con2_Con1	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.SRR12582120_Aligned.sortedByCoord.out	countData.SRR12582121_Aligned.sortedByCoord.out	countData.SRR12582122_Aligned.sortedByCoord.out	countData.SRR12582123_Aligned.sortedByCoord.out	countData.SRR12582124_Aligned.sortedByCoord.out	countData.SRR12582125_Aligned.sortedByCoord.out	countData.SRR12582126_Aligned.sortedByCoord.out	countData.SRR12582127_Aligned.sortedByCoord.out	countData.SRR12582128_Aligned.sortedByCoord.out	countData.SRR12582129_Aligned.sortedByCoord.out	countData.SRR12582130_Aligned.sortedByCoord.out	countData.SRR12582131_Aligned.sortedByCoord.out	countData.SRR12582132_Aligned.sortedByCoord.out	countData.SRR12582133_Aligned.sortedByCoord.out	countData.SRR12582134_Aligned.sortedByCoord.out	countData.SRR12582135_Aligned.sortedByCoord.out	countData.SRR12582136_Aligned.sortedByCoord.out	countData.SRR12582137_Aligned.sortedByCoord.out	countData.SRR12582138_Aligned.sortedByCoord.out	countData.SRR12582139_Aligned.sortedByCoord.out	countData.SRR12582140_Aligned.sortedByCoord.out	countData.SRR12582145_Aligned.sortedByCoord.out	countData.SRR12582146_Aligned.sortedByCoord.out	countData.SRR12582147_Aligned.sortedByCoord.out	countData.SRR12582148_Aligned.sortedByCoord.out	countData.SRR12582149_Aligned.sortedByCoord.out	countData.SRR12582150_Aligned.sortedByCoord.out	countData.SRR12582151_Aligned.sortedByCoord.out	countData.SRR12582152_Aligned.sortedByCoord.out
ENSG00000000971	E016	17.0099992803205	0.0322633194611037	16.5180119979769	4.81901057276252e-05	0.0148548906891032	1.09371533137219	1.31470295692611	0.783676581489598	1	196696050	196697320	1271	+	4	6	17	17	31	8	15	3	15	24	23	20	16	100	8	8	24	11	37	11	19	10	17	16	18	9	10	6	10
ENSG00000001631	E033	39.6615255560065	0.00324405101787942	25.3941357662871	4.67336608359675e-07	0.000758059220764676	1.64370671004627	1.48587371585021	-0.539080002193929	7	92234924	92235402	479	-	38	32	35	88	50	52	28	32	63	32	34	40	58	47	53	50	48	48	74	60	22	46	41	37	34	18	21	19	20
ENSG00000002016	E010	9.73957089984243	0.00888341044714265	12.9805045175332	0.000314751143701377	0.0421173896590282	0.973367648293142	1.1610038606161	0.682307495287214	12	913894	914121	228	-	11	5	7	10	9	8	6	7	5	13	13	8	12	7	7	7	9	6	16	15	2	6	21	11	15	20	13	8	19
ENSG00000002834	E004	20.4868807778082	0.00763052312823477	16.9830007833346	3.77159947499e-05	0.0127821130341156	1.31041924214428	1.4122760244114	0.353795318393903	17	38870061	38870258	198	+	20	14	24	19	14	18	21	12	11	23	37	11	19	10	9	11	15	28	44	66	18	35	16	20	19	34	20	23	33
ENSG00000003393	E046	3.87411261647363	0.0148624056497278	13.6880043732577	0.000215828698535479	0.03473476155328	0.597803213697614	0.867552563701018	1.10554309714791	2	201720129	201720442	314	-	0	7	3	4	2	3	0	1	2	5	1	3	5	4	1	5	5	2	9	5	2	7	4	9	6	7	9	6	2
ENSG00000004455	E001	42.0924207436673	0.0174532573027578	20.9558045389466	4.70001595589953e-06	0.00354526704810364	1.57311964356825	1.76270000888091	0.643716087702624	1	33007986	33008886	901	-	37	31	34	77	40	40	24	13	21	46	57	32	53	62	26	47	27	40	39	62	24	51	69	41	58	76	54	35	68
ENSG00000004534	E037	37.8801595038242	0.0499925137236401	15.6009557928778	7.82150426385587e-05	0.019655757965188	1.65028070299071	1.40098527116703	-0.853971626950826	3	50058563	50058915	353	+	42	49	39	55	36	74	47	48	36	63	87	42	50	35	39	43	57	23	43	16	7	24	16	23	32	54	10	7	36
ENSG00000004777	E035	5.08748860468111	0.0361904240048334	13.0880236410857	0.000297189737622381	0.0408386476355276	0.712444827282703	0.929836561406741	0.85272352914616	19	35784953	35785106	154	+	7	5	4	3	2	6	3	3	3	8	13	3	8	3	4	4	2	5	4	5	0	4	13	4	7	16	6	3	7
ENSG00000004777	E044	206.680903508552	0.0195106527035801	18.4605120956819	1.73461361402157e-05	0.0080478875695259	2.34904248651299	2.21490861629427	-0.447932597021126	19	35787644	35788704	1061	+	306	308	279	225	114	220	191	155	237	298	289	199	255	251	138	184	185	255	403	509	111	167	120	167	203	246	126	109	162
ENSG00000005007	E005	12.2247658937869	0.0125485645978262	18.4679570244019	1.72785048543498e-05	0.00803405105473821	1.05958998015244	1.25648129594014	0.70342801418166	19	18845980	18846119	140	+	11	11	12	16	9	6	10	6	10	21	24	6	12	7	8	11	9	10	13	15	4	20	12	15	20	28	7	8	31
ENSG00000005100	E006	10.5958722601795	0.0171712560656877	17.4153070217324	3.00397084024114e-05	0.0112146191588423	1.02514359266519	1.20371868598834	0.643029416734276	17	5450203	5450406	204	-	6	9	10	19	5	7	9	4	8	10	9	4	8	3	4	10	8	13	26	37	8	12	18	23	17	19	9	12	13
ENSG00000005339	E005	16.8143647756083	0.0256172511190727	12.7634123535513	0.000353465479035591	0.044863057311848	1.20554708307523	1.37137142564021	0.580959498415423	16	3731251	3731473	223	-	12	13	13	14	6	18	21	7	11	22	32	11	13	11	13	9	12	9	31	42	11	25	10	20	23	35	22	21	32
ENSG00000005379	E026	7.34671878336105	0.0546160560068674	12.7674290954518	0.000352707267091012	0.0448210519995083	1.00810482175813	0.686314145606524	-1.25255594462814	17	58307842	58307941	100	-	20	5	15	4	4	7	7	6	8	16	30	15	4	6	4	6	10	5	11	3	0	3	2	2	6	7	3	3	8
ENSG00000005379	E037	216.400294850418	0.00909971863235638	16.7931170048345	4.16842244257595e-05	0.0136480830522387	2.38432620310682	2.28072875860057	-0.345754944916941	17	58312217	58312722	506	-	274	265	331	188	171	165	242	151	170	372	436	234	172	129	135	155	252	237	383	397	82	257	146	163	227	313	130	172	270
ENSG00000005379	E054	13.5195855463966	0.0218602669341574	18.8750864977441	1.39563517997367e-05	0.00701093868317126	1.0818243678162	1.31436823353432	0.825523501083817	17	58326683	58326790	108	-	8	14	17	7	9	9	11	11	11	33	11	9	8	9	7	2	12	14	13	10	1	20	19	12	29	30	14	28	21
ENSG00000005436	E019	14.4743639567546	0.0258566755785217	12.8436669144495	0.000338623367892555	0.0437683061518203	1.12620646734594	1.30583657485771	0.635687028139557	2	75689026	75689225	200	-	12	13	3	12	15	23	5	7	18	9	1	11	12	14	11	15	15	15	27	25	22	14	23	25	17	19	22	18	13
