	gene_id	MX_con1-MX_con2_dPSI	MX_con1-MX_con2_p-val
M6PR	ENSG00000003056	ENSG00000003056;MX:12:8941940-8942416:8942542-8945418:8941940-8943801:8943910-8945418:-	-0.4707129883	0.02997003
HFE	ENSG00000010704	ENSG00000010704;MX:6:26087516-26090841:26091192-26093119:26087516-26092685:26093026-26093119:+	-0.75	0.0054945055
UBR2	ENSG00000024048	ENSG00000024048;MX:6:42616090-42617240:42617338-42632552:42616090-42617409:42617507-42632552:+	0.1933643414	0.0444555445
GNAO1	ENSG00000087258	ENSG00000087258;MX:16:56276072-56328631:56328791-56336731:56276072-56334729:56334857-56336731:+	0.2305660253	0.024975025
BCL2L13	ENSG00000099968	ENSG00000099968;MX:22:17655832-17683214:17683321-17726677:17655832-17702243:17702386-17726677:+	0.4116708872	0.007992008
GBF1	ENSG00000107862	ENSG00000107862;MX:10:102260116-102284953:102285070-102344051:102260116-102332408:102332526-102344051:+	0.5415482727	0.046953047
GBF1	ENSG00000107862	ENSG00000107862;MX:10:102260116-102284953:102285070-102344051:102260116-102335563:102335743-102344051:+	0.6002289792	0.046953047
GBF1	ENSG00000107862	ENSG00000107862;MX:10:102260116-102314331:102314424-102344051:102260116-102335563:102335743-102344051:+	0.4576517083	0.046953047
CLTA	ENSG00000122705	ENSG00000122705;MX:9:36204179-36209267:36209320-36211603:36204179-36210625:36210660-36211603:+	-0.5479578852	0.017982018
HNRNPR	ENSG00000125944	ENSG00000125944;MX:1:23321663-23323556:23323732-23337754:23321663-23333518:23333631-23337754:-	0.2902489517	0.0454545455
ADAM10	ENSG00000137845	ENSG00000137845;MX:15:58665197-58682196:58682314-58717577:58665197-58698280:58698404-58717577:-	0.3415126476	0.0174825175
SUOX	ENSG00000139531	ENSG00000139531;MX:12:55997723-55999333:55999590-56002212:55997723-56001886:56001948-56002212:+	0.4747978461	0.035964036
APP	ENSG00000142192	ENSG00000142192;MX:21:25982477-25997360:25997416-26021840:25982477-26000015:26000182-26021840:-	-0.1398281748	0.0454545455
ACP1	ENSG00000143727	ENSG00000143727;MX:2:271939-272037:272150-275140:271939-272192:272305-275140:+	-0.1915503439	0.0444555445
ACOX1	ENSG00000161533	ENSG00000161533;MX:17:75957566-75960215:75960375-75978534:75957566-75973625:75973785-75978534:-	-0.3098947395	0.03996004
CADPS	ENSG00000163618	ENSG00000163618;MX:3:62499268-62512751:62512768-62516059:62499268-62513638:62513706-62516059:-	-0.2391887515	0.047952048
GYPE	ENSG00000197465	ENSG00000197465;MX:4:143872252-143873357:143873475-143880411:143872252-143876746:143876855-143880411:-	-0.1974886684	0.0444555445
CCDC180	ENSG00000197816	ENSG00000197816;MX:9:97330767-97343340:97343563-97350409:97330767-97349111:97349291-97350409:+	0.3211946004	0.048951049
FBXO16	ENSG00000214050	ENSG00000214050;MX:8:28463818-28473772:28473807-28490186:28463818-28483348:28483462-28490186:-	0.2128355624	0.042957043
CYTOR	ENSG00000222041	ENSG00000222041;MX:2:87455645-87472740:87472885-87521207:87455645-87480223:87480607-87521207:+	-0.3901471761	0.0424575425
LINC02935	ENSG00000225292	ENSG00000225292;MX:10:112891072-112905977:112906213-112944259:112891072-112941079:112941159-112944259:+	-0.5024622112	0.0404595405
CYP4F26P	ENSG00000226562	ENSG00000226562;MX:9:33603550-33604297:33604403-33605011:33603550-33604480:33604570-33605011:+	0.4288205838	0.0344655345
	ENSG00000232451	ENSG00000232451;MX:2:23018754-23018980:23019046-23090747:23018754-23042862:23042961-23090747:-	0.4172572017	0.043956044
EPM2A-DT	ENSG00000235652	ENSG00000235652;MX:6:145815431-145828361:145828420-145883205:145815431-145881579:145881648-145883205:+	-0.3740905694	0.0354645355
LINC01410	ENSG00000238113	ENSG00000238113;MX:9:62804140-62811400:62811589-62812818:62804140-62811939:62812075-62812818:+	-0.3902310476	0.013986014
COPB2-DT	ENSG00000248932	ENSG00000248932;MX:3:139389933-139390318:139390429-139423016:139389933-139419557:139419680-139423016:+	-0.4562613189	0.033966034
MRPS30-DT	ENSG00000251141	ENSG00000251141;MX:5:44777328-44777909:44777992-44786826:44777328-44785049:44785181-44786826:-	-0.6706256817	0.02997003
	ENSG00000283782	ENSG00000283782;MX:5:132592034-132594869:132595044-132595573:132592034-132595104:132595201-132595573:+	0.243185533	0.043956044
	ENSG00000291207	ENSG00000291207;MX:7:45728313-45728832:45729026-45736787:45728313-45735607:45735670-45736787:-	-0.5226641445	0.0114885115
PRORSD1P	ENSG00000293422	ENSG00000293422;MX:2:55314251-55329422:55329519-55345357:55314251-55339851:55339974-55345357:+	0.4143567968	0.03996004
	ENSG00000294970	ENSG00000294970;MX:16:13649251-13665531:13665648-13702601:13649251-13673700:13673833-13702601:-	0.2748232011	0.040959041
	ENSG00000308681	ENSG00000308681;MX:X:150013648-150014121:150014237-150017264:150013648-150016058:150016439-150017264:-	-0.373061738	0.0464535465
