gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Condition_1_mean_psi	Condition_2_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
FIRRM	ENSG00000000460	gene:ENSG00000000460:s:169798857-169798958	0.1117;-0.1117	6.923e-01;6.923e-01	6.233e-02;6.233e-02	0.4509;0.5491	0.6099;0.3901	s|1e1.1o1|1e2.1o1	2	3	0;0	1	+	169798958-169800883;169798958-169802621	169798857-169798958;169800883-169800971;169802621-169802725	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169802725-169798857
FIRRM	ENSG00000000460	gene:ENSG00000000460:t:169798857-169798958	-0.0641;0.0641	5.593e-01;5.593e-01	1.393e-01;1.393e-01	0.3084;0.6916	0.1998;0.8002	t|1e2.1o1|2e1.1o1	2	3	0;0	1	+	169795983-169798857;169795213-169798919	169795040-169795213;169795409-169795983;169798857-169798958	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169798958-169795040
STPG1	ENSG00000001460	gene:ENSG00000001460:t:24383867-24384003	-0.2240;0.2240	9.071e-01;9.071e-01	8.279e-03;8.279e-03	0.7989;0.2011	0.5469;0.4531	t|1e1.1o1|1e2.1o1	2	3	0;0	1	-	24384003-24401319;24384003-24391561	24383867-24384003;24391203-24391679;24401079-24401456	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A24401456-24383867
KRIT1	ENSG00000001631	gene:ENSG00000001631:s:92244902-92245171	-0.1741;0.1741	9.045e-01;9.045e-01	1.449e-02;1.449e-02	0.5409;0.4591	0.3379;0.6621	s|1e1.1o1|1e2.1o1	2	3	0;0	7	-	92244149-92244902;92242137-92244902	92242034-92242164;92244002-92244149;92244902-92245171	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A92245171-92242034
KRIT1	ENSG00000001631	gene:ENSG00000001631:t:92242034-92242164	0.0028;-0.0988;0.1424;-0.0390	3.312e-02;7.144e-01;8.524e-01;4.680e-01	9.366e-01;8.287e-02;2.935e-02;2.486e-01	0.0127;0.2888;0.3138;0.3760	0.0293;0.1741;0.4793;0.3205	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	0;0;0;0	7	-	92242137-92245465;92242137-92245427;92242137-92244902;92242137-92244002	92242034-92242164;92244002-92244149;92244902-92245171;92245427-92245759	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A92245759-92242034
RAD52	ENSG00000002016	gene:ENSG00000002016:s:914411-914532	0.0566;-0.0566	5.381e-01;5.381e-01	2.418e-01;2.418e-01	0.8877;0.1123	0.9556;0.0444	s|1e1.1o1|2e1.1o1	2	2	0;0	12	-	914121-914431;914121-914411	913892-914198;914411-914532	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=12%3A914532-913892
RAD52	ENSG00000002016	gene:ENSG00000002016:s:916639-916820	-0.0835;-0.0709;0.1747	6.032e-01;5.640e-01;8.109e-01	1.070e-01;1.222e-01;2.193e-02	0.2497;0.3490;0.3933	0.1353;0.2596;0.5992	s|1e1.1o3|1e1.2o3|1e1.3o3	3	2	0;0;0	12	-	916535-916639;916532-916639;916483-916639	916206-916582;916639-916820	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=12%3A916820-916206
HECW1	ENSG00000002746	gene:ENSG00000002746:s:43113741-43114391	0.1400;-0.1400	7.482e-01;7.482e-01	3.872e-02;3.872e-02	0.6231;0.3769	0.8031;0.1969	s|1e1.1o1|1e2.1o1	2	3	0;0	7	+	43114391-43243875;43114391-43311763	43113741-43114391;43243875-43243932;43311763-43312087	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A43312087-43113741
HECW1	ENSG00000002746	gene:ENSG00000002746:t:43243875-43243932	0.0933;-0.0933	6.573e-01;6.573e-01	9.015e-02;9.015e-02	0.4556;0.5444	0.5943;0.4057	t|1e1.1o1|1e2.1o1	2	3	0;0	7	+	43112937-43243875;43114391-43243875	43112629-43112937;43113741-43114391;43243875-43243932	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A43243932-43112629
HECW1	ENSG00000002746	gene:ENSG00000002746:t:43311763-43312087	0.0536;-0.1132;0.0287;0.0056	5.133e-01;8.232e-01;3.795e-01;2.022e-01	2.181e-01;5.056e-02;3.476e-01;6.916e-01	0.1972;0.1904;0.5547;0.0477	0.2751;0.0656;0.6079;0.0569	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	7	+	43112937-43311763;43114391-43311763;43243932-43311763;43249479-43311763	43112629-43112937;43113741-43114391;43243875-43243932;43248936-43249479;43311763-43312087	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A43312087-43112629
ICA1	ENSG00000003147	gene:ENSG00000003147:s:8235910-8236005	-0.1261;0.1261	7.927e-01;7.927e-01	4.445e-02;4.445e-02	0.8617;0.1383	0.7094;0.2906	s|1e1.1o2|1e1.2o2	2	2	0;0	7	-	8232755-8235910;8232752-8235910	8232590-8232755;8235910-8236005	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A8236005-8232590
ICA1	ENSG00000003147	gene:ENSG00000003147:t:8141765-8141817	-0.3888;0.3888	9.982e-01;9.982e-01	8.566e-05;8.566e-05	0.9210;0.0790	0.5274;0.4726	t|1e1.1o1|1e2.1o1	2	3	0;0	7	-	8141817-8143875;8141817-8141969	8141765-8141817;8141969-8142055;8143875-8143972	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A8143972-8141765
