	gene_id	RI_con1-RI_con2_dPSI	RI_con1-RI_con2_p-val
CAPN1	ENSG00000014216	ENSG00000014216;RI:11:65209849:65209917-65210018:65210096:+	-0.062383429	0.02997003
PTPRN	ENSG00000054356	ENSG00000054356;RI:2:219294975:219295028-219296226:219296345:-	0.2588072406	0.013986014
TAF11	ENSG00000064995	ENSG00000064995;RI:6:34879967:34880063-34880289:34880376:-	-0.0903372083	0.046953047
PABPC1	ENSG00000070756	ENSG00000070756;RI:8:100717773:100717888-100718231:100718280:-	0.1343340412	0.0184815185
NFE2L1	ENSG00000082641	ENSG00000082641;RI:17:48050607:48050819-48051117:48051628:+	0.0848980667	0.010989011
ADD1	ENSG00000087274	ENSG00000087274;RI:4:2908515:2908604-2909339:2909431:+	-0.0817036094	0.0394605395
CIRBP	ENSG00000099622	ENSG00000099622;RI:19:1271981:1272051-1274307:1274440:+	0.1809971493	0.021978022
CIRBP	ENSG00000099622	ENSG00000099622;RI:19:1271981:1274440-1274649:1274810:+	-0.2005800734	0.021978022
PICK1	ENSG00000100151	ENSG00000100151;RI:22:38073773:38073823-38074307:38074451:+	-0.0678287362	0.030969031
SRSF5	ENSG00000100650	ENSG00000100650;RI:14:69768798:69768896-69769182:69770540:+	-0.1481177005	0.030969031
SRSF5	ENSG00000100650	ENSG00000100650;RI:14:69768798:69769251-69770467:69770540:+	-0.1325087064	0.030969031
SRSF5	ENSG00000100650	ENSG00000100650;RI:14:69769182:69769251-69770467:69770540:+	-0.0510241213	0.0352147852
SRSF5	ENSG00000100650	ENSG00000100650;RI:14:69771194:69771544-69771917:69772005:+	0.0976802331	0.030969031
EEF1A2	ENSG00000101210	ENSG00000101210;RI:20:63488014:63488152-63488340:63488425:-	-0.0802006999	0.011988012
DYRK1B	ENSG00000105204	ENSG00000105204;RI:19:39826672:39826867-39826952:39826987:-	-0.0904976302	0.0374625375
ABCB6	ENSG00000115657	ENSG00000115657;RI:2:219210381:219210475-219210711:219210823:-	-0.0593982437	0.0484515485
RSRP1	ENSG00000117616	ENSG00000117616;RI:1:25243550:25243633-25245150:25245301:-	0.1372972489	0.044955045
HSPH1	ENSG00000120694	ENSG00000120694;RI:13:31136625:31137117-31137368:31137524:-	0.1047441712	0.016983017
ADGRB2	ENSG00000121753	ENSG00000121753;RI:1:31735183:31735281-31735580:31735665:-	-0.0551462786	0.0374625375
OCRL	ENSG00000122126	ENSG00000122126;RI:X:129553236:129553273-129554394:129554446:+	-0.2385310733	0.027972028
LRP1	ENSG00000123384	ENSG00000123384;RI:12:57204627:57204749-57205109:57205249:+	-0.0734011309	0.026973027
LRP1	ENSG00000123384	ENSG00000123384;RI:12:57208038:57208216-57208711:57208817:+	-0.0736083859	0.026973027
ARHGEF9	ENSG00000131089	ENSG00000131089;RI:X:63635003:63636917-63638050:63638209:-	0.148118107	0.0144855145
KCNC3	ENSG00000131398	ENSG00000131398;RI:19:50311937:50314990-50316033:50316091:-	-0.1473732431	0.01998002
ARHGEF4	ENSG00000136002	ENSG00000136002;RI:2:131041230:131041462-131041815:131041944:+	-0.0607215977	0.026973027
VAMP1	ENSG00000139190	ENSG00000139190;RI:12:6462237:6464486-6464890:6464941:-	-0.0529017171	0.025974026
SCRN2	ENSG00000141295	ENSG00000141295;RI:17:47837692:47838002-47838270:47838450:-	-0.1135101739	0.0334665335
NARF	ENSG00000141562	ENSG00000141562;RI:17:82483716:82483779-82484813:82484950:+	-0.0633173059	0.0304695305
ILF2	ENSG00000143621	ENSG00000143621;RI:1:153663019:153663133-153663215:153663276:-	-0.0628208501	0.028971029
PRPS1	ENSG00000147224	ENSG00000147224;RI:X:107649940:107650522-107650578:107651026:+	0.060816212	0.0394605395
ZDHHC5	ENSG00000156599	ENSG00000156599;RI:11:57690031:57690203-57690335:57690437:+	-0.108718685	0.0224775225
ATP13A2	ENSG00000159363	ENSG00000159363;RI:1:16986463:16986632-16986805:16986956:-	-0.0832865457	0.0174825175
U2AF1	ENSG00000160201	ENSG00000160201;RI:21:43100453:43100519-43104315:43104402:-	0.427837869	0.00999001
ZNF667-AS1	ENSG00000166770	ENSG00000166770;RI:19:56494163:56494342-56495048:56495437:+	0.190364409	0.0127372627
ZNF667-AS1	ENSG00000166770	ENSG00000166770;RI:19:56494163:56494347-56495048:56495437:+	0.1221266139	0.0127372627
TMEM145	ENSG00000167619	ENSG00000167619;RI:19:42323583:42323789-42324737:42325064:+	-0.1463169569	0.046953047
SRRM2	ENSG00000167978	ENSG00000167978;RI:16:2770858:2771049-2771369:2771410:+	0.1075388614	0.038961039
POLR2J3	ENSG00000168255	ENSG00000168255;RI:7:102566997:102567083-102568010:102568184:-	-0.1606007362	0.017982018
CANT1	ENSG00000171302	ENSG00000171302;RI:17:78996992:78997644-78997840:78997963:-	0.1015549944	0.040959041
CHD2	ENSG00000173575	ENSG00000173575;RI:15:93014696:93014726-93014816:93014909:+	-0.0813631781	0.045954046
