gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Condition_1_mean_psi	Condition_2_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
DPM1	ENSG00000000419	gene:ENSG00000000419:s:50942031-50943273	0.0677;-0.0003;-0.1127;0.0393	6.595e-01;3.693e-02;8.682e-01;4.047e-01	1.728e-01;9.237e-01;3.816e-02;3.758e-01	0.0871;0.0357;0.7767;0.1013	0.1622;0.0329;0.6618;0.1509	s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1	4	4	0;0;0;0	20	-	50941209-50942031;50940955-50942031;50940933-50942031;50936262-50942031	50935305-50936262;50939587-50940955;50941105-50941209;50942031-50943273	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=20%3A50943273-50935305
SCYL3	ENSG00000000457	gene:ENSG00000000457:s:169870255-169870357	-0.0555;0.0555	5.180e-01;5.180e-01	2.278e-01;2.278e-01	0.1345;0.8655	0.0668;0.9332	s|1e1.1o2|1e1.2o2	2	2	0;0	1	-	169869128-169870255;169869039-169870255	169868928-169869128;169870255-169870357	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=1%3A169870357-169868928
LAS1L	ENSG00000001497	gene:ENSG00000001497:s:65528876-65529258	-0.0883;0.0883	7.031e-01;7.031e-01	9.295e-02;9.295e-02	0.8814;0.1186	0.7665;0.2335	s|1e1.1o1|1e2.1o1	2	3	0;0	X	-	65528369-65529212;65525050-65529212	65524764-65525050;65528260-65528369;65528876-65529258	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=X%3A65529258-65524764
HECW1	ENSG00000002746	gene:ENSG00000002746:s:43442529-43442629	-0.1331;0.1331	8.856e-01;8.856e-01	2.615e-02;2.615e-02	0.3716;0.6284	0.2176;0.7824	s|1e1.1o2|1e1.2o2	2	2	1;0	7	+	43442629-43444215;43442629-43444218	43442529-43442629;43444215-43445570	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A43445570-43442529
HECW1	ENSG00000002746	gene:ENSG00000002746:t:43311763-43312087	0.0720;0.0071;-0.0818;-0.0007	6.344e-01;1.391e-01;6.773e-01;5.401e-02	1.469e-01;7.489e-01;1.131e-01;8.925e-01	0.2264;0.0656;0.6718;0.0334	0.3166;0.0762;0.5734;0.0335	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	7	+	43112937-43311763;43114391-43311763;43243932-43311763;43249479-43311763	43112629-43112937;43113741-43114391;43243875-43243932;43248936-43249479;43311763-43312087	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=7%3A43312087-43112629
SNX11	ENSG00000002919	gene:ENSG00000002919:t:48111949-48112455	0.0529;-0.0529	5.008e-01;5.008e-01	1.850e-01;1.850e-01	0.6760;0.3240	0.7630;0.2370	t|1e1.1o1|1e2.1o1	2	3	0;0	17	+	48107838-48112031;48110767-48112031	48107603-48107838;48110708-48110767;48111949-48112455	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=17%3A48112455-48107603
CFLAR	ENSG00000003402	gene:ENSG00000003402:s:201140186-201140735	-0.0000;-0.0504;0.0535	1.956e-09;5.129e-01;5.452e-01	1.000e+00;4.222e-01;4.204e-01	0.0116;0.9638;0.0243	0.0022;0.9178;0.0798	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	2	+	201140439-201141374;201140439-201145378;201140439-201149003	201140186-201140735;201141374-201141602;201145378-201145432;201148951-201149052	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=2%3A201149052-201140186
CFLAR	ENSG00000003402	gene:ENSG00000003402:t:201132872-201133134	0.0725;-0.0725	6.482e-01;6.482e-01	1.630e-01;1.630e-01	0.1652;0.8348	0.2476;0.7524	t|1e1.1o1|1e2.1o1	2	3	0;0	2	+	201116481-201133029;201130146-201133029	201116154-201116481;201129643-201130146;201132872-201133134	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=2%3A201133134-201116154
CFLAR	ENSG00000003402	gene:ENSG00000003402:t:201148951-201149052	0.0723;-0.0723	7.182e-01;7.182e-01	1.660e-01;1.660e-01	0.0281;0.9719	0.1019;0.8981	t|1e1.1o1|1e2.1o1	2	3	1;0	2	+	201140439-201149003;201145432-201149003	201140186-201140735;201145378-201145432;201148951-201149052	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=2%3A201149052-201140186
TFPI	ENSG00000003436	gene:ENSG00000003436:t:187503648-187503770	0.0803;-0.0803	6.572e-01;6.572e-01	1.248e-01;1.248e-01	0.8325;0.1675	0.9358;0.0642	t|1e1.1o1|1e2.1o1	2	3	0;0	2	-	187503770-187554200;187503770-187529364	187503648-187503770;187529364-187529485;187554200-187554492	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=2%3A187554492-187503648
