	gene_id	AF_con1-AF_con2_dPSI	AF_con1-AF_con2_p-val
NDUFS1	ENSG00000023228	ENSG00000023228;AF:2:206153682-206159096:206159194:206153682-206159341:206159425:-	0.3616580964	0.02997003
NDUFS1	ENSG00000023228	ENSG00000023228;AF:2:206153682-206159096:206159194:206153682-206159341:206159444:-	0.2103593197	0.02997003
NDUFS1	ENSG00000023228	ENSG00000023228;AF:2:206153682-206159096:206159194:206153682-206159341:206159509:-	0.193425694	0.040959041
CA11	ENSG00000063180	ENSG00000063180;AF:19:48638144-48638240:48638385:48638144-48638888:48639138:-	0.1650844307	0.018981019
TBC1D1	ENSG00000065882	ENSG00000065882;AF:4:38103048:38103157-38115710:38111902:38112101-38115710:+	0.2871611595	0.0244755245
PKM	ENSG00000067225	ENSG00000067225;AF:15:72219110-72228577:72228676:72219110-72230900:72231386:-	0.3386457432	0.0324675325
PKM	ENSG00000067225	ENSG00000067225;AF:15:72219110-72228577:72228676:72219110-72231116:72231225:-	0.2611257757	0.0324675325
PKM	ENSG00000067225	ENSG00000067225;AF:15:72219110-72228577:72228676:72219110-72231116:72231386:-	0.3117486267	0.0324675325
PKM	ENSG00000067225	ENSG00000067225;AF:15:72219110-72228577:72228676:72219110-72231324:72231624:-	0.3510588776	0.0340909091
ADGRF5	ENSG00000069122	ENSG00000069122;AF:6:46906786-46921713:46921938:46906786-46954734:46954943:-	-0.1591169912	0.0434565435
ITM2A	ENSG00000078596	ENSG00000078596;AF:X:79363554-79366857:79366927:79363554-79367105:79367334:-	-0.0904688621	0.0404595405
NLRP1	ENSG00000091592	ENSG00000091592;AF:17:5499950-5501737:5502963:5499950-5517746:5517887:-	0.1407100918	0.0234765235
PGK1	ENSG00000102144	ENSG00000102144;AF:X:77910739:77910835-78109867:78065216:78065272-78109867:+	-0.0653502438	0.0397102897
PGK1	ENSG00000102144	ENSG00000102144;AF:X:78065216:78065272-78109867:78104248:78104405-78109867:+	0.1353630206	0.032967033
NEFM	ENSG00000104722	ENSG00000104722;AF:8:24913761:24914873-24915605:24914942:24915297-24915605:+	0.1033143532	0.033966034
ZFR2	ENSG00000105278	ENSG00000105278;AF:19:3852614-3855402:3855590:3852614-3868965:3869032:-	0.1703698073	0.046953047
LIMK1	ENSG00000106683	ENSG00000106683;AF:7:74082933:74083179-74085748:74083991:74084045-74085748:+	-0.3248582734	0.02997003
LHX2	ENSG00000106689	ENSG00000106689;AF:9:124001670:124001697-124013961:124011768:124012468-124013961:+	0.2025114883	0.025974026
LHX2	ENSG00000106689	ENSG00000106689;AF:9:124001670:124001697-124013961:124012357:124012468-124013961:+	0.1503998111	0.0324675325
MRPS27	ENSG00000113048	ENSG00000113048;AF:5:72238128-72288115:72288658:72238128-72288815:72288872:-	-0.4583478685	0.01998002
SPCS1	ENSG00000114902	ENSG00000114902;AF:3:52704955:52705158-52706644:52706106:52706282-52706644:+	0.1375471745	0.0434565435
SPCS1	ENSG00000114902	ENSG00000114902;AF:3:52704955:52705158-52706644:52706109:52706282-52706644:+	0.146082973	0.0434565435
KCNIP3	ENSG00000115041	ENSG00000115041;AF:2:95297347:95297453-95310355:95310222:95310236-95310355:+	0.0769656379	0.0374625375
HPCAL1	ENSG00000115756	ENSG00000115756;AF:2:10330163:10330210-10396835:10368678:10368737-10396835:+	0.2239302288	0.041958042
