	gene_id	AF_con1-AF_con2_dPSI	AF_con1-AF_con2_p-val
RGPD5	ENSG00000015568	ENSG00000015568;AF:2:109794305:109794537-109801783:109794685:109795076-109801783:+	-0.4795525596	0.024975025
RPS19	ENSG00000105372	ENSG00000105372;AF:19:41860255:41860289-41860775:41860446:41860494-41860775:+	0.3773227622	0.028971029
LSM5	ENSG00000106355	ENSG00000106355;AF:7:32489344-32490320:32490371:32489344-32495230:32495283:-	0.4630235434	0.041958042
CEP15	ENSG00000114405	ENSG00000114405;AF:3:62319022:62319055-62320460:62319721:62319832-62320460:+	0.2541111463	0.0494505495
POLE4	ENSG00000115350	ENSG00000115350;AF:2:74958643:74958892-74959341:74959006:74959091-74959341:+	-0.3193666072	0.04995005
IL6ST	ENSG00000134352	ENSG00000134352;AF:5:55976293-55982724:55982800:55976293-55994784:55994964:-	0.3194287342	0.0394605395
CD63	ENSG00000135404	ENSG00000135404;AF:12:55728352-55728953:55729000:55728352-55729282:55729707:-	0.4195330141	0.033966034
TSPAN3	ENSG00000140391	ENSG00000140391;AF:15:77056255-77070892:77071109:77056255-77083847:77083984:-	-0.2235888957	0.0494505495
TSPAN3	ENSG00000140391	ENSG00000140391;AF:15:77056255-77071005:77071122:77056255-77083847:77083984:-	-0.2554601101	0.0494505495
TMEM168	ENSG00000146802	ENSG00000146802;AF:7:112775318-112783698:112783745:112775318-112790160:112790423:-	-0.4045905356	0.03996004
SPARCL1	ENSG00000152583	ENSG00000152583;AF:4:87504923-87528555:87528619:87504923-87529045:87529503:-	-0.282574054	0.0334665335
ELK4	ENSG00000158711	ENSG00000158711;AF:1:205623891-205625632:205625667:205623891-205631632:205631893:-	-0.3728117302	0.0374625375
ELK4	ENSG00000158711	ENSG00000158711;AF:1:205623891-205625632:205625667:205623891-205631632:205631962:-	-0.3467637131	0.0374625375
ELK4	ENSG00000158711	ENSG00000158711;AF:1:205623891-205625632:205625667:205623891-205631632:205632011:-	-0.3633270898	0.0374625375
FTH1	ENSG00000167996	ENSG00000167996;AF:11:61965515-61966989:61967166:61965515-61967312:61967586:-	0.2306410057	0.0304695305
FTH1	ENSG00000167996	ENSG00000167996;AF:11:61965515-61966989:61967166:61965515-61967312:61967613:-	0.1783562341	0.0304695305
FTH1	ENSG00000167996	ENSG00000167996;AF:11:61965515-61966989:61967166:61965515-61967312:61967634:-	0.2378973983	0.0304695305
AQP4	ENSG00000171885	ENSG00000171885;AF:18:26862596-26862962:26863190:26862596-26865658:26865689:-	-0.351110288	0.022977023
SMYD3	ENSG00000185420	ENSG00000185420;AF:1:246355094-246417296:246417409:246355094-246507054:246507279:-	-0.3745505391	0.048951049
DPP10-AS1	ENSG00000235026	ENSG00000235026;AF:2:115145027-115160610:115160677:115145027-115161104:115161391:-	0.4072812641	0.041958042
