	gene_id	AF_con1-AF_con2_dPSI	AF_con1-AF_con2_p-val
MAPRE3	ENSG00000084764	ENSG00000084764;AF:2:26970658:26970802-27022212:27002046:27002136-27022212:+	-0.6711816259	0.0452880453
MAPRE3	ENSG00000084764	ENSG00000084764;AF:2:26970658:26970802-27022212:27002856:27003079-27022212:+	-0.6796465445	0.043956044
MAPRE3	ENSG00000084764	ENSG00000084764;AF:2:26970658:26970802-27022212:27014799:27014984-27022212:+	-0.4607929447	0.043956044
SEPTIN3	ENSG00000100167	ENSG00000100167;AF:22:41976272:41976583-41981645:41976810:41977074-41981645:+	0.6708365814	0.013986014
STMN2	ENSG00000104435	ENSG00000104435;AF:8:79611117:79611214-79636802:79611735:79611791-79636802:+	-0.1534398414	0.04995005
NEFM	ENSG00000104722	ENSG00000104722;AF:8:24913764:24914873-24915605:24914942:24915297-24915605:+	-0.320784521	0.030969031
DUSP3	ENSG00000108861	ENSG00000108861;AF:17:43774938-43777857:43778337:43774938-43778800:43778977:-	-0.1474897345	0.0374625375
HPCA	ENSG00000121905	ENSG00000121905;AF:1:32886082:32886119-32888878:32886491:32886515-32888878:+	0.1162723378	0.037962038
PRXL2A	ENSG00000122378	ENSG00000122378;AF:10:80407829:80407956-80420466:80408551:80408643-80420466:+	0.2586703981	0.0404595405
PRXL2A	ENSG00000122378	ENSG00000122378;AF:10:80407829:80407956-80420466:80413819:80413876-80420466:+	0.1974934184	0.0404595405
METTL8	ENSG00000123600	ENSG00000123600;AF:2:171392197-171433883:171433990:171392197-171434674:171434802:-	-0.3727819721	0.032967033
YWHAH	ENSG00000128245	ENSG00000128245;AF:22:31944535:31944820-31956139:31947422:31947485-31956139:+	-0.1017616484	0.047952048
YWHAH	ENSG00000128245	ENSG00000128245;AF:22:31944966:31945235-31956139:31947422:31947485-31956139:+	-0.2042760119	0.047952048
VGF	ENSG00000128564	ENSG00000128564;AF:7:101164863-101164986:101165114:101164863-101165374:101165569:-	-0.2118860504	0.031968032
TPT1	ENSG00000133112	ENSG00000133112;AF:13:45340184-45340352:45340402:45340184-45341042:45341155:-	-0.3892514875	0.033966034
TPT1	ENSG00000133112	ENSG00000133112;AF:13:45340184-45340352:45340402:45340184-45341042:45341212:-	-0.1493971062	0.0454545455
HMGA1	ENSG00000137309	ENSG00000137309;AF:6:34237204:34237317-34240737:34238791:34238957-34240737:+	0.3934525673	0.037962038
TAGLN	ENSG00000149591	ENSG00000149591;AF:11:117199394:117199829-117203002:117201750:117201941-117203002:+	0.5304813807	0.00999001
HTRA1	ENSG00000166033	ENSG00000166033;AF:10:122458551:122458709-122488902:122461553:122462124-122488902:+	0.1211405221	0.046953047
POLL	ENSG00000166169	ENSG00000166169;AF:10:101586156-101587246:101587421:101586156-101588204:101588228:-	-0.3320407579	0.045954046
MAGED1	ENSG00000179222	ENSG00000179222;AF:X:51803007:51803117-51894269:51893623:51893755-51894269:+	0.2580316584	0.032967033
CMC1	ENSG00000187118	ENSG00000187118;AF:3:28241618:28241812-28316333:28263112:28263380-28316333:+	-0.3378416859	0.043956044
LINC01123	ENSG00000204588	ENSG00000204588;AF:2:109986977:109987190-109994401:109988272:109988802-109994401:+	-0.3150165617	0.020979021
LINC01766	ENSG00000224910	ENSG00000224910;AF:19:35557678:35557833-35575614:35557919:35558027-35575614:+	0.323550641	0.037962038
ZBTB22	ENSG00000236104	ENSG00000236104;AF:6:33316985-33317653:33317744:33316985-33317878:33317942:-	-0.3853233696	0.023976024
SOCS2-AS1	ENSG00000246985	ENSG00000246985;AF:12:93567159-93570818:93570877:93567159-93571567:93571768:-	0.4191936123	0.038961039
MALAT1	ENSG00000251562	ENSG00000251562;AF:11:65499045:65500759-65503729:65502729:65503120-65503729:+	-0.1180895829	0.041958042
MALAT1	ENSG00000251562	ENSG00000251562;AF:11:65499045:65502393-65504133:65503699:65503905-65504133:+	0.3381752202	0.027972028
MALAT1	ENSG00000251562	ENSG00000251562;AF:11:65499986:65500778-65504133:65503699:65503905-65504133:+	-0.1603542037	0.043956044
PDGFDDN	ENSG00000254987	ENSG00000254987;AF:11:103680342-103700530:103700684:103680342-103802988:103803140:-	-0.2094410882	0.0264735265
GRIN2B	ENSG00000273079	ENSG00000273079;AF:12:13980356-13981342:13981602:13980356-13981916:13981957:-	-0.2005718935	0.0294705295
	ENSG00000300670	ENSG00000300670;AF:2:205798900-205821797:205821938:205798900-205835611:205835756:-	-0.2702525011	0.041958042
