	gene_id	A3_con1-A3_con2_dPSI	A3_con1-A3_con2_p-val
NDUFB4	ENSG00000065518	ENSG00000065518;A3:3:120596539-120601111:120596539-120602208:+	-0.2415934637	0.026973027
LRP6	ENSG00000070018	ENSG00000070018;A3:12:12132057-12135175:12131922-12135175:-	-0.1393779789	0.035964036
MAP2	ENSG00000078018	ENSG00000078018;A3:2:209680827-209692625:209680827-209692637:+	-0.0552644788	0.0454545455
OSBPL8	ENSG00000091039	ENSG00000091039;A3:12:76450988-76487510:76450979-76487510:-	-0.2338812737	0.031968032
TF	ENSG00000091513	ENSG00000091513;A3:3:133753703-133754495:133753703-133754503:+	0.0519096176	0.0444555445
SNRPD3	ENSG00000100028	ENSG00000100028;A3:22:24568176-24571916:24568176-24572018:+	-0.0952195156	0.0334665335
NUTF2	ENSG00000102898	ENSG00000102898;A3:16:67868599-67870800:67868599-67871199:+	-0.0926022139	0.0354645355
MAG	ENSG00000105695	ENSG00000105695;A3:19:35292204-35294235:35292204-35294253:+	-0.1017627173	0.0414585415
TMEM106B	ENSG00000106460	ENSG00000106460;A3:7:12211425-12214809:12211425-12214849:+	0.0969494892	0.041958042
PRUNE2	ENSG00000106772	ENSG00000106772;A3:9:76644912-76652483:76644909-76652483:-	-0.0834373693	0.045954046
ZFAND5	ENSG00000107372	ENSG00000107372;A3:9:72360787-72363470:72360784-72363470:-	0.0672770222	0.03996004
SUB1	ENSG00000113387	ENSG00000113387;A3:5:32585625-32586369:32585625-32586429:+	-0.1287181321	0.017982018
CAMSAP2	ENSG00000118200	ENSG00000118200;A3:1:200844869-200847210:200844869-200847258:+	-0.0773650643	0.0434565435
MT1G	ENSG00000125144	ENSG00000125144;A3:16:56667380-56667966:56667377-56667966:-	-0.1168672707	0.044955045
KLC1	ENSG00000126214	ENSG00000126214;A3:14:103679545-103684986:103679545-103685638:+	-0.1028029412	0.03996004
ARPP19	ENSG00000128989	ENSG00000128989;A3:15:52568902-52569116:52568900-52569116:-	-0.0842057225	0.0314685315
APOE	ENSG00000130203	ENSG00000130203;A3:19:44905841-44906587:44905841-44906602:+	0.0677018468	0.0404595405
RTN3	ENSG00000133318	ENSG00000133318;A3:11:63681778-63718702:63681778-63718981:+	-0.2833923625	0.011988012
NDUFAF1	ENSG00000137806	ENSG00000137806;A3:15:41397140-41402447:41396959-41402447:-	-0.1267673159	0.041958042
RPL32	ENSG00000144713	ENSG00000144713;A3:3:12840341-12841494:12840242-12841494:-	0.1401656232	0.035964036
RPL32	ENSG00000144713	ENSG00000144713;A3:3:12840353-12841494:12840341-12841494:-	-0.2670090362	0.00999001
NDUFC2	ENSG00000151366	ENSG00000151366;A3:11:78073141-78079579:78073072-78079579:-	-0.052698926	0.0494505495
UBP1	ENSG00000153560	ENSG00000153560;A3:3:33409601-33411581:33409587-33411581:-	0.0861158641	0.043956044
UQCRB	ENSG00000156467	ENSG00000156467;A3:8:96231515-96231774:96231132-96231774:-	0.0533416167	0.043956044
RPL8	ENSG00000161016	ENSG00000161016;A3:8:144791914-144791992:144791872-144791992:-	0.0709342246	0.047952048
SRSF2	ENSG00000161547	ENSG00000161547;A3:17:76736464-76736799:76736443-76736799:-	0.1662143543	0.014985015
UQCRQ	ENSG00000164405	ENSG00000164405;A3:5:132866687-132866869:132866687-132867488:+	-0.0893741929	0.0314685315
NDRG2	ENSG00000165795	ENSG00000165795;A3:14:21024139-21025029:21024096-21025029:-	0.1729209436	0.014985015
ZNF528	ENSG00000167555	ENSG00000167555;A3:19:52397904-52398367:52397904-52398454:+	-0.1318549783	0.0364635365
AHCYL1	ENSG00000168710	ENSG00000168710;A3:1:110011357-110012362:110011357-110012387:+	-0.0755784528	0.034965035
AQP4	ENSG00000171885	ENSG00000171885;A3:18:26862592-26865658:26862473-26865658:-	-0.187734734	0.0154845155
RPL15	ENSG00000174748	ENSG00000174748;A3:3:23917173-23917837:23917173-23917947:+	-0.1265582669	0.0462037962
RPL15	ENSG00000174748	ENSG00000174748;A3:3:23917173-23917850:23917173-23917947:+	-0.1658143145	0.0462037962
C3orf38	ENSG00000179021	ENSG00000179021;A3:3:88153471-88156021:88153471-88156127:+	-0.1456634425	0.032967033
ZBTB18	ENSG00000179456	ENSG00000179456;A3:1:244051444-244053100:244051444-244053171:+	-0.2680184352	0.0474525475
BOLA2	ENSG00000183336	ENSG00000183336;A3:16:29454113-29454191:29454075-29454191:-	-0.2864603842	0.0084915085
NPIPA6	ENSG00000183889	ENSG00000183889;A3:16:16333884-16335861:16333884-16336052:+	-0.1415925629	0.0284715285
GAS2L1	ENSG00000185340	ENSG00000185340;A3:22:29307153-29308059:29307153-29308087:+	0.385542602	0.035964036
TMT1A	ENSG00000185432	ENSG00000185432;A3:12:50924080-50924667:50924080-50925037:+	-0.3939008292	0.0064935065
YTHDF3	ENSG00000185728	ENSG00000185728;A3:8:63169105-63169387:63169105-63169389:+	-0.3779050282	0.044955045
MAPT	ENSG00000186868	ENSG00000186868;A3:17:45996664-46010310:45996664-46010316:+	0.0647258803	0.0384615385
MACO1	ENSG00000204178	ENSG00000204178;A3:1:25458892-25484116:25458892-25484127:+	-0.1351679221	0.0394605395
EPB41L4A-AS1	ENSG00000224032	ENSG00000224032;A3:5:112160991-112161231:112160991-112161249:+	0.21930421	0.035964036
	ENSG00000274253	ENSG00000274253;A3:15:22774313-22777749:22774313-22777767:+	-0.1683964101	0.0484515485
GTF2IP4	ENSG00000293241	ENSG00000293241;A3:7:73180597-73182077:73180597-73182082:+	-0.1312752827	0.023976024
