ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
396	ENSG00000133835	HSD17B4	chr5	+	119475705	119477501	119475705	119475727	119477416	119477501	396	3,5,5,1,4,5,3,4,4,6,1,3	1,1,5,0,3,0,0,1,0,1,0,1	5,6,24,4,4,1,1,2,7,1,4,6	2,1,0,0,0,0,1,0,2,0,0,0	1789	100	1.99095251396e-09	6.66570901674e-06	0.144,0.218,0.053,1.0,0.069,1.0,1.0,0.183,1.0,0.251,1.0,0.144	0.123,0.251,1.0,1.0,1.0,1.0,0.053,1.0,0.164,1.0,1.0,1.0	-0.211
1181	ENSG00000126249	PDCD2L	chr19	+	34404648	34404990	34404648	34404815	34404929	34404990	1181	0,2,9,0,1,1,4,2,0,4,1,2	5,6,4,2,6,6,13,7,1,7,3,2	2,1,2,0,1,0,0,1,1,0,0,0	4,6,5,1,8,5,10,9,2,5,2,4	214	100	6.39559799098e-06	0.00475832490529	0.0,0.135,0.513,0.0,0.072,0.072,0.126,0.118,0.0,0.211,0.135,0.318	0.189,0.072,0.157,0.0,0.055,0.0,0.0,0.049,0.189,0.0,0.0,0.0	0.082
2523	ENSG00000070214	SLC44A1	chr9	+	105389032	105397346	105389032	105389108	105389186	105397346	2523	7,4,2,4,7,4,9,3,3,2,6,3	0,3,0,0,1,1,1,0,1,0,2,2	3,5,4,1,2,7,0,2,2,11,2,2	0,0,1,2,2,5,1,4,0,2,2,1	178	100	3.28116332404e-06	0.00306357833034	1.0,0.428,1.0,1.0,0.797,0.692,0.835,1.0,0.628,1.0,0.628,0.457	1.0,1.0,0.692,0.219,0.36,0.44,0.0,0.219,1.0,0.755,0.36,0.529	0.241
3820	ENSG00000234741	GAS5	chr1	-	173864674	173865547	173864674	173864704	173865470	173865547	3820	3,14,10,0,6,7,10,4,1,3,4,8	1,28,3,2,1,1,1,0,2,1,0,0	7,7,11,8,4,11,5,8,4,9,8,11	0,0,13,1,1,1,0,0,1,0,0,0	866	100	4.65039958542e-07	0.000778476890599	0.257,0.055,0.278,0.0,0.409,0.447,0.536,1.0,0.055,0.257,1.0,1.0	1.0,1.0,0.089,0.48,0.316,0.56,1.0,1.0,0.316,1.0,1.0,1.0	-0.289
6141	ENSG00000105819	PMPCB	chr7	+	103300177	103304040	103300177	103300307	103303985	103304040	6141	33,55,41,35,60,117,95,59,37,105,30,57	3,3,2,1,4,0,1,0,0,3,0,0	72,35,117,25,69,65,50,34,28,72,71,86	2,1,0,0,1,0,1,0,2,1,0,1	3778	100	6.85389295096e-07	0.000917873343993	0.226,0.327,0.352,0.481,0.284,1.0,0.715,1.0,1.0,0.481,1.0,1.0	0.488,0.481,1.0,1.0,0.646,1.0,0.57,1.0,0.27,0.656,1.0,0.695	-0.078
6914	ENSG00000198258	UBL5	chr19	+	9828326	9828675	9828326	9828389	9828591	9828675	6914	24,36,32,20,38,48,41,23,27,14,16,57	0,1,0,1,2,0,0,1,0,0,0,1	31,41,28,29,10,31,24,39,39,44,19,19	0,4,8,0,1,2,1,2,1,3,0,0	302	100	3.66018916409e-06	0.00306357833034	1.0,0.923,1.0,0.869,0.863,1.0,1.0,0.884,1.0,1.0,1.0,0.95	1.0,0.772,0.537,1.0,0.768,0.837,0.888,0.866,0.928,0.829,1.0,1.0	0.089
7731	ENSG00000224078	SNHG14	chr15	+	25053827	25055230	25053827	25053967	25054969	25055230	7731	18,33,21,15,39,57,40,31,31,50,10,26	0,1,5,0,0,2,4,0,0,4,1,3	52,38,37,14,66,17,39,51,18,23,33,42	1,0,0,0,0,3,0,3,0,3,1,0	1102	100	6.95898420715e-05	0.0332838273222	1.0,0.75,0.276,1.0,1.0,0.721,0.476,1.0,1.0,0.531,0.476,0.44	0.825,1.0,1.0,1.0,1.0,0.34,1.0,0.607,1.0,0.41,0.75,1.0	-0.105
7740	ENSG00000224078	SNHG14	chr15	+	25101822	25103970	25101822	25101931	25103858	25103970	7740	18,33,21,15,39,57,40,31,31,50,10,26	12,13,8,4,0,41,0,0,15,16,5,0	52,38,37,14,66,17,39,51,18,23,33,41	0,11,0,0,0,0,0,0,0,0,6,0	2027	100	3.9059451229e-09	8.71806951431e-06	0.069,0.111,0.115,0.156,1.0,0.064,1.0,1.0,0.093,0.134,0.09,1.0	1.0,0.146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.213,1.0	-0.461
10479	ENSG00000178149	DALRD3	chr3	-	49015818	49016086	49015818	49015872	49015972	49016086	10479	0,3,5,1,0,2,1,0,2,4,2,3	10,6,21,25,26,44,33,20,28,37,21,37	3,4,16,2,8,3,3,1,4,3,2,5	22,29,0,14,17,21,35,19,13,24,26,23	200	100	0.000146633102943	0.048413682761	0.0,0.2,0.106,0.02,0.0,0.022,0.015,0.0,0.034,0.051,0.045,0.039	0.064,0.065,1.0,0.067,0.19,0.067,0.041,0.026,0.133,0.059,0.037,0.098	-0.11
10902	ENSG00000125875	TBC1D20	chr20	-	440247	441689	440247	440317	441587	441689	10902	1,14,12,3,8,16,21,4,5,13,7,12	1,1,2,1,0,0,2,0,1,2,0,2	15,14,1,5,13,15,10,3,5,10,8,12	2,0,0,1,0,0,2,0,0,0,2,1	1370	100	0.000120876944608	0.0425995800576	0.068,0.505,0.305,0.18,1.0,1.0,0.434,1.0,0.267,0.322,1.0,0.305	0.354,1.0,1.0,0.267,1.0,1.0,0.267,1.0,1.0,1.0,0.226,0.467	-0.183
