	gene_id	SE_con1-SE_con2_dPSI	SE_con1-SE_con2_p-val
NFYA	ENSG00000001167	ENSG00000001167;SE:6:41079164-41080811:41080897-41084046:+	-0.1636681321	0.0424575425
EXOC5	ENSG00000070367	ENSG00000070367;SE:14:57239659-57244165:57244359-57246711:-	-0.1510773021	0.0214785215
DDX24	ENSG00000089737	ENSG00000089737;SE:14:94062621-94079025:94079621-94081119:-	0.0795859326	0.0354645355
DDX24	ENSG00000089737	ENSG00000089737;SE:14:94062621-94079025:94079747-94081119:-	0.117539501	0.0354645355
GLG1	ENSG00000090863	ENSG00000090863;SE:16:74472411-74472526:74472634-74474546:-	0.12831677	0.03996004
MAPK1	ENSG00000100030	ENSG00000100030;SE:22:21772982-21788257:21788388-21788694:-	-0.1100309667	0.0144855145
RBM3	ENSG00000102317	ENSG00000102317;SE:X:48575283-48575561:48576083-48576314:+	0.3972771507	0.041958042
TJP1	ENSG00000104067	ENSG00000104067;SE:15:29719138-29719777:29720016-29720358:-	0.0830249286	0.0444555445
YWHAE	ENSG00000108953	ENSG00000108953;SE:17:1365058-1369709:1369741-1400047:-	-0.0514710898	0.047952048
SLC1A2	ENSG00000110436	ENSG00000110436;SE:11:35317516-35418950:35419007-35419908:-	0.3229352852	0.048951049
RASGRF2	ENSG00000113319	ENSG00000113319;SE:5:81215955-81216964:81216994-81217356:+	0.1005819478	0.0374625375
CAMSAP2	ENSG00000118200	ENSG00000118200;SE:1:200815644-200828573:200828605-200832200:+	-0.0801811415	0.0364635365
TUBA4A	ENSG00000127824	ENSG00000127824;SE:2:219251713-219252008:219252230-219253856:-	-0.0628779203	0.047952048
ARPP19	ENSG00000128989	ENSG00000128989;SE:15:52557222-52568848:52568900-52569116:-	0.1998991273	0.0244755245
ARPP19	ENSG00000128989	ENSG00000128989;SE:15:52557222-52568848:52568902-52569112:-	-0.3130694222	0.0244755245
RBM38	ENSG00000132819	ENSG00000132819;SE:20:57393333-57399928:57399968-57407543:+	-0.3188854561	0.0354645355
DCLK1	ENSG00000133083	ENSG00000133083;SE:13:35774699-35788212:35788285-35793366:-	0.0551967486	0.0354645355
ECPAS	ENSG00000136813	ENSG00000136813;SE:9:111451555-111472897:111473000-111484116:-	0.0995063866	0.0384615385
UQCC2	ENSG00000137288	ENSG00000137288;SE:6:33700513-33701346:33701420-33711549:-	0.104657141	0.038961039
KCNH5	ENSG00000140015	ENSG00000140015;SE:14:62708455-62779728:62779924-62802329:-	-0.1301984465	0.0494505495
STON2	ENSG00000140022	ENSG00000140022;SE:14:81278739-81324017:81324187-81370988:-	-0.1251978608	0.044955045
STON2	ENSG00000140022	ENSG00000140022;SE:14:81398580-81427102:81427212-81436321:-	-0.1660766208	0.044955045
GLYR1	ENSG00000140632	ENSG00000140632;SE:16:4821453-4821547:4821597-4822875:-	0.1109983171	0.041958042
GLYR1	ENSG00000140632	ENSG00000140632;SE:16:4823907-4831979:4832221-4832774:-	0.1190821207	0.041958042
CLVS2	ENSG00000146352	ENSG00000146352;SE:6:122996746-122997219:122998166-123010985:+	-0.1052317302	0.040959041
RPL10	ENSG00000147403	ENSG00000147403;SE:X:154399941-154400464:154400626-154400702:+	-0.0822953785	0.0224775225
APIP	ENSG00000149089	ENSG00000149089;SE:11:34890552-34895010:34895110-34916228:-	0.1562349368	0.031968032
NPTN	ENSG00000156642	ENSG00000156642;SE:15:73592137-73597022:73597369-73633125:-	-0.06303905	0.027972028
CADM3	ENSG00000162706	ENSG00000162706;SE:1:159171853-159189771:159189872-159191936:+	0.0685002415	0.0384615385
RHOBTB3	ENSG00000164292	ENSG00000164292;SE:5:95748487-95752239:95752350-95755396:+	-0.1336431873	0.034965035
UQCRQ	ENSG00000164405	ENSG00000164405;SE:5:132866687-132866869:132867035-132867488:+	-0.1262456405	0.013986014
CKB	ENSG00000166165	ENSG00000166165;SE:14:103520311-103520469:103520592-103521263:-	0.1382566822	0.011988012
PHB1	ENSG00000167085	ENSG00000167085;SE:17:49411839-49413177:49413291-49414835:-	-0.1667905263	0.0434565435
TRUB2	ENSG00000167112	ENSG00000167112;SE:9:128315628-128315822:128315896-128317152:-	0.1185598153	0.048951049
ZNF641	ENSG00000167528	ENSG00000167528;SE:12:48344712-48347149:48347343-48347907:-	-0.3541876544	0.045954046
ZNF641	ENSG00000167528	ENSG00000167528;SE:12:48348115-48350046:48350218-48350786:-	-0.1474637304	0.045954046
CD320	ENSG00000167775	ENSG00000167775;SE:19:8304088-8305031:8305156-8308149:-	0.2743708654	0.024975025
CTNND2	ENSG00000169862	ENSG00000169862;SE:5:11364890-11384665:11385229-11397031:-	-0.166262983	0.0362137862
CTNND2	ENSG00000169862	ENSG00000169862;SE:5:11364890-11397031:11397203-11411536:-	0.1932925927	0.0362137862
EMX2	ENSG00000170370	ENSG00000170370;SE:10:117543673-117545632:117545816-117548065:+	0.2635580369	0.037962038
CYCS	ENSG00000172115	ENSG00000172115;SE:7:25124127-25124690:25124844-25125200:-	0.15137283	0.022977023
CFL1	ENSG00000172757	ENSG00000172757;SE:11:65856242-65858097:65858342-65859231:-	-0.1527357609	0.0124875125
CFL1	ENSG00000172757	ENSG00000172757;SE:11:65856242-65858097:65858630-65859231:-	-0.1773410202	0.0124875125
GOLIM4	ENSG00000173905	ENSG00000173905;SE:3:168036994-168040786:168040869-168041392:-	-0.1222021553	0.0274725275
CADM2	ENSG00000175161	ENSG00000175161;SE:3:84959668-85726522:85726548-85802047:+	-0.0589989639	0.04995005
CADM2	ENSG00000175161	ENSG00000175161;SE:3:85961647-85979164:85979283-86065605:+	0.0706536184	0.04995005
KCNJ10	ENSG00000177807	ENSG00000177807;SE:1:160042532-160044756:160044821-160070022:-	0.1606290114	0.023976024
HIGD1A	ENSG00000181061	ENSG00000181061;SE:3:42786162-42794157:42794275-42804436:-	-0.1060484212	0.023976024
HIGD1A	ENSG00000181061	ENSG00000181061;SE:3:42786162-42794157:42794299-42804436:-	-0.0842996911	0.023976024
RNPC3	ENSG00000185946	ENSG00000185946;SE:1:103525823-103526067:103526262-103527695:+	-0.1868266204	0.035964036
SH2D5	ENSG00000189410	ENSG00000189410;SE:1:20727603-20727958:20728086-20732181:-	-0.3067436478	0.0394605395
HDAC2	ENSG00000196591	ENSG00000196591;SE:6:113960018-113962367:113962394-113970857:-	0.1736879008	0.032967033
AMZ2	ENSG00000196704	ENSG00000196704;SE:17:68250480-68250794:68250967-68251050:+	0.3329013336	0.038961039
TRIM27	ENSG00000204713	ENSG00000204713;SE:6:28907262-28907492:28907563-28908808:-	-0.1503993853	0.048951049
LINC01001	ENSG00000230724	ENSG00000230724;SE:11:134947-135175:135860-138047:-	-0.3280832001	0.0274725275
	ENSG00000240535	ENSG00000240535;SE:5:55022712-55023138:55023337-55023929:-	0.2641985331	0.031968032
	ENSG00000291166	ENSG00000291166;SE:9:42852877-42856198:42856312-42856475:+	0.2534339278	0.0144855145
	ENSG00000294586	ENSG00000294586;SE:1:14824949-14826709:14826778-14831221:+	0.3260508337	0.037962038
