	gene_id	AF_con1-AF_con2_dPSI	AF_con1-AF_con2_p-val
RPAP3	ENSG00000005175	ENSG00000005175;AF:12:47701604-47702688:47702816:47701604-47705952:47706026:-	-0.06795301	0.0424575425
ITGA3	ENSG00000005884	ENSG00000005884;AF:17:50070873:50070930-50073916:50072160:50072182-50073916:+	-0.3591814603	0.031968032
TMEM132A	ENSG00000006118	ENSG00000006118;AF:11:60924463:60924733-60926579:60925704:60926084-60926579:+	0.1102725192	0.045954046
RHOBTB2	ENSG00000008853	ENSG00000008853;AF:8:22995841:22995882-23004425:22996773:22997089-23004425:+	0.6186022927	0.0122377622
RHOBTB2	ENSG00000008853	ENSG00000008853;AF:8:22995841:22995882-23004425:22999548:23000105-23004425:+	0.1723017057	0.0151515152
RHOBTB2	ENSG00000008853	ENSG00000008853;AF:8:22995841:22995882-23004425:22999929:23000105-23004425:+	0.6168100833	0.0122377622
YAF2	ENSG00000015153	ENSG00000015153;AF:12:42161765-42237416:42237512:42161765-42237599:42237800:-	0.2304241523	0.03996004
YAF2	ENSG00000015153	ENSG00000015153;AF:12:42161765-42237416:42237512:42161765-42238155:42238287:-	0.2036693277	0.03996004
SPAST	ENSG00000021574	ENSG00000021574;AF:2:32063782:32064246-32087495:32066002:32066116-32087495:+	-0.4401751064	0.048951049
VIM	ENSG00000026025	ENSG00000026025;AF:10:17228241:17228524-17229276:17228869:17229027-17229276:+	0.0722046802	0.0484515485
VIM	ENSG00000026025	ENSG00000026025;AF:10:17228515:17228676-17229276:17228869:17229027-17229276:+	0.0547523159	0.0484515485
HMGB3	ENSG00000029993	ENSG00000029993;AF:X:150980509:150980644-150985595:150983385:150983591-150985595:+	0.0685591685	0.0437062937
TIMP2	ENSG00000035862	ENSG00000035862;AF:17:78873919-78874029:78874150:78873919-78922210:78922401:-	0.6632383447	0.0022477522
TIMP2	ENSG00000035862	ENSG00000035862;AF:17:78873919-78874029:78874150:78873919-78924959:78925387:-	0.1385527817	0.0014985015
MCM10	ENSG00000065328	ENSG00000065328;AF:10:13161579:13161606-13170922:13164128:13164209-13170922:+	0.3366714012	0.02997003
MNT	ENSG00000070444	ENSG00000070444;AF:17:2388049-2392704:2392760:2388049-2400640:2401104:-	-0.6471708907	0.037962038
ASNS	ENSG00000070669	ENSG00000070669;AF:7:97864496-97872041:97872113:97864496-97872351:97872394:-	0.2307387301	0.034965035
IGF2BP2	ENSG00000073792	ENSG00000073792;AF:3:185698347-185821012:185821131:185698347-185823153:185823271:-	-0.1152062522	0.026973027
RPL6	ENSG00000089009	ENSG00000089009;AF:12:112408656-112409493:112409574:112408656-112409587:112409605:-	-0.0620424756	0.012987013
RPL6	ENSG00000089009	ENSG00000089009;AF:12:112408656-112409493:112409574:112408656-112409587:112409614:-	-0.1074860637	0.012987013
MRPS33	ENSG00000090263	ENSG00000090263;AF:7:141010660-141014352:141014429:141010660-141014551:141014679:-	0.1864709144	0.044955045
MRPS33	ENSG00000090263	ENSG00000090263;AF:7:141010660-141014352:141014429:141010660-141014911:141014949:-	0.2540984967	0.044955045
NRCAM	ENSG00000091129	ENSG00000091129;AF:7:108176606-108176707:108176773:108176606-108177990:108178114:-	0.4125899447	0.0174825175
DPYSL2	ENSG00000092964	ENSG00000092964;AF:8:26514031:26514679-26581969:26578405:26578533-26581969:+	0.0527724702	0.047952048
DPYSL2	ENSG00000092964	ENSG00000092964;AF:8:26577062:26577367-26581969:26578405:26578533-26581969:+	0.1577322133	0.047952048
IL11	ENSG00000095752	ENSG00000095752;AF:19:55368569-55368769:55369241:55368569-55370304:55370463:-	0.2330558909	0.0434565435
SRPK1	ENSG00000096063	ENSG00000096063;AF:6:35891013-35895659:35895719:35891013-35920468:35921065:-	-0.2650750897	0.034965035
TMED1	ENSG00000099203	ENSG00000099203;AF:19:10835353-10835603:10835632:10835353-10836009:10836212:-	-0.1544653631	0.00999001
TMED1	ENSG00000099203	ENSG00000099203;AF:19:10835353-10835603:10835632:10835353-10836009:10836318:-	-0.5293591905	0.005994006
SNAP29	ENSG00000099940	ENSG00000099940;AF:22:20859081:20859347-20870337:20859483:20859640-20870337:+	-0.3222340138	0.03996004
POLR3H	ENSG00000100413	ENSG00000100413;AF:22:41544121-41544428:41544460:41544121-41544511:41544606:-	0.3553997563	0.016983017
POLR3H	ENSG00000100413	ENSG00000100413;AF:22:41544121-41544428:41544472:41544121-41544511:41544606:-	0.3613997996	0.016983017
POLR3H	ENSG00000100413	ENSG00000100413;AF:22:41544121-41544428:41544489:41544121-41544511:41544606:-	0.3668713915	0.016983017
TIMM9	ENSG00000100575	ENSG00000100575;AF:14:58411971-58427054:58427187:58411971-58427392:58427505:-	-0.1643705143	0.033966034
SRSF5	ENSG00000100650	ENSG00000100650;AF:14:69767093:69767255-69768138:69767940:69767987-69768138:+	0.1458665888	0.0282574568
SRSF5	ENSG00000100650	ENSG00000100650;AF:14:69767093:69767380-69768138:69767940:69767987-69768138:+	0.1279810998	0.0282574568
SRSF5	ENSG00000100650	ENSG00000100650;AF:14:69767142:69767255-69768138:69767940:69767987-69768138:+	0.0514918741	0.0282574568
SRSF5	ENSG00000100650	ENSG00000100650;AF:14:69767157:69767251-69768138:69767940:69767987-69768138:+	0.1780498707	0.0282574568
SRSF5	ENSG00000100650	ENSG00000100650;AF:14:69767172:69767380-69768138:69767940:69767987-69768138:+	0.1004360018	0.0282574568
SRSF5	ENSG00000100650	ENSG00000100650;AF:14:69767182:69767380-69768138:69767940:69767987-69768138:+	0.1602760309	0.0282574568
ADNP	ENSG00000101126	ENSG00000101126;AF:20:50904001-50909500:50909791:50904001-50928651:50928732:-	0.1438708741	0.0462037962
ADNP	ENSG00000101126	ENSG00000101126;AF:20:50904001-50909500:50909791:50904001-50930826:50931421:-	0.1420114414	0.0374625375
NOP56	ENSG00000101361	ENSG00000101361;AF:20:2652646:2652931-2653279:2653001:2653173-2653279:+	-0.2506801891	0.043956044
ELOB	ENSG00000103363	ENSG00000103363;AF:16:2775556-2776677:2776789:2775556-2776993:2777195:-	0.2505756927	0.0004995005
AAGAB	ENSG00000103591	ENSG00000103591;AF:15:67236820-67242737:67242871:67236820-67255137:67255195:-	0.3244353812	0.0343656344
AAGAB	ENSG00000103591	ENSG00000103591;AF:15:67236820-67254229:67254654:67236820-67255137:67255195:-	0.2723573898	0.031968032
AAGAB	ENSG00000103591	ENSG00000103591;AF:15:67236820-67254414:67254675:67236820-67255137:67255195:-	0.1155974749	0.031968032
AAGAB	ENSG00000103591	ENSG00000103591;AF:15:67236820-67254559:67254654:67236820-67255137:67255195:-	0.4022568901	0.031968032
AAGAB	ENSG00000103591	ENSG00000103591;AF:15:67236820-67254559:67254661:67236820-67255137:67255195:-	0.1078047886	0.031968032
ARHGEF10	ENSG00000104728	ENSG00000104728;AF:8:1823926:1824113-1843353:1826111:1826135-1843353:+	-0.1657347078	0.0344655345
ARHGEF10	ENSG00000104728	ENSG00000104728;AF:8:1823988:1824113-1843353:1826111:1826135-1843353:+	-0.1828670722	0.02997003
BNIP3L	ENSG00000104765	ENSG00000104765;AF:8:26383054:26383230-26391243:26383378:26383478-26391243:+	0.0573118582	0.0423576424
BNIP3L	ENSG00000104765	ENSG00000104765;AF:8:26383054:26383230-26391243:26383415:26383496-26391243:+	-0.0670629836	0.0423576424
BNIP3L	ENSG00000104765	ENSG00000104765;AF:8:26383197:26383230-26391243:26383378:26383478-26391243:+	0.1801042215	0.0423576424
BNIP3L	ENSG00000104765	ENSG00000104765;AF:8:26383197:26383230-26391243:26390362:26390517-26391243:+	0.3587682844	0.0423576424
BNIP3L	ENSG00000104765	ENSG00000104765;AF:8:26383415:26383496-26391243:26390362:26390517-26391243:+	0.2174106537	0.0423576424
ZFR2	ENSG00000105278	ENSG00000105278;AF:19:3852614-3855402:3855590:3852614-3868965:3869032:-	-0.3104032632	0.0164835165
DMAC2	ENSG00000105341	ENSG00000105341;AF:19:41438414-41439474:41439539:41438414-41439882:41439908:-	-0.393034216	0.0494505495
