	gene_id	AL_con1-AL_con2_dPSI	AL_con1-AL_con2_p-val
ALDH3A2	ENSG00000072210	ENSG00000072210;AL:17:19671956-19675558:19677596:19671956-19685275:19685700:+	-0.2532770676	0.0434565435
EPB41L3	ENSG00000082397	ENSG00000082397;AL:18:5397248:5397426-5406777:5398113:5398143-5406777:-	-0.3279902645	0.0144855145
OGFOD1	ENSG00000087263	ENSG00000087263;AL:16:56458594-56462534:56462628:56458594-56466152:56466268:+	0.4176471172	0.016983017
PPP2CA	ENSG00000113575	ENSG00000113575;AL:5:134201859:134202021-134205922:134203525:134203564-134205922:-	-0.1260957395	0.0194805195
ST3GAL5	ENSG00000115525	ENSG00000115525;AL:2:85840065:85840392-85846377:85844407:85844554-85846377:-	0.2804223477	0.043956044
KHDRBS3	ENSG00000131773	ENSG00000131773;AL:8:135582073-135606955:135607027:135582073-135646993:135647026:+	-0.1638793313	0.017982018
G3BP1	ENSG00000145907	ENSG00000145907;AL:5:151800869-151803885:151804218:151800869-151804406:151805349:+	0.1314883621	0.0364635365
TENM4	ENSG00000149256	ENSG00000149256;AL:11:79069942:79070009-79215808:79148730:79148806-79215808:-	0.2891186205	0.026973027
TENM4	ENSG00000149256	ENSG00000149256;AL:11:79069942:79070009-79215808:79148801:79148806-79215808:-	0.3547410022	0.026973027
SLC6A1	ENSG00000157103	ENSG00000157103;AL:3:11026359-11028735:11029832:11026359-11037561:11039037:+	-0.2619504305	0.048951049
FUBP1	ENSG00000162613	ENSG00000162613;AL:1:77944055:77944269-77946530:77944356:77945642-77946530:-	-0.2411864616	0.0374625375
RPL27A	ENSG00000166441	ENSG00000166441;AL:11:8684081-8684718:8685415:8684081-8685678:8685847:+	0.0707045239	0.047952048
CDC40	ENSG00000168438	ENSG00000168438;AL:6:110228976-110229954:110230333:110228976-110253885:110254275:+	-0.2105324041	0.0484515485
CDC40	ENSG00000168438	ENSG00000168438;AL:6:110228976-110229954:110232232:110228976-110253885:110254275:+	-0.1390724335	0.0484515485
RPS9	ENSG00000170889	ENSG00000170889;AL:19:54206462-54206553:54206565:54206462-54207398:54207647:+	0.0968302752	0.021978022
RPL4	ENSG00000174444	ENSG00000174444;AL:15:66501399:66501504-66502612:66501560:66501912-66502612:-	0.0785972475	0.0424575425
RPL4	ENSG00000174444	ENSG00000174444;AL:15:66501399:66501504-66502612:66501785:66501873-66502612:-	-0.0699975474	0.0424575425
CNTNAP2	ENSG00000174469	ENSG00000174469;AL:7:146774381-146786869:146786893:146774381-146839711:146839861:+	-0.366979749	0.016983017
MIGA1	ENSG00000180488	ENSG00000180488;AL:1:77866391-77868248:77868636:77866391-77878756:77879039:+	-0.2770806642	0.0324675325
SMIM11	ENSG00000205670	ENSG00000205670;AL:21:34385644-34388629:34389151:34385644-34399711:34400175:+	-0.2771911414	0.034965035
	ENSG00000285702	ENSG00000285702;AL:7:73041421-73044472:73044591:73041421-73058016:73058520:+	-0.2619730904	0.0494505495
	ENSG00000302091	ENSG00000302091;AL:7:32455713:32456029-32464525:32462935:32463130-32464525:-	-0.3074677899	0.0364635365
	ENSG00000302091	ENSG00000302091;AL:7:32456893:32457979-32464525:32462935:32463130-32464525:-	-0.3722936541	0.0364635365
